basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identificationQualifier	identifiedBy	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	locality	sex	typeStatus	waterBody	date_start	date_mid	date_end	date_year	coordinatePrecision	taxonRank
PreservedSpecimen	44032	Pycnogonida	NIWA	Oceania	100	New Zealand	NIWA Invertebrate Collection	13/03/2019	3	-47.3	172.4	3/10/2007	Phoxichilidiidae	LINESTRING (172.4 -47.3, 172.4 -47.2)	Anoplodactylus	WGS84	GPS	cf.	Neill, Kate	NIWA Invertebrate Collection	Animalia	en	TRIP2506/45	1270.0	1110.0	8/04/2022	10	5fa14676-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1,  BB General Wet Collection	SOP	Trawl, type undefined	Anoplodactylus speculus	Child, 1995	urn:lsid:marinespecies.org:taxname:240110	speculus	2007	3e6835fb-541d-46e2-bda3-15ea94939f0f	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1190.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus speculus	2	1065	1274	1302	1358	379601	379610	14469	134592	240110	240110	Anoplodactylus speculus	[]	1387	202629	9.64	34.27														
PreservedSpecimen	234700.186422	Pycnogonida	Invertebrate Zoology: Crustacea			New Zealand				-45.7633285522	174.508331299	1994-09-16T00:00:00Z	Phoxichilidiidae		Anoplodactylus				Child, C. Allan	USNM	Animalia			1640.0	1640.0					Pantopoda	Arthropoda	Alcohol (Ethanol)	New Zealand Oceanographic Institute		Anoplodactylus speculus	Child	urn:lsid:marinespecies.org:taxname:240110			68a71b11-7a8e-464f-a44a-85db9d7750d3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1640.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus speculus	2	1065	1274	1302	1358	379601	379610	14469	134592	240110	240110	Anoplodactylus speculus	[]	1572	239912	10.54	34.3	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=2;	2.0	New Zealand Plateau, Slope East Of Dunedin	male; female	Paratype	South Pacific Ocean	779673600000.0	779673600000.0	779673600000.0	1994.0		
PreservedSpecimen	P.44701	Pycnogonida	co113		100000					-40.77054	149.01569	1986-12-10	Phoxichilidiidae	POINT (149.01569 -40.77054)	Anoplodactylus					AM	Animalia					2017-03-02T15:49:47		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44701	present	Pantopoda	Arthropoda				Anoplodactylus speculus		urn:lsid:marinespecies.org:taxname:240110	speculus		8188e428-c20b-442d-85a9-a286220116b0	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus speculus	2	1065	1274	1302	1358	379601	379610	14469	134592	240110	240110	Anoplodactylus speculus	['NO_DEPTH']	2490	57344	16.32	35.51					east of Cape Naturaliste	Male			534556800000.0	534556800000.0	534556800000.0	1986.0	0.8961	species
PreservedSpecimen	4950	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection		26	-45.7633	174.5083	26/10/1979	Phoxichilidiidae	POINT (174.5083 -45.7633)	Anoplodactylus	WGS84				NIWA Invertebrate Collection	Animalia	en	S151	1586.0	1586.0	8/04/2022	10	5d6c7e20-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 10	NZOI	Sled, epibenthic	Anoplodactylus speculus	Child, 1995	urn:lsid:marinespecies.org:taxname:240110	speculus	1979	8ffb88bc-4e25-4967-bc76-341cf6b447cd	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1586.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus speculus	2	1065	1274	1302	1358	379601	379610	14469	134592	240110	240110	Anoplodactylus speculus	[]	1572	239908	10.54	34.3						mixed	PARATYPE							
HumanObservation	39640	Pycnogonida	SOMBASE Pycnogonids							-45.8716011047	174.081604004		Phoxichilidiidae		Anoplodactylus					BAS	Animalia			1676.0	1676.0					Pantopoda	Arthropoda				Anoplodactylus speculus		urn:lsid:marinespecies.org:taxname:240110			980ac6fe-b555-497e-9de9-37fa6dee0ac6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1676.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus speculus	2	1065	1274	1302	1358	379601	379610	14469	134592	240110	240110	Anoplodactylus speculus	[]	1666	236340	10.48	34.3														
PreservedSpecimen	4949	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection		26	-45.8717	174.0817	26/10/1979	Phoxichilidiidae	POINT (174.0817 -45.8717)	Anoplodactylus	WGS84				NIWA Invertebrate Collection	Animalia	en	S152	1676.0	1676.0	8/04/2022	10	5cdb64da-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 2	NZOI	Sled, epibenthic	Anoplodactylus speculus	Child, 1995	urn:lsid:marinespecies.org:taxname:240110	speculus	1979	c9ffe03e-0013-499c-86ab-acce90169800	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1676.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus speculus	2	1065	1274	1302	1358	379601	379610	14469	134592	240110	240110	Anoplodactylus speculus	[]	1666	236353	10.48	34.3						mixed	PARATYPE							
