basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	verbatimLocality	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid
PreservedSpecimen	2007-4659	Pycnogonida	IU	NC	24	-24.724833	170.117828	1993-11-24T01:00Z	Ammotheidae	BATHUS 3/DW778	POINT  (170.117828 -24.724833)	Cilunculus	WGS84	Bamber	1	MNHN	Animalia	CC_BY_4_0	Ride des Loyauté	2015-06-19T21:23Z	11	440010167	Pantopoda	Arthropoda	Bouchet, Richer de Forges-IRD & Warén coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4659	Cilunculus ateuchus	Bamber, 2004	urn:lsid:marinespecies.org:taxname:240280	ateuchus	SPECIES	HOLOTYPE	Mont K	Pacific Ocean	1993	6d544af1-d497-4903-9ef0-191bbba85df0	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	754099200000.0	754099200000.0	754099200000.0	1993.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus ateuchus	2	1065	1274	1302	1358	379601	379608	1562	134572	240280	240280	Cilunculus ateuchus Bamber, 2004	['NO_DEPTH']	761	263626	23.76	35.43									
Occurrence	45371	Pycnogonida	NewCaledonia			-24.7199993133545	170.110000610352		Ammotheidae			Cilunculus				IRD-MNHN	Animalia		Bathus 3, DW778	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:45371:0xD879170001000700	Pantopoda	Arthropoda			Cilunculus ateuchus		urn:lsid:marinespecies.org:taxname:240280							6ed7d6e8-609b-4903-adae-b65eca7ca250	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus ateuchus	2	1065	1274	1302	1358	379601	379608	1562	134572	240280	240280	Cilunculus ateuchus	[]	781	262787	23.76	35.43	Bamber RN (2004). Tropical Deep Sea Benthos 23(191): 73-83.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	760.0	750.0	present	755.0	Biota	1.0
