basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetName	day	eventDate	fieldNumber	individualCount	institutionID	language	license	maximumDepthInMeters	minimumDepthInMeters	month	rightsHolder	taxonID	taxonRank	type	verbatimIdentification	verbatimLocality	year	depth	date_start	date_mid	date_end	date_year	lifeStage	recordedBy	associatedReferences	country	dynamicProperties	identifiedBy	preparations	waterBody
Occurrence	North East Atlantic Taxa	413573	Pycnogonida	Tisbe	1676699.0	https://marineinfo.org/id/dataset/82	74.649088330558	17.233142578053	Nymphonidae	Nymphon	VLIZ	Animalia	Norwegian Exclusive Economic Zone	2005-10-03 12:19:12	urn:catalog:VLIZ:Tisbe:413573	AphiaID: 134698	present	Pantopoda	Arthropoda	Nymphon megalops	Sars, 1877	urn:lsid:marinespecies.org:taxname:134698	megalops	229df9a7-3efa-4146-adba-29bfd667756d	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon megalops	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134698	134698	Nymphon megalops	['NO_DEPTH']	143.0	49027	4.5	34.74																															
PreservedSpecimen		6548	Pycnogonida	MuseumCollection		dfo_que_mli_museum	69.4	-80.88333333	Nymphonidae	Nymphon	IML	Animalia	Tern Island		DFO_MLI_MuseumCollection_6548			Pantopoda	Arthropoda	Nymphon megalops	Sars, 1877	urn:lsid:marinespecies.org:taxname:134698	megalops	9d62c5bd-2c2b-4d17-9b96-406334f73ba2	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon megalops	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134698	134698	Nymphon megalops	[]	87.0	16229	-0.59	30.39	DFO Quebec Region MLI museum collection	26	1956-08-26	SAB 56-818 B-32	1	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	97.0	95.0	8	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	083_01204	phylum	PhysicalObject	Nymphon megalops	AU SUD DE...	1956	96.0	-421286400000.0	-421286400000.0	-421286400000.0	1956.0								
PreservedSpecimen		6549	Pycnogonida	MuseumCollection		dfo_que_mli_museum	69.34166667	-81.725	Nymphonidae	Nymphon	IML	Animalia	Hooper Inlet		DFO_MLI_MuseumCollection_6549			Pantopoda	Arthropoda	Nymphon megalops	Sars, 1877	urn:lsid:marinespecies.org:taxname:134698	megalops	b6be8ce6-516b-4c9a-b637-7611e86ec1a4	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon megalops	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134698	134698	Nymphon megalops	[]	41.0	1728	-0.6	30.3	DFO Quebec Region MLI museum collection	29	1955-09-29	SAB 55-719 B-18	1	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	51.0	51.0	9	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	083_01204	phylum	PhysicalObject	Nymphon megalops		1955	51.0	-449971200000.0	-449971200000.0	-449971200000.0	1955.0	OEUVE							
HumanObservation			Pycnogonida	2006B3			78.5670013428	20.4169998169	Nymphonidae	Nymphon	ArcOD	Animalia			2786	;;134698;Bakan	present	Pantopoda	Arthropoda	Nymphon megalops	Sars, 1877	urn:lsid:marinespecies.org:taxname:134698		d3c8cdbb-2dc8-4915-8b2c-63eb4d5a584c	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon megalops		2	1065	1274	1302	1358	379601	379609	1566	134591	134698	134698	Nymphon megalops	['DEPTH_EXCEEDS_BATH']	30.4	4791				24	1901-8-24							420.0	8							1901	420.0	-2157148800000.0	-2157148800000.0	-2157148800000.0	1901.0		Volkovich, Mihailovski						
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80721.290703	Pycnogonida	Invertebrate Zoology: Crustacea			77.6999969482	-71.0	Nymphonidae	Nymphon	USNM	Animalia	Murchison Sound, Walrus Grounds					Pantopoda	Arthropoda	Nymphon megalops	Sars	urn:lsid:marinespecies.org:taxname:134698		d5057343-6025-47f0-9d14-b29872fd1ba9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon megalops		2	1065	1274	1302	1358	379601	379609	1566	134591	134698	134698	Nymphon megalops	['NO_DEPTH']	39.0	7010	-0.37	32.31		7	1938-08-07T12:00:00Z		2.0						8							1938		-991008000000.0	-991008000000.0	-991008000000.0	1938.0		R. Bartlett	National Museum of Natural History, Smithsonian Institution	Greenland	observedindividualcount=2;	Hedgpeth, J. W.	Alcohol (Ethanol)	Arctic Ocean
HumanObservation			Pycnogonida	2006B3			62.8330001831	-8.66699981689	Nymphonidae	Nymphon	ArcOD	Animalia			15309	;;134698;SRT-4225	present	Pantopoda	Arthropoda	Nymphon megalops	Sars, 1877	urn:lsid:marinespecies.org:taxname:134698		e68ce238-0cb8-4d6d-a118-74915cd379fb	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon megalops		2	1065	1274	1302	1358	379601	379609	1566	134591	134698	134698	Nymphon megalops	['DEPTH_EXCEEDS_BATH']	493.4	94712	9.29	35.24		18	1955-6-18							5000.0	6							1955	5000.0	-458870400000.0	-458870400000.0	-458870400000.0	1955.0		Kobyakova						
