basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	month	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	eventRemarks
HumanObservation	23096	SOMBASE Pycnogonids	-77.0166015625	168.633300781	BAS	923.0	909.0	Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	004ef08c-f5e9-487c-9519-a553b3ac1174	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	916.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	[]	898	39382	-1.56	34.32																																
HumanObservation	37715	SOMBASE Pycnogonids	-53.9165992737	-36.8333015442	BAS	290.0	290.0	Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	0261052a-1510-4bfc-8f4c-12419c1b1771	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	290.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	[]	242	18368	1.81	33.78																																
PreservedSpecimen	ANTXXVII/3_PS77_1260_6.3.6		-70.8425	-10.6031	BAS	270.5	250.5	Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	06836eae-ab33-4ded-9255-48d9ca158194	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	260.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	[]	232	14501	-1.72	33.77	376	AQ	20	2011-03-20	PS77	PS77_PS77/260-6	LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	ANTXXVII/3_PS77_1260_6.3.6	Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Bouvier, 1911	charcoti	species	PhysicalObject	20/03/2011	2011	1300579200000.0	1300579200000.0	1300579200000.0	2011.0	Biota	1.0	
HumanObservation	37822	SOMBASE Pycnogonids	-53.7249984741	-38.4416007996	BAS	360.0	330.0	Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	06d6ab06-ac90-49d3-9968-3fdb8f5eb5ca	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	345.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	[]	287	30872	1.75	33.75																																
HumanObservation	23059	SOMBASE Pycnogonids	-64.8415985107	-63.25	BAS	146.0	104.0	Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	091a0f97-1fd1-475e-b3b2-4f73c0bb29d2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	['DEPTH_EXCEEDS_BATH']	76	1942	-0.58	33.25																																
HumanObservation	23084	SOMBASE Pycnogonids	-72.1666030884	171.366592407	BAS	454.0	448.0	Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	0b9bd6b0-bebb-4f2a-a7c2-1e9643aead8b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	451.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	[]	434	21341	-1.67	33.86																																
PreservedSpecimen	ICEBERGS 2017_0156-1		-64.7341	-63.4556	BAS	132.0		Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	0bda1c7e-775d-4cd8-bc98-8e11fbc32e11	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	132.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	[]	161	1666	-0.53	33.18	28	AQ	28	2017-11-28	JR17001-icebergs	ICEBERGS 2017_76	LINESTRING (-63.4556 -64.7338, -63.4556 -64.7343)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	11	ICEBERGS 2017_0156-1	Present	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17001.pdf	Bouvier, 1911	charcoti	species	PhysicalObject	28/11/2017	2017	1511827200000.0	1511827200000.0	1511827200000.0	2017.0	Biota	1.0	minimum depth was not recorded
HumanObservation	39808	SOMBASE Pycnogonids	-62.6948013306	-60.5303001404	BAS	256.0	256.0	Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	0c1ece15-6e24-473a-8292-00a6d8eba239	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	256.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	[]	233	5367	-0.41	33.94																																
HumanObservation	23097	SOMBASE Pycnogonids	-78.3833007812	-173.100006104	BAS	473.0	473.0	Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	0d63626a-354e-442f-a4d9-10456b0908e5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	473.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	['ON_LAND']	479	-6753	-1.66	34.04																																
HumanObservation	23125	SOMBASE Pycnogonids	-53.6966018677	-37.9533004761	BAS	150.0	144.0	Nymphon charcoti	urn:lsid:marinespecies.org:taxname:173385	0d9e7d0d-c123-47f0-a601-30aa0c2a8610	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	147.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon charcoti	2	1065	1274	1302	1358	379601	379609	1566	134591	173385	173385	Nymphon charcoti	[]	112	32910	1.75	33.76																																
