basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	coordinatePrecision	coordinateUncertaintyInMeters	eventDate	sex	date_start	date_mid	date_end	date_year
PreservedSpecimen	2007-4627	Pycnogonida	IU	NC	-22.340483	167.390274	Phoxichilidiidae	BIOCAL/CP75	POINT  (167.390274 -22.340483)	Anoplodactylus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Entre Grande Terre et Ile des Pins	2015-10-17T16:13Z	440010162	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4627	Anoplodactylus typhloides	Stock, 1991	urn:lsid:marinespecies.org:taxname:240419	typhloides	SPECIES	HOLOTYPE	Pacific Ocean	1c14966a-f843-4fa3-94fb-f28d27b55bc4	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhloides	2	1065	1274	1302	1358	379601	379610	14469	134592	240419	240419	Anoplodactylus typhloides Stock, J.H., 1991	['NO_DEPTH']	868	19518	25.0	35.16																	
Occurrence	21701	Pycnogonida	NewCaledonia		-22.3099994659424	167.380004882812	Phoxichilidiidae			Anoplodactylus				IRD-MNHN	Animalia		Biocal, CP75	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21701:0xDE11900001000500	Pantopoda	Arthropoda			Anoplodactylus typhloides		urn:lsid:marinespecies.org:taxname:240419					2107cd8d-5ce1-423f-9f95-c8ed7cfe73ed	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhloides	2	1065	1274	1302	1358	379601	379610	14469	134592	240419	240419	Anoplodactylus typhloides	[]	860	23014	25.01	35.13	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	860.0	825.0	present	842.5	Biota	1.0								
PreservedSpecimen	P.43768	Pycnogonida	co113		-40.67402	148.81111	Phoxichilidiidae		POINT (148.81111 -40.67402)	Anoplodactylus				AM	Animalia		east of Flinders Island	2017-03-02T16:14:56	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43768	Pantopoda	Arthropoda			Anoplodactylus typhloides		urn:lsid:marinespecies.org:taxname:240419	typhloides	species			aa384a6f-677d-4a0d-905d-290c20ab03b7	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhloides	2	1065	1274	1302	1358	379601	379610	14469	134592	240419	240419	Anoplodactylus typhloides	['NO_DEPTH']	494	37369	15.94	35.48						present				0.0896	10000	1986-12-09	Female	534470400000.0	534470400000.0	534470400000.0	1986.0
PreservedSpecimen	P.43393	Pycnogonida	co113		-33.52499	152.166	Phoxichilidiidae		POINT (152.16600 -33.52499)	Anoplodactylus				AM	Animalia		east of Broken Bay	2017-03-02T16:13:55	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43393	Pantopoda	Arthropoda			Anoplodactylus typhloides		urn:lsid:marinespecies.org:taxname:240419	typhloides	species			c779a4d5-7a58-4ed5-b338-38fc311247b2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhloides	2	1065	1274	1302	1358	379601	379610	14469	134592	240419	240419	Anoplodactylus typhloides	['NO_DEPTH']	992	60812	21.31	35.57						present				0.0896	10000	1986-02-12	Female	508550400000.0	508550400000.0	508550400000.0	1986.0
Occurrence	45372	Pycnogonida	NewCaledonia		-24.7199993133545	170.110000610352	Phoxichilidiidae			Anoplodactylus				IRD-MNHN	Animalia		Bathus 3, DW778	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:45372:0x8129900001000100	Pantopoda	Arthropoda			Anoplodactylus typhloides		urn:lsid:marinespecies.org:taxname:240419					f078db58-7e33-4ae1-bccb-13e9cc6dfc3e	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhloides	2	1065	1274	1302	1358	379601	379610	14469	134592	240419	240419	Anoplodactylus typhloides	[]	781	262787	23.76	35.43	Bamber RN (2004). Tropical Deep Sea Benthos 23(191): 73-83.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	760.0	750.0	present	755.0	Biota	1.0								
