basisOfRecord	catalogNumber	collectionCode	collectionID	countryCode	decimalLatitude	decimalLongitude	eventDate	eventID	kingdom	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	dateIdentified	day	dynamicProperties	fieldNumber	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificNameAuthorship	waterBody	year	sex	stateProvince	county	lifeStage
PreservedSpecimen	22564	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	27.616667	-84.216667	1966-08-02	1c0c9a86-b5f9-4bb2-9f5d-76fdb65e0e8c	Animalia	73.0	73.0	b1900fb2-608c-4452-9ebd-decc756a253d	Present	Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	141b2316-4bb5-4c3d-ab9d-733711b2f0bb	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	73.0	-107827200000	-107827200000	-107827200000	1966	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	[]	67	137300	25.28	35.84																					
PreservedSpecimen	22569	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	26.4	-83.716667	1966-01-14	3ae2b61f-b611-4a7b-a8f5-4d0e0c2cdef5	Animalia	73.0	73.0	17d9c695-3017-40aa-9bb4-8c16bb90f4f6	Present	Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	1919ee66-081d-4665-9027-8ea408789476	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	73.0	-125107200000	-125107200000	-125107200000	1966	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	[]	77	145997	25.92	36.03																					
PreservedSpecimen	221042.175028	Invertebrate Zoology: Crustacea			33.8083305359	-76.5699996948	1981-03-04T12:00:00Z		Animalia	79.0	79.0			Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	1aadf122-fa86-4c8e-87d3-bb37eab7f96a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	79.0	352512000000	352512000000	352512000000	1981	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	[]	87	85506	24.8	36.18	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	1981-06-14	4	observedindividualcount=1;	818058	Knott, D.	1.0	USNM	Off North Carolina	3	Alcohol (Ethanol)	Duke University For Minerals Management Service/Bureau of Land Management BLM/ MMS	Stock	North Atlantic Ocean	1981				
PreservedSpecimen	125466.89774	Invertebrate Zoology: Crustacea			12.1986103058	-72.1916732788	1939-04-08T12:00:00Z		Animalia	40.0	38.0			Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	21c6969d-3471-4ab7-96fd-ec3bbc4d6097	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	39.0	-969926400000	-969926400000	-969926400000	1939	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	[]	23	1108	26.33	36.45	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Colombia		8	observedindividualcount=1;		Child, C. Allan	1.0	USNM	S Of Cape La Vela	4	Alcohol (Ethanol)		Stock	North Atlantic Ocean	1939	female			
PreservedSpecimen	22567	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	27.616667	-84.216667	1967-03-03	e96fc56b-0e44-4981-9770-81b21d09e544	Animalia	73.0	73.0	38a60731-911a-4436-84c6-9a915da9de5e	Present	Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	221d5ad2-decd-449f-86b1-15a296ce9e32	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	73.0	-89424000000	-89424000000	-89424000000	1967	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	[]	67	137300	25.28	35.84																					
PreservedSpecimen	113824.83550	Invertebrate Zoology: Crustacea			33.72082901	-76.6750030518	1965-04-27T12:00:00Z		Animalia	183.0	183.0			Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	37e7ca78-e30d-4796-985f-6fdb41bb70d2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	183.0	-147744000000	-147744000000	-147744000000	1965	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	['DEPTH_EXCEEDS_BATH']	101	96090	24.86	36.19	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States		27	observedindividualcount=1;		Mccloskey, L. R.	1.0	USNM	Off Coast	4	Alcohol (Ethanol); Slide		Stock	North Atlantic Ocean	1965	female	North Carolina		
PreservedSpecimen	4678	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	26.4	-83.716667	1966-09-05	1a7af2d7-7a5c-4b25-83f8-b20eb3c992e3	Animalia	73.0	73.0	6db7ed65-9743-4673-bbb6-74e5ade39d77	Present	Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	3e332e03-85c4-4325-89aa-fb7194c90ac3	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	73.0	-104889600000	-104889600000	-104889600000	1966	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	[]	77	145997	25.92	36.03																					
PreservedSpecimen	180135.136091	Invertebrate Zoology: Crustacea			27.5466709137	-79.9800033569	1977-08-23T12:00:00Z		Animalia	81.4	81.4			Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	49a1fc01-94b5-4637-b345-e9f57bbe5fa1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	81.4	241142400000	241142400000	241142400000	1977	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	[]	83	31150	26.44	36.07	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States		23	observedindividualcount=1;		Child, C. Allan	1.0	USNM		8	Alcohol (Ethanol)		Stock	North Atlantic Ocean	1977	male	Florida	St. Lucie County	
PreservedSpecimen	232948.185053	Invertebrate Zoology: Crustacea			25.7561092377	-83.7036132812	1980-11-15T12:00:00Z		Animalia	86.1	86.1			Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	59e78e73-9a76-4eae-bf6b-478ac68dabc5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	86.1	343094400000	343094400000	343094400000	1980	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	[]	95	147506	26.18	36.06	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	1986-12-19	15	observedindividualcount=1;	1/III-18B	Child, C. Allan	1.0	USNM	Off Florida	11	Alcohol (Ethanol)	Mml For BLM/ MMS	Stock	North Atlantic Ocean	1980	female			
PreservedSpecimen	168610.125459	Invertebrate Zoology: Crustacea			19.216999054	-105.849998474	1934-03-04T12:00:00Z		Animalia	64.0	46.0			Eurycyde clitellaria	urn:lsid:marinespecies.org:taxname:239911	5ec1c6aa-b358-423b-b7de-d5fd110e127a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55.0	-1130716800000	-1130716800000	-1130716800000	1934	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde clitellaria	2	1065	1274	1302	1358	379601	379608	379788	134573	239911	239911	Eurycyde clitellaria	[]	4514	80081	27.35	33.91	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Mexico		4	observedindividualcount=4;		Child, C. Allan	4.0	USNM	Tenacatita Bay, Off Navidad Head	3	Alcohol (Ethanol)		Stock	North Pacific Ocean	1934	female;;	Jalisco		; juvenile
