associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	93552.280720	Invertebrate Zoology: Crustacea	Philippines	27	10.9624996185	118.637496948	observedindividualcount=1;	1908-12-27T12:00:00Z	Stock, Jan H.	1.0	USNM	Palawan Island, Off Point Tabanan	686.0	686	12	Alcohol (Ethanol); Slide	Nymphon hedgpethi	Stock	urn:lsid:marinespecies.org:taxname:239623	female	Palawan	Holotype	North Pacific Ocean	1908	41f6caec-a5b0-4aa7-8d49-3b8b5fbe2cd3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	686	-1925424000000	-1925424000000	-1925424000000	1908	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hedgpethi	2	1065	1274	1302	1358	379601	379609	1566	134591	239623	239623	Nymphon hedgpethi	['DEPTH_EXCEEDS_BATH']	551	63074	28.97	32.57								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon hedgpethi</i> Stock, 1953. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239623	sm_id_2002	WoRMS type localities		17	10.96	118.64		1908-12-17			WoRMS Editorial Board	South China Sea		686	12		Nymphon hedgpethi	Stock, 1953	urn:lsid:marinespecies.org:taxname:239623			holotype		1908	6083b05c-f9be-4efe-862d-03255aab9835	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	686	-1926288000000	-1926288000000	-1926288000000	1908	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hedgpethi	2	1065	1274	1302	1358	379601	379609	1566	134591	239623	239623	Nymphon hedgpethi	['DEPTH_EXCEEDS_BATH']	551	62791	28.97	32.57	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2002	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2002	hedgpethi	Biota	1.0
