basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid
PreservedSpecimen	2007-4637	Pycnogonida	IU	NC	7	-22.673666	166.545334	1987-04-07T02:00Z	Austrodecidae	BIOGEOCAL/KG201	POINT  (166.545334 -22.673666)	Austrodecus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Au large de Nouméa	2015-10-17T16:55Z	4	440016261	Pantopoda	Arthropoda	Lozouet P. coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4637	Austrodecus (Tubidecus) latum	Stock, 1991	urn:lsid:marinespecies.org:taxname:266342	latum	SPECIES	PARATYPE	Pacific Ocean	1987	0861b374-74ec-484c-b51c-25a3bbae124d	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	544752000000.0	544752000000.0	544752000000.0	1987.0	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) latum	2	1065	1274	1302	1358	379600	22616	134579	236472	236475	236475	Austrodecus latum Stock, J.H., 1991	['NO_DEPTH']	596	15939	24.42	35.31									
PreservedSpecimen	2007-4636	Pycnogonida	IU	NC	10	-22.646833	166.560501	1987-04-10T02:00Z	Austrodecidae	BIOGEOCAL/KG219	POINT  (166.560501 -22.646833)	Austrodecus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Au large de Nouméa	2015-06-19T21:23Z	4	440010164	Pantopoda	Arthropoda	Lozouet P. coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4636	Austrodecus (Tubidecus) latum	Stock, 1991	urn:lsid:marinespecies.org:taxname:266342	latum	SPECIES	HOLOTYPE	Pacific Ocean	1987	cac9793e-48e4-49d2-8ade-9c2b7257591b	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	545011200000.0	545011200000.0	545011200000.0	1987.0	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) latum	2	1065	1274	1302	1358	379600	22616	134579	236472	236475	236475	Austrodecus latum Stock, J.H., 1991	['NO_DEPTH']	114	12869	24.43	35.3									
Occurrence	21606	Pycnogonida	NewCaledonia			-22.6399993896484	166.559997558594		Austrodecidae			Austrodecus				IRD-MNHN	Animalia		Biogeocal, KG219	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:21606:0x4134900001000200	Pantopoda	Arthropoda			Austrodecus (Tubidecus) latum		urn:lsid:marinespecies.org:taxname:266342						d185c817-6d62-4438-96c3-8d7b2de845ed	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) latum	2	1065	1274	1302	1358	379600	22616	134579	236472	236475	236475	Austrodecus latum	['DEPTH_EXCEEDS_BATH']	2	12110	24.43	35.3	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	570.0	570.0	present	570.0	Biota	1.0
PreservedSpecimen	sm_id_1755	Pycnogonida	WoRMS type localities		10	-22.65	166.56	1987-04-10	Austrodecidae			Austrodecus				WoRMS Editorial Board	Animalia		Pacific Ocean	2007-06-20 15:52:33	4	WoRMS Editorial Board:WoRMS type localities:sm_id_1755	Pantopoda	Arthropoda		http://www.marinespecies.org/aphia.php?p=specdetails&id=1755	Austrodecus (Tubidecus) latum	Stock, 1991	urn:lsid:marinespecies.org:taxname:236475	latum		holotype		1987	da9186be-3954-4fd2-a850-16fdf1b57d99	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	545011200000.0	545011200000.0	545011200000.0	1987.0	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) latum	2	1065	1274	1302	1358	379600	22616	134579	236472	236475	236475	Austrodecus (Tubidecus) latum	[]	560	13222	24.43	35.3	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus (Tubidecus) latum</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=236475		https://marineinfo.org/id/dataset/5184		570.0	present	570.0	Biota	1.0
Occurrence	21605	Pycnogonida	NewCaledonia			-22.6700000762939	166.539993286133		Austrodecidae			Austrodecus				IRD-MNHN	Animalia		Biogeocal, KG201	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:21605:0x3124900001000300	Pantopoda	Arthropoda			Austrodecus (Tubidecus) latum		urn:lsid:marinespecies.org:taxname:266342						dfc15b5f-ec46-4c99-a506-3b7509eafb31	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) latum	2	1065	1274	1302	1358	379600	22616	134579	236472	236475	236475	Austrodecus latum	[]	732	15602	24.42	35.31	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	595.0	595.0	present	595.0	Biota	1.0
