basisOfRecord	catalogNumber	class	collectionCode	datasetName	dateIdentified	decimalLatitude	decimalLongitude	eventDate	eventID	family	genus	geodeticDatum	identificationReferences	identifiedBy	institutionCode	kingdom	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceStatus	order	parentEventID	phylum	recordedBy	sampleSizeUnit	sampleSizeValue	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	associatedReferences	bibliographicCitation	country	dynamicProperties	individualCount	preparations	sex	stateProvince	waterBody	year	sst	sss	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	datasetID	day	modified	month	references	typeStatus
PreservedSpecimen	MEYU-20	Pycnogonida	Universitat_Autònoma_de_Barcelona	CEMIEO_GS_RL_UNAM	2021-10-20	21.57981833	-88.19836333	2018-05-19T11:32:31-05:00	RL1805_E6_B2	Phoxichilidiidae	Anoplodactylus	WGS84	Child, C. (1995). Antarctic and subantarctic Pycnogonida V. The family Pycnogonidae, Phoxilidiidae, Endeidae and Callipallenidae, including the genus Pallenopsis. Biology of the Antarctic Seas XXIII. Antarctic Research Series, 69, 113-160.|Munilla, T. and Soler-Membrives, A. (2014). Picnogónida. Fauna Ibérica Vol. 39. M.A. Ramos et al. (eds), Madrid, 293 pp.|Stock, J. (1974). Medio and infralittoral Pycnogonida collected during the I.I.O.E. near the landbase of Nossi-Bé, Madagascar. Bulletin Zoölogisch Museum Universiteit van Amsterdam 4(3), 11-22.	Anna Soler-Membrives	UMDI-FC-UNAM	Animalia	San Felipe	http://marineregions.org/mrgid/19141	1.04	1.04	RL1805_E6_B2_026	Present	Pantopoda	RL1805_E6_B2	Arthropoda	Vanesa Papiol| Luis Sauma| Yasmín Dávila| César Salazar| Alejandra Garnica| Jesús Rufino Correa| Gerardo Alberto Sosa| Xaní Malagón	square metre	0.018	PVC core	Anoplodactylus arcuatus	Child, 1977	urn:lsid:marinespecies.org:taxname:240167	arcuatus	species	Sample	131cf272-50fa-4043-aedb-553e00ae6a0e	3143fd54-9026-4d3a-a01b-ea22f91f6623	['8385435b-bcf5-4bec-b827-8b480163d479']	1.04	1526688000000.0	1526688000000.0	1526688000000.0	2018.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	[]	6	338																							
PreservedSpecimen	231630.183665	Pycnogonida	Invertebrate Zoology: Crustacea			29.7247200012	-87.9083328247	1975-07-02T12:00:00Z		Phoxichilidiidae	Anoplodactylus			Child, C. Allan	USNM	Animalia	S Of Mobile Bay		35.0	35.0			Pantopoda		Arthropoda	BLM/ MMS -Mafla				Anoplodactylus arcuatus	Child	urn:lsid:marinespecies.org:taxname:240167				17dde4e5-77bc-4f0d-9f2b-e468da416df9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	35.0	173491200000.0	173491200000.0	173491200000.0	1975.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	[]	39	53257	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	observedindividualcount=1;	1.0	Alcohol (Ethanol)	male	Alabama	North Atlantic Ocean	1975	24.34	30.83											
HumanObservation	Spp-43-040_A1	Pycnogonida	B89PII			30.4191112518	-86.5596389771			Phoxichilidiidae	Anoplodactylus			Child, C. A.	HRI	Animalia	NNE Gulf of Mexico		55.0	2.0			Pantopoda		Arthropoda					Anoplodactylus arcuatus	Child,	urn:lsid:marinespecies.org:taxname:240167				26149610-ea82-4fd6-9ea0-85f604dc49d5	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28.5					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	[]	8	1209	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/							Gulf of Mexico		23.66	33.45	359550.0	Database description and disclaimer at: http://gulfbase.org/	2-55	Biota	1.0						
HumanObservation	Spp-43-040_A2	Pycnogonida	B89PII			30.2504348755	-86.6693878174			Phoxichilidiidae	Anoplodactylus			Child, C. A.	HRI	Animalia	NNE Gulf of Mexico		55.0	2.0			Pantopoda		Arthropoda					Anoplodactylus arcuatus	Child,	urn:lsid:marinespecies.org:taxname:240167				2d452ec2-b15d-47e2-8e4b-eb13463783b9	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28.5					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	[]	22	16198	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/							Gulf of Mexico		23.74	33.2	365090.0	Database description and disclaimer at: http://gulfbase.org/	2-55	Biota	1.0						
PreservedSpecimen	sm_id_1565	Pycnogonida	WoRMS type localities			12.12	-68.97	1969-02-12		Phoxichilidiidae	Anoplodactylus				WoRMS Editorial Board	Animalia	Atlantic Ocean				WoRMS Editorial Board:WoRMS type localities:sm_id_1565	present	Pantopoda		Arthropoda					Anoplodactylus arcuatus	Child, 1977	urn:lsid:marinespecies.org:taxname:240167	arcuatus			2dd2bb64-6e40-4fd3-b710-5c4b8807b7c4	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-27907200000.0	-27907200000.0	-27907200000.0	1969.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	['NO_DEPTH']	-3	22		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus arcuatus</i> Child, 1977. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240167								1969	27.53	35.81				Biota	1.0	https://marineinfo.org/id/dataset/5184	12	2007-06-20 15:52:33	2	http://www.marinespecies.org/aphia.php?p=specdetails&id=1565	holotype
HumanObservation	Spp-43-040_C2	Pycnogonida	B89PII			24.7805652618	-82.3406906128			Phoxichilidiidae	Anoplodactylus			Child, C. A.	HRI	Animalia	ESE  Gulf of Mexico		55.0	2.0			Pantopoda		Arthropoda					Anoplodactylus arcuatus	Child,	urn:lsid:marinespecies.org:taxname:240167				7fd2d4a0-1b5b-47ed-88b9-dec94045051f	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28.5					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	[]	26	28843	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/							Gulf of Mexico		26.37	36.14	195770.0	Database description and disclaimer at: http://gulfbase.org/	2-55	Biota	1.0						
HumanObservation	Spp-43-040_G1	Pycnogonida	B89PII			27.3733863831	-97.3691329956			Phoxichilidiidae	Anoplodactylus			Child, C. A.	HRI	Animalia	WNW  Gulf of Mexico		55.0	2.0			Pantopoda		Arthropoda					Anoplodactylus arcuatus	Child,	urn:lsid:marinespecies.org:taxname:240167				80bab8be-fcff-4ec4-9bc2-ae46583fa2c6	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28.5					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	2	-4875	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/							Gulf of Mexico		24.07	34.01	260010.0	Database description and disclaimer at: http://gulfbase.org/	2-55	Biota	1.0						
PreservedSpecimen	MEYU-24	Pycnogonida	Universitat_Autònoma_de_Barcelona	CEMIEO_GS_RL_UNAM	2021-10-20	21.57981833	-88.19836333	2018-05-19T11:32:31-05:00	RL1805_E6_B2	Phoxichilidiidae	Anoplodactylus	WGS84	Child, C. (1995). Antarctic and subantarctic Pycnogonida V. The family Pycnogonidae, Phoxilidiidae, Endeidae and Callipallenidae, including the genus Pallenopsis. Biology of the Antarctic Seas XXIII. Antarctic Research Series, 69, 113-160.|Munilla, T. and Soler-Membrives, A. (2014). Picnogónida. Fauna Ibérica Vol. 39. M.A. Ramos et al. (eds), Madrid, 293 pp.|Stock, J. (1974). Medio and infralittoral Pycnogonida collected during the I.I.O.E. near the landbase of Nossi-Bé, Madagascar. Bulletin Zoölogisch Museum Universiteit van Amsterdam 4(3), 11-22.	Anna Soler-Membrives	UMDI-FC-UNAM	Animalia	San Felipe	http://marineregions.org/mrgid/19141	1.04	1.04	RL1805_E6_B2_024	Present	Pantopoda	RL1805_E6_B2	Arthropoda	Vanesa Papiol| Luis Sauma| Yasmín Dávila| César Salazar| Alejandra Garnica| Jesús Rufino Correa| Gerardo Alberto Sosa| Xaní Malagón	square metre	0.018	PVC core	Anoplodactylus arcuatus	Child, 1977	urn:lsid:marinespecies.org:taxname:240167	arcuatus	species	Sample	8cb24618-eaa7-456a-ad62-f0ea5373ca76	3143fd54-9026-4d3a-a01b-ea22f91f6623	['8385435b-bcf5-4bec-b827-8b480163d479']	1.04	1526688000000.0	1526688000000.0	1526688000000.0	2018.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	[]	6	338																							
PreservedSpecimen	231631.183666	Pycnogonida	Invertebrate Zoology: Crustacea			29.5830001831	-87.3330001831	1974-07-02T12:00:00Z		Phoxichilidiidae	Anoplodactylus			Child, C. Allan	USNM	Animalia	S Of Mobile Bay		98.0	98.0			Pantopoda		Arthropoda	BLM/ MMS -Mafla				Anoplodactylus arcuatus	Child	urn:lsid:marinespecies.org:taxname:240167				97550dbc-b742-4669-a42e-0e68a750c2fe	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	98.0	141955200000.0	141955200000.0	141955200000.0	1974.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	[]	136	79309	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	observedindividualcount=1;	1.0	Alcohol (Ethanol)	male	Alabama	North Atlantic Ocean	1974	24.73	33.01											
PreservedSpecimen	MEYU-22	Pycnogonida	Universitat_Autònoma_de_Barcelona	CEMIEO_GS_RL_UNAM	2021-10-20	21.57981833	-88.19836333	2018-05-19T11:32:31-05:00	RL1805_E6_B2	Phoxichilidiidae	Anoplodactylus	WGS84	Child, C. (1995). Antarctic and subantarctic Pycnogonida V. The family Pycnogonidae, Phoxilidiidae, Endeidae and Callipallenidae, including the genus Pallenopsis. Biology of the Antarctic Seas XXIII. Antarctic Research Series, 69, 113-160.|Munilla, T. and Soler-Membrives, A. (2014). Picnogónida. Fauna Ibérica Vol. 39. M.A. Ramos et al. (eds), Madrid, 293 pp.|Stock, J. (1974). Medio and infralittoral Pycnogonida collected during the I.I.O.E. near the landbase of Nossi-Bé, Madagascar. Bulletin Zoölogisch Museum Universiteit van Amsterdam 4(3), 11-22.	Anna Soler-Membrives	UMDI-FC-UNAM	Animalia	San Felipe	http://marineregions.org/mrgid/19141	1.04	1.04	RL1805_E6_B2_022	Present	Pantopoda	RL1805_E6_B2	Arthropoda	Vanesa Papiol| Luis Sauma| Yasmín Dávila| César Salazar| Alejandra Garnica| Jesús Rufino Correa| Gerardo Alberto Sosa| Xaní Malagón	square metre	0.018	PVC core	Anoplodactylus arcuatus	Child, 1977	urn:lsid:marinespecies.org:taxname:240167	arcuatus	species	Sample	a7c37ef0-7e64-431b-ac5a-240d9fb21067	3143fd54-9026-4d3a-a01b-ea22f91f6623	['8385435b-bcf5-4bec-b827-8b480163d479']	1.04	1526688000000.0	1526688000000.0	1526688000000.0	2018.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arcuatus	2	1065	1274	1302	1358	379601	379610	14469	134592	240167	240167	Anoplodactylus arcuatus	[]	6	338																							
