basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	country	footprintWKT	individualCount	organismQuantity	organismQuantityType	sex	taxonRank
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Propallene saengeri</i> Staples, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239417	sm_id_1319	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-23.83	151.22	1976-05	Callipallenidae	Propallene	WoRMS Editorial Board	Animalia	Calliope River	2.09999990463257	2007-06-20 15:52:33	5	WoRMS Editorial Board:WoRMS type localities:sm_id_1319	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1319	Propallene saengeri	Staples, 1979	urn:lsid:marinespecies.org:taxname:239417	saengeri	holotype	1976	1af9ed75-ec24-411d-b705-4ad253acf421	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2.09999990463257	199756800000.0	201052800000.0	202348800000.0	1976.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri	1.0	2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['ON_LAND']	9.09	-778	23.52	35.38								
PreservedSpecimen		J5236	Pycnogonida	co119		-23.85	151.27		Callipallenidae	Propallene	NMV	Animalia	Gladstone, Calliope River		2017-02-09T11:02:23		J5236	present	Pantopoda	Arthropoda		Propallene saengeri		urn:lsid:marinespecies.org:taxname:239417	saengeri			2a426cf2-a85b-434a-a797-c215b34f025d	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri		2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	2	2	individuals	Unknown	species
PreservedSpecimen		P.45052	Pycnogonida	co113		-26.45	153.083	1969-07-17	Callipallenidae	Propallene	AM	Animalia	Weyba Creek, Noosa		2017-03-02T15:50:58		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45052	present	Pantopoda	Arthropoda		Propallene saengeri		urn:lsid:marinespecies.org:taxname:239417	saengeri			2b29e5e7-cf13-42c8-bcb5-5fd454929ae1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		-14515200000.0	-14515200000.0	-14515200000.0	1969.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri		2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['NO_DEPTH', 'ON_LAND']	-10.27	-2081			10000	Australia	POINT (153.08300 -26.45000)				Female	species
PreservedSpecimen		J5238	Pycnogonida	co119		-23.85	151.27		Callipallenidae	Propallene	NMV	Animalia	Gladstone, Calliope River		2017-02-09T11:02:25		J5238	present	Pantopoda	Arthropoda		Propallene saengeri		urn:lsid:marinespecies.org:taxname:239417	saengeri			49f32ef8-13ec-4973-a84a-99cbcb9302e3	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri		2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	1	1	individuals	Unknown	species
PreservedSpecimen		P.45051	Pycnogonida	co113		-26.45	153.083	1969-07-18	Callipallenidae	Propallene	AM	Animalia	Weyba Creek, Noosa		2017-03-02T15:50:58		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45051	present	Pantopoda	Arthropoda		Propallene saengeri		urn:lsid:marinespecies.org:taxname:239417	saengeri			5678592d-65f2-4830-bfa3-af0476b4c6cf	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		-14428800000.0	-14428800000.0	-14428800000.0	1969.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri		2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['NO_DEPTH', 'ON_LAND']	-10.27	-2081			10000	Australia	POINT (153.08300 -26.45000)				Female	species
PreservedSpecimen		J5232	Pycnogonida	co119		-23.85	151.27		Callipallenidae	Propallene	NMV	Animalia	Gladstone, Calliope River		2017-02-09T11:02:18		J5232	present	Pantopoda	Arthropoda		Propallene saengeri		urn:lsid:marinespecies.org:taxname:239417	saengeri			5703ce63-e760-4ea6-91b5-092282a36caa	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri		2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	8	8	individuals	Unknown	species
PreservedSpecimen		J5237	Pycnogonida	co119		-23.85	151.27		Callipallenidae	Propallene	NMV	Animalia	Gladstone, Calliope River		2017-02-09T11:02:25		J5237	present	Pantopoda	Arthropoda		Propallene saengeri		urn:lsid:marinespecies.org:taxname:239417	saengeri			6f3d5038-03a6-46c5-9673-f1181332ca7a	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri		2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	1	1	individuals	Unknown	species
PreservedSpecimen		J5231	Pycnogonida	co119		-23.85	151.27		Callipallenidae	Propallene	NMV	Animalia	Gladstone, Calliope River		2017-02-09T11:02:17		J5231	present	Pantopoda	Arthropoda		Propallene saengeri		urn:lsid:marinespecies.org:taxname:239417	saengeri			7ba0d031-46dc-4fcf-abb9-7bb6cc49a42b	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri		2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	1	1	individuals	Unknown	species
PreservedSpecimen		J5240	Pycnogonida	co119		-23.85	151.27		Callipallenidae	Propallene	NMV	Animalia	Gladstone, Calliope River		2017-02-09T11:02:26		J5240	present	Pantopoda	Arthropoda		Propallene saengeri		urn:lsid:marinespecies.org:taxname:239417	saengeri			881f7eee-8bee-4958-b81c-649ed6f58063	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri		2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	1	1	individuals	Unknown	species
PreservedSpecimen		J5230	Pycnogonida	co119		-23.85	151.27		Callipallenidae	Propallene	NMV	Animalia	Gladstone, Calliope River		2017-02-09T11:02:16		J5230	present	Pantopoda	Arthropoda		Propallene saengeri		urn:lsid:marinespecies.org:taxname:239417	saengeri			9bfc6fe0-1556-45a0-baf4-0a89a5dacf7c	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Propallene saengeri		2	1065	1274	1302	1358	379601	379609	1564	205358	239417	239417	Propallene saengeri	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	1	1	individuals	Unknown	species
