basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus sandromagni</i> Krapp, 1996. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239488	sm_id_1645	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	8.48	76.92	1990-02	Phoxichilidiidae	Anoplodactylus	WoRMS Editorial Board	Animalia	Indian Ocean	1	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_1645	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1645	Anoplodactylus sandromagni	Krapp, 1996	urn:lsid:marinespecies.org:taxname:239488	sandromagni	holotype	1990	91724f15-2875-47fc-b4d6-1af11d86d43d	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1	633830400000	634953600000	636163200000	1990	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus sandromagni	1	2	1065	1274	1302	1358	379601	379610	14469	134592	239488	239488	Anoplodactylus sandromagni	['ON_LAND']	-7	-818
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus sandromagni</i> Krapp, 1996. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239488	sm_id_1647	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	8.48	76.92	1990-02	Phoxichilidiidae	Anoplodactylus	WoRMS Editorial Board	Animalia	Indian Ocean	1	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_1647	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1647	Anoplodactylus sandromagni	Krapp, 1996	urn:lsid:marinespecies.org:taxname:239488	sandromagni	holotype	1990	f4f9b976-10f4-497a-8965-1521b4f0a9fb	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1	633830400000	634953600000	636163200000	1990	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus sandromagni	1	2	1065	1274	1302	1358	379601	379610	14469	134592	239488	239488	Anoplodactylus sandromagni	['ON_LAND']	-7	-818
