basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	scientificName	scientificNameID	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	eventID	eventRemarks	footprintWKT	geodeticDatum	identifiedBy	individualCount	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	specificEpithet	startDayOfYear	waterBody	year	depth	date_start	date_mid	date_end	date_year	superdomain	superdomainid	datasetID	references	typeStatus
HumanObservation	34202	SOMBASE Pycnogonids	-48.3333015442	166.083297729	BAS	Ascorhynchus insularum	urn:lsid:marinespecies.org:taxname:239976	4faed521-ef68-410e-b964-fa0e4ce46619	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus insularum	2	1065	1274	1302	1358	379601	379608	379788	134571	239976	239976	Ascorhynchus insularum	['NO_DEPTH']	2014	42552	11.45	34.67																																					
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:7583  Ascorhynchus insularus		-48.027	166.6143	CU	Ascorhynchus insularum	urn:lsid:marinespecies.org:taxname:239976	6be34f5d-47bf-4eff-929b-8922c4143d34	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus insularum	2	1065	1274	1302	1358	379601	379608	379788	134571	239976	239976	Ascorhynchus insularus	['DEPTH_EXCEEDS_BATH']	-52	86	11.58	34.71	Clark, W.C. (1971) Pycnogonida from the Snares Islands, New Zealand Journal of Marine and Freshwater Research, 5:2, 329-341	500	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	2	1961-02-02	2498	from stalked barnacles	POINT (166.6143 -48.027)	WGS84	W.C. Clark	14	en	Ho Ho Bay, Nelly Point, Snares Island	0.0	0.0	2016-08-30	2	urn:catalog:SWPRON:MBIS:7583	8 males, 5 females, 1 juvenile	present	Shore collection	Clark, 1972	insularus	33	Pacific Ocean	1961	0.0	-281232000000.0	-281232000000.0	-281232000000.0	1961.0	Biota	1.0			
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:3914  Ascorhynchus insularus		-48.0247	166.6102		Ascorhynchus insularum	urn:lsid:marinespecies.org:taxname:239976	92040057-5805-4a02-b37c-57006c81341a	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus insularum	2	1065	1274	1302	1358	379601	379608	379788	134571	239976	239976	Ascorhynchus insularus	[]	-4	52	11.58	34.71	W. C. Clark (1977) Pycnogonida from the Snares Islands (note), New Zealand Journal of Marine and Freshwater Research, 11:1, 173-177	200	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	11	1974-12-11	1248		POINT (166.6102 -48.0247)	WGS84		17	en	Sinkhole, Snares Island	0.0	0.0	2014-09-10	12	urn:catalog:SWPRON:MBIS:3914	Shore collection. On limpets encrusted with polychacte tubes and bryozoa, in mid-littoral crevices	present	Shore collection	Clark, 1972	insularus	345	Pacific Ocean	1974	0.0	155952000000.0	155952000000.0	155952000000.0	1974.0	Biota	1.0			
PreservedSpecimen	sm_id_1700	WoRMS type localities	-48.03	166.61	WoRMS Editorial Board	Ascorhynchus insularum	urn:lsid:marinespecies.org:taxname:239976	cfc0745f-6b24-4258-a83d-44b0e6f19826	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus insularum	2	1065	1274	1302	1358	379601	379608	379788	134571	239976	239976	Ascorhynchus insularum	['NO_DEPTH', 'ON_LAND']	-52	-194	11.58	34.71	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus insularum</i> Clark, 1971. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239976				2	1961-02-02								Ho Ho Bay			2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_1700		present		Clark, 1971	insularum			1961		-281232000000.0	-281232000000.0	-281232000000.0	1961.0	Biota	1.0	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=1700	holotype
