associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	125891.90150	Invertebrate Zoology: Crustacea	Ecuador	23	1.11699998379	-80.3499984741	observedindividualcount=1;	1891-03-23T12:00:00Z	Schimkewitsch, W. M.	1.0	USNM	Cape San Francisco, Off San Francisco	2877.0	2877.0	3	Alcohol (Ethanol)	Ascorhynchus agassizi	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239737	Syntype	North Pacific Ocean	1891	74d2f4ea-4b19-49e3-938f-32d06d7f0d90	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2877.0	-2485987200000	-2485987200000	-2485987200000	1891	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus agassizi	2	1065	1274	1302	1358	379601	379608	379788	134571	239737	239737	Ascorhynchus agassizi	[]	3897	46397	26.48	32.41	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	40928.256089	Invertebrate Zoology: Crustacea	Panama	3	6.91699981689	-81.7083282471	observedindividualcount=1;	1904-11-03T12:00:00Z	Cole, L. J.	1.0	USNM	Off SW Panama	1017.0	1017.0	11	Alcohol (Ethanol)	Ascorhynchus agassizi	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239737		North Pacific Ocean	1904	95c4c62d-5089-4591-b91c-4c0afa3c73f0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1017.0	-2056320000000	-2056320000000	-2056320000000	1904	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus agassizi	2	1065	1274	1302	1358	379601	379608	379788	134571	239737	239737	Ascorhynchus agassizi	[]	1173	33415	28.22	31.49	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	32169.252940	Invertebrate Zoology: Crustacea	Panama	10	7.09167003632	-79.6666717529	observedindividualcount=4;	1891-03-10T12:00:00Z	Schimkewitsch, W. M.	4.0	USNM	Off Coast Of Ecuador			3	Alcohol (Ethanol)	Ascorhynchus agassizi	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239737	Syntype	North Pacific Ocean	1891	dc5cc262-c0fb-443a-901d-8efca8ee40c6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2487110400000	-2487110400000	-2487110400000	1891	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus agassizi	2	1065	1274	1302	1358	379601	379608	379788	134571	239737	239737	Ascorhynchus agassizi	['NO_DEPTH']	2599	55580	27.27	31.31	male; female
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	40929.256090	Invertebrate Zoology: Crustacea	Panama	3	6.43300008774	-81.8170013428	observedindividualcount=1;	1904-11-03T12:00:00Z	Cole, L. J.	1.0	USNM	Off SW Panama	1415.0	1415.0	11	Alcohol (Ethanol)	Ascorhynchus agassizi	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239737		North Pacific Ocean	1904	eb1605a9-ac39-4d16-bde8-3bb19fe35c09	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1415.0	-2056320000000	-2056320000000	-2056320000000	1904	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus agassizi	2	1065	1274	1302	1358	379601	379608	379788	134571	239737	239737	Ascorhynchus agassizi	[]	1482	85709	28.1	31.84	
