basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	datasetName	individualCount	locality	modified	occurrenceRemarks	startDayOfYear	waterBody
PreservedSpecimen	JR15005_1820_04	Pycnogonida	242	AQ	12	-60.4954	-44.5217	2016-03-12	JR15005	Nymphonidae	JR15005_90	LINESTRING (-44.51785 -60.49437, -44.52549 -60.49652)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	624	520	3	JR15005_1820_04	Present	Pantopoda	3	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon brevicaudatum	Miers, 1875	urn:lsid:marinespecies.org:taxname:173379	brevicaudatum	species	PhysicalObject	12/3/2016	2016	0017bb2e-ac19-4325-8803-81ad0de9908c	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	572.0	1457740800000.0	1457740800000.0	1457740800000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	[]	555	18350	-0.88	33.83								
HumanObservation	Stn 159 Nymphon brevicaudatum	Pycnogonida	1000		21	-53.875	-36.1333	1927-01-21	105	Nymphonidae	Stn 159	POINT (-36.1333 -53.875)	Nymphon	WGS84			NIWA		Animalia	en	160	160	1	5397	present	Pantopoda			Arthropoda		Large dredge, heavy pattern, 1.2m in length	Nymphon brevicaudatum	Miers, 1875	urn:lsid:marinespecies.org:taxname:173379	brevicaudatum				1927	006c5643-12b5-48f6-8ae1-2182f9bf6d9e	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	160.0	-1355270400000.0	-1355270400000.0	-1355270400000.0	1927.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	[]	128	41392	1.74	33.78	Discovery Reports	Discovery Expedition Biological Reports	5	off South Georgia	2019-03-15	Large dredge, heavy pattern, 1.2m in length	21	Atlantic Ocean
HumanObservation	22935	Pycnogonida				-64.7882995605	-64.0500030518			Nymphonidae			Nymphon				BAS		Animalia		25	25				Pantopoda			Arthropoda			Nymphon brevicaudatum		urn:lsid:marinespecies.org:taxname:173379						029b7c70-f677-4c8d-a2ee-9d1490dc5aea	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	25.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	[]	88	96	-0.56	33.15	SOMBASE Pycnogonids							
PreservedSpecimen	JR15005_1859_05b	Pycnogonida	259	AQ	13	-60.4974	-44.526	2016-03-13	JR15005	Nymphonidae	JR15005_91	LINESTRING (-44.52236 -60.49592, -44.52971 -60.49884)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	658	551	3	JR15005_1859_05b	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon brevicaudatum	Miers, 1875	urn:lsid:marinespecies.org:taxname:173379	brevicaudatum	species	PhysicalObject	13/03/2016	2016	0499acc8-e6e1-4c54-9b06-02b470165b5c	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	604.5	1457827200000.0	1457827200000.0	1457827200000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	[]	559	18118	-0.88	33.83								
HumanObservation	39799	Pycnogonida				-62.7277984619	-60.4425010681			Nymphonidae			Nymphon				BAS		Animalia		45	45				Pantopoda			Arthropoda			Nymphon brevicaudatum		urn:lsid:marinespecies.org:taxname:173379						052bb42f-c356-4303-a11d-7aa07900f007	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	45.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	[]	134	962	-0.42	33.94	SOMBASE Pycnogonids							
PreservedSpecimen	JR15005_2085_05	Pycnogonida	247	AQ	13	-60.4741	-44.4189	2016-03-13	JR15005	Nymphonidae	JR15005_100	LINESTRING (-44.41916 -60.47629, -44.41866 -60.47186)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	896	790	3	JR15005_2085_05	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon brevicaudatum	Miers, 1875	urn:lsid:marinespecies.org:taxname:173379	brevicaudatum	species	PhysicalObject	13/03/2016	2016	0775d18a-e5f6-4e20-a4a4-791c9bcca2ca	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	843.0	1457827200000.0	1457827200000.0	1457827200000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	[]	872	21457	-0.88	33.83								
HumanObservation	34807	Pycnogonida				-49.4665985107	70.5500030518			Nymphonidae			Nymphon				BAS		Animalia		91	91				Pantopoda			Arthropoda			Nymphon brevicaudatum		urn:lsid:marinespecies.org:taxname:173379						07f2b84a-3350-42bf-99f0-f6e09c2019da	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	91.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	[]	56	5560	3.79	33.78	SOMBASE Pycnogonids							
HumanObservation	22933	Pycnogonida				-64.7666015625	-64.0500030518			Nymphonidae			Nymphon				BAS		Animalia		18	18				Pantopoda			Arthropoda			Nymphon brevicaudatum		urn:lsid:marinespecies.org:taxname:173379						09eb83fa-6a9d-413c-919c-43c4999dd3a5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	18.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	['DEPTH_EXCEEDS_BATH']	-66	45	-0.56	33.15	SOMBASE Pycnogonids							
HumanObservation	Stn 145 Nymphon brevicaudatum	Pycnogonida	1000		7	-54.1639	-36.6677	1927-01-07	268	Nymphonidae	Stn 145	POINT (-36.6677 -54.1639)	Nymphon	WGS84			NIWA		Animalia	en	35	26	1	5394	present	Pantopoda			Arthropoda		Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	Nymphon brevicaudatum	Miers, 1875	urn:lsid:marinespecies.org:taxname:173379	brevicaudatum				1927	0b66561c-45dc-481f-bd11-a1e7da07564d	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	30.5	-1356480000000.0	-1356480000000.0	-1356480000000.0	1927.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	[]	-7	176	1.82	33.78	Discovery Reports	Discovery Expedition Biological Reports		Stromness Harbour, South Georgia. Between Grass Island and Tonsberg Point	2019-03-15	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	7	Atlantic Ocean
HumanObservation	Stn 175 Nymphon brevicaudatum	Pycnogonida	5000		2	-63.2889	-59.8042	1927-03-02	3	Nymphonidae	Stn 175	POINT (-59.8042 -63.2889)	Nymphon	WGS84			NIWA		Animalia	en	200	200	3	5399	present	Pantopoda			Arthropoda		Large dredge, heavy pattern, 1.2m in length	Nymphon brevicaudatum	Miers, 1875	urn:lsid:marinespecies.org:taxname:173379	brevicaudatum				1927	10be9e15-8517-413f-83eb-183aa354db2a	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	200.0	-1351814400000.0	-1351814400000.0	-1351814400000.0	1927.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevicaudatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173379	173379	Nymphon brevicaudatum	[]	210	21408	-0.86	33.94	Discovery Reports	Discovery Expedition Biological Reports	2	Bransfield Strait, South Shetlands	2019-03-15	Large dredge, heavy pattern, 1.2m in length	61	Southern Ocean
