basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identificationRemarks	identifiedBy	identifiedByID	institutionID	language	month	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	associatedReferences	bibliographicCitation	country	dynamicProperties	individualCount	sex	waterBody	locality
HumanObservation	23979	SOMBASE Pycnogonids	-60.8166007996	-53.4665985107	BAS	589	587.0	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	05f7f283-2c41-4a9a-b1f1-ff98a454ca8e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	588.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	[]	585	45316	-0.57	34.05																																								
HumanObservation	39878	SOMBASE Pycnogonids	-62.8284988403	-60.4095001221	BAS	600	600.0	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	0dbee48b-4c56-429d-996f-904866422cd9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	600.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	[]	596	8456	-0.45	33.94																																								
PreservedSpecimen	ANTXXVII/3_PS77_1222_5.2.2		-62.2944	-58.6845	BAS	889	439.7	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	3156ebd3-c351-4b07-ad65-7b57f07c045f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	664.35	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	['DEPTH_EXCEEDS_BATH']	444	4428	-0.51	34.03	468	AQ	23	2011-02-23	PS77	PS77_PS77/222-5	LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	EPSG:4326	distinct proboscis	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	2	ANTXXVII/3_PS77_1222_5.2.2	Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Bouvier, 1910	charcoti	species	PhysicalObject	23/02/2011	2011	1298419200000.0	1298419200000.0	1298419200000.0	2011.0	Biota	1.0								
HumanObservation	23984	SOMBASE Pycnogonids	-64.6166000366	-62.8465995789	BAS	670	640.0	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	6b98d73a-e9ab-42b3-bfcf-23ce283faa7b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	655.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	['DEPTH_EXCEEDS_BATH']	532	3520	-0.47	33.7																																								
PreservedSpecimen	122328.284868	Invertebrate Zoology: Crustacea	-62.1170005798	55.966999054	USNM	1153	1113.0	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	6de11e82-5032-4100-b70a-9454d4f16941	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1133.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	[]	4836	423501	-0.9	33.82			1	1963-01-01T12:00:00Z						Fry, W. G., Hedgpeth, J. W.				1					Alcohol (Ethanol)		Bouvier					1963	-220924800000.0	-220924800000.0	-220924800000.0	1963.0			National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	observedindividualcount=1;	1.0	female	Antarctic Ocean	
HumanObservation	23981	SOMBASE Pycnogonids	-71.3833007812	171.199996948	BAS	357	351.0	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	77a26c51-5d72-4136-9992-e9ddd9fb616e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	354.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	[]	436	26523	-1.64	34.07																																								
HumanObservation	23983	SOMBASE Pycnogonids	-63.3083000183	-61.8833007812	BAS	264	228.0	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	91a080da-031d-485f-8d17-8f303000d9ef	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	246.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	[]	525	3354	-0.39	33.76																																								
PreservedSpecimen	122329.284869	Invertebrate Zoology: Crustacea	-62.6829986572	-57.8499984741	USNM	1120	662.0	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	92709937-f260-4c0f-b978-df282aa9edba	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	891.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	['DEPTH_EXCEEDS_BATH']	816	52203	-0.89	33.94			5	1963-01-05T12:00:00Z						Fry, W. G., Hedgpeth, J. W.				1					Alcohol (Ethanol)		Bouvier					1963	-220579200000.0	-220579200000.0	-220579200000.0	1963.0			National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	observedindividualcount=1;	1.0	female	Antarctic Ocean	South Shetland Islands, Bransfield Strait, Penguin Island, South Of
PreservedSpecimen	1122984.943044	Invertebrate Zoology	-64.6166687012	-62.8466682434	USNM	670	640.0	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	9b1c830c-ce61-4b40-bd8f-0c66c3fe7ee4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	655.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	[]	651	3521	-0.47	33.7			25	1982-03-25T12:00:00Z						Child, C. Allan				3					Alcohol (Ethanol)		Bouvier					1982	385862400000.0	385862400000.0	385862400000.0	1982.0			National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	observedindividualcount=1;	1.0		Antarctic Ocean	Antarctic Peninsula, Palmer Archipelago
HumanObservation	23982	SOMBASE Pycnogonids	-72.9499969482	171.583297729	BAS	575	567.0	Pentapycnon charcoti	urn:lsid:marinespecies.org:taxname:173575	acae4e3a-21ab-40d8-b30f-748f65433519	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	571.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pentapycnon	Pentapycnon charcoti	2	1065	1274	1302	1358	379601	379611	1567	173566	173575	173575	Pentapycnon charcoti	[]	567	54137	-1.64	34.04																																								
