basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	identifiedBy	typeStatus	day	eventDate	month	verbatimLocality	year	date_start	date_mid	date_end	date_year	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid
PreservedSpecimen	2008-20537	Pycnogonida	IU	NC	-22.340483	167.390274	Pycnogonidae	BIOCAL/CP75	POINT  (167.390274 -22.340483)	Pycnogonum	WGS84	1	MNHN	Animalia	CC_BY_4_0	Entre Grande Terre et Ile des Pins	2015-06-19T21:23Z	462426628	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20537	Pycnogonum moniliferum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240046	moniliferum	SPECIES	Pacific Ocean	0f85ecc3-4928-40be-b6d6-497a99efa03c	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum Stock, J.H., 1991	['NO_DEPTH']	868	19518	25.0	35.16																				
PreservedSpecimen	2008-20685	Pycnogonida	IU	NC	-22.887884	167.290253	Pycnogonidae	BIOCAL/DW46	POINT  (167.290253 -22.887884)	Pycnogonum	WGS84	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-10-17T16:39Z	453781671	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20685	Pycnogonum moniliferum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240046	moniliferum	SPECIES	Pacific Ocean	12f46faf-15b3-43ce-aecf-0eef4d842394	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum Stock, J.H., 1991	['NO_DEPTH']	555	22223	24.35	35.27	Stock	PARATYPE																		
PreservedSpecimen	2008-20535	Pycnogonida	IU	NC	-22.340483	167.390274	Pycnogonidae	BIOCAL/CP75	POINT  (167.390274 -22.340483)	Pycnogonum	WGS84	1	MNHN	Animalia	CC_BY_4_0	Entre Grande Terre et Ile des Pins	2015-06-19T21:23Z	462426626	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20535	Pycnogonum moniliferum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240046	moniliferum	SPECIES	Pacific Ocean	1bc0574c-c3bd-4a3f-9420-55e0873ab1b5	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum Stock, J.H., 1991	['NO_DEPTH']	868	19518	25.0	35.16																				
PreservedSpecimen	2011-5716	Pycnogonida	IU	NC	-23.090534	167.75592	Pycnogonidae	BIOCAL/DW51	POINT  (167.75592 -23.090534)	Pycnogonum	WGS84	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	442597367	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-5716	Pycnogonum moniliferum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240046	moniliferum	SPECIES	Pacific Ocean	1e4f081a-9802-4bf2-873b-b0f6aa8645bb	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum Stock, J.H., 1991	['NO_DEPTH']	688	41139	24.56	35.27	Stock	PARATYPE																		
PreservedSpecimen	2008-20534	Pycnogonida	IU	FJ	-18.843334	-178.535507	Pycnogonidae	BORDAU 1/CP1490	POINT  (-178.535507 -18.843334)	Pycnogonum	WGS84	1	MNHN	Animalia	CC_BY_4_0	Ride de Lau	2015-06-19T21:23Z	462402555	Pantopoda	Arthropoda	Bouchet, Warén & Richer-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20534	Pycnogonum moniliferum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240046	moniliferum	SPECIES	Pacific Ocean	3e3149a4-1cd7-47b4-90d3-a1e700f0c3b7	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum Stock, J.H., 1991	['NO_DEPTH']	283	6407	26.91	34.88			11	1999-03-11T01:00Z	3	Yangasa Cluster	1999	921110400000.0	921110400000.0	921110400000.0	1999.0									
PreservedSpecimen	2008-20533	Pycnogonida	IU	FJ	-17.3055	-179.556671	Pycnogonidae	BORDAU 1/DW1459	POINT  (-179.556671 -17.3055)	Pycnogonum	WGS84	1	MNHN	Animalia	CC_BY_4_0	Ride de Lau	2015-06-19T21:23Z	462402554	Pantopoda	Arthropoda	Bouchet, Warén & Richer-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20533	Pycnogonum moniliferum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240046	moniliferum	SPECIES	Pacific Ocean	64eaa3ee-d923-4ecc-bf37-4cc3108edbeb	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum Stock, J.H., 1991	['NO_DEPTH']	70	5005	27.56	34.79			5	1999-03-05T01:00Z	3	Yacata	1999	920592000000.0	920592000000.0	920592000000.0	1999.0									
Occurrence	21714	Pycnogonida	NewCaledonia		-23.0799999237061	167.740005493164	Pycnogonidae			Pycnogonum			IRD-MNHN	Animalia		Biocal, DW51	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21714:0x2781170001000500	Pantopoda	Arthropoda			Pycnogonum moniliferum		urn:lsid:marinespecies.org:taxname:240046				66bde34b-5a11-49f2-8750-bc006d022e08	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum	[]	706	39361	24.51	35.26												Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	700.0	680.0	present	690.0	Biota	1.0
Occurrence	45373	Pycnogonida	NewCaledonia		-17.2999992370605	179.550003051758	Pycnogonidae			Pycnogonum			IRD-MNHN	Animalia		Bordau 1, DW1459	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:45373:0xD469170001000100	Pantopoda	Arthropoda			Pycnogonum moniliferum		urn:lsid:marinespecies.org:taxname:240046				76a2d708-19eb-4eeb-a559-c007e7785f35	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum	[]	1712	11513	27.4	34.75												Bamber RN (2004). Tropical Deep Sea Benthos 23(191): 73-83.	Fidji	https://marineinfo.org/id/dataset/3128	863.0	820.0	present	841.5	Biota	1.0
PreservedSpecimen	2007-4631	Pycnogonida	IU	NC	-22.887884	167.290253	Pycnogonidae	BIOCAL/DW46	POINT  (167.290253 -22.887884)	Pycnogonum	WGS84	6	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	440016258	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4631	Pycnogonum moniliferum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240046	moniliferum	SPECIES	Pacific Ocean	7791c4ef-fed2-48e1-85c5-f9bb37ed223c	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum Stock, J.H., 1991	['NO_DEPTH']	555	22223	24.35	35.27	Stock	PARATYPE																		
Occurrence	21712	Pycnogonida	NewCaledonia		-22.3099994659424	167.380004882812	Pycnogonidae			Pycnogonum			IRD-MNHN	Animalia		Biocal, CP75	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21712:0xE38C170001000000	Pantopoda	Arthropoda			Pycnogonum moniliferum		urn:lsid:marinespecies.org:taxname:240046				78da5f33-0256-4537-bfa7-1e639e05fb6c	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum moniliferum	2	1065	1274	1302	1358	379601	379611	1567	134595	240046	240046	Pycnogonum moniliferum	[]	860	23014	25.01	35.13												Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	860.0	825.0	present	842.5	Biota	1.0
