basisOfRecord	collectionCode	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceRemarks	occurrenceStatus	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	catalogNumber	continent	coordinateUncertaintyInMeters	datasetID	datasetName	dateIdentified	fieldNumber	identifiedBy	lifeStage	locality	locationID	modified	otherCatalogNumbers	preparations	sex	specificEpithet	typeStatus	superdomain	superdomainid	associatedReferences	country	eventID	eventTime	georeferencedBy	georeferencedDate	habitat	institutionID	language	license	locationAccordingTo	organismQuantity	organismQuantityType	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingProtocol	stateProvince	type	verbatimDepth	verbatimEventDate	verbatimLocality
HumanObservation	2006B3	2	74.983001709	60.1829986572	1925-9-2	ArcOD	340.0	170.0	9	5152	;;134701;Elding	present	Gorbunov	Nymphon microrhynchum	G.O. Sars, 1888	urn:lsid:marinespecies.org:taxname:134701	1925	080f6fc9-9c17-4c53-a146-95a8be394922	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	255.0	-1398988800000	-1398988800000	-1398988800000	1925	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon microrhynchum	['DEPTH_EXCEEDS_BATH']	-56.0	249	-0.01	33.23																																									
HumanObservation	2006B3	18	79.1500015259	78.5	1930-8-18	ArcOD		950.0	8	7465	;;134701;Sedov	present	Gorbunov	Nymphon microrhynchum	G.O. Sars, 1888	urn:lsid:marinespecies.org:taxname:134701	1930	13bf752e-7492-44f5-ac83-78e2a3e02bb3	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	950.0	-1242518400000	-1242518400000	-1242518400000	1930	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon microrhynchum	['DEPTH_EXCEEDS_BATH']	132.0	41867	-1.04	33.84																																									
PreservedSpecimen	urn:catalog:RBINS:Pycnogonida		70.416667	57.933333	1907	RBINS-Scientific Heritage				http://collections.naturalsciences.be/specimen/382247		present		Nymphon microrhynchum	Sars, 1888	urn:lsid:marinespecies.org:taxname:134701	1907	1410ebf3-3dfc-45f3-adaa-80ae67ce1940	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-1988150400000	-1972425600000	-1956700800000	1907	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon microrhynchum Sars, 1888	['NO_DEPTH']	51.0	18099	1.34	33.18	INV.69192	Cara See	1000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1931-01	8719/st153	Giltay L.B. (Dr.)	unknown	Cara See	http://www.geonames.org/1504324	2011-07-04 12:43:47	urn:catalog:RBINS:IG:8719	container type: vial; preservation method: alcohol	unknown	microrhynchum	specimen	Biota	1.0																						
HumanObservation	2006B3	20	71.9670028687	37.4000015259	1899-7-20	ArcOD	2980.0	2930.0	7	1202	;;134701;Andrey Pervozvannyy	present	Knipovich	Nymphon microrhynchum	G.O. Sars, 1888	urn:lsid:marinespecies.org:taxname:134701	1899	157745e9-d30c-4388-af20-99ffcd4e2e3e	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	2955.0	-2223244800000	-2223244800000	-2223244800000	1899	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon microrhynchum	['DEPTH_EXCEEDS_BATH']	279.2	283908	4.11	34.93																																									
HumanObservation		17	70.19653	-78.39088	2012-08-17 0:00:00	University Of Quebec At Rimouski / Institut Des Sciences De La Mer (UQAR, ISMER)	13.0	13.0	8	Steensby Inlet_138		Present	DFO - ISMER	Nymphon microrhynchum	G.O. Sars, 1888	urn:lsid:marinespecies.org:taxname:134701	2012	2cfed0ed-a5d1-4b34-8bb4-a8478c8180a3	37406772-0bd9-4647-a699-cabc74a23741	['7dfb2d90-9317-434d-8d4e-64adf324579a']	13.0	1345161600000	1345161600000	1345161600000	2012	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon microrhynchum	[]	14.0	1101	-0.76	31.07	Steensby Inlet_138			caisin_benthicinverts_goldsmit	CAISN: Abundance and biomass of benthic invertebrates collected in four ports of the Canadian Arctic during summers of 2011 and 2012	2012.00	3E2_subtidal - deep	DFO - ISMER		Steensby Inlet	OAPQB	2016-09-20 0:00:00				microrhynchum				Goldsmit, Jesica, Kimberly L. Howland and Philippe Archambault. 2014. Establishing a baseline for early detection of non-indigenous species in ports of the Canadian Arctic  Aquatic Invasions (2014) Volume 9, Issue 3: 327–342.	Canada	Steensby Inlet_3E2_subtidal - deep	10:40+0400	DFO - ISMER	2012.00	sand, algae and bivalve shells	EDMO 3361	En	http://creativecommons.org/publicdomain/zero/1.0/legalcode	Canadian Geographical Names Data Base (CGNDB)	0.01	abundance	DFO - ISMER	m3	0.00117	Core: 15cm high x 10cm diameter	Nunavut	Event	13	August 17, 2012	Steensby Inlet mouth
HumanObservation	2006B3	9	80.9749984741	73.5329971313	1936-9-9	ArcOD	4460.0	4440.0	9	11696	;;134701;Sadko	present	Gorbunov	Nymphon microrhynchum	G.O. Sars, 1888	urn:lsid:marinespecies.org:taxname:134701	1936	2fe5ab4f-520c-4ebd-9bf7-ad3d25132961	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	4450.0	-1051228800000	-1051228800000	-1051228800000	1936	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon microrhynchum	['DEPTH_EXCEEDS_BATH']	406.0	95259	-1.13	33.95																																									
HumanObservation	2006B3	1	79.266998291	80.516998291	1934-8-1	ArcOD		800.0	8	9874	;;134701;Sedov	present	Vagin	Nymphon microrhynchum	G.O. Sars, 1888	urn:lsid:marinespecies.org:taxname:134701	1934	7296e3db-eb77-41d9-806d-a8a689ade399	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	800.0	-1117756800000	-1117756800000	-1117756800000	1934	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon microrhynchum	['DEPTH_EXCEEDS_BATH']	48.0	65365	-1.19	33.98																																									
HumanObservation	2006B3	3	76.6330032349	81.8000030518	1930-9-3	ArcOD		570.0	9	7653	;;134701;Sedov	present	Gorbunov	Nymphon microrhynchum	G.O. Sars, 1888	urn:lsid:marinespecies.org:taxname:134701	1930	996dacc2-5085-402a-9f8c-3e0041be988b	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	570.0	-1241136000000	-1241136000000	-1241136000000	1930	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon microrhynchum	['DEPTH_EXCEEDS_BATH']	56.0	71163	-0.5	32.53																																									
Occurrence	White Sea Benthos	26	66.97883333333333	32.57383333333333	2008-07-26	RAS-WSBS		15.0	7	urn:catalog:RAS-WSBS:White Sea Benthos:8498		present		Nymphon microrhynchum		urn:lsid:marinespecies.org:taxname:379205	2008	9e102dd9-6345-47c0-9996-1c04976219d5	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	15.0	1217030400000	1217030400000	1217030400000	2008	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon longitarse	[]	0.0	226	3.75	27.21	8498	White Sea		https://marineinfo.org/id/dataset/2769								2011-01-13 16:31:07						Biota	1.0																						
HumanObservation	2006B3	11	79.9280014038	64.108001709	1936-9-11	ArcOD	1140.0	1030.0	9	11723	;;134701;Sadko	present	Gorbunov	Nymphon microrhynchum	G.O. Sars, 1888	urn:lsid:marinespecies.org:taxname:134701	1936	a09c0150-db24-4dc1-9638-2467f4668f1d	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1085.0	-1051056000000	-1051056000000	-1051056000000	1936	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	134701	134701	Nymphon microrhynchum	['DEPTH_EXCEEDS_BATH']	144.0	70484	-1.14	33.72																																									
