associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	stateProvince	lifeStage	fieldNumber	recordedBy
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181075.137027	Invertebrate Zoology: Crustacea	14	-54.6669998169	-57.0830001831	observedindividualcount=1;	1966-03-14T12:00:00Z	Child, C. Allan	1.0	USNM	Burdwood Bank, S Burdwood Bank, SE Of Tierra Del Fuego	128	124	3	Alcohol (Ethanol)	Dromedopycnon acanthus	Child	urn:lsid:marinespecies.org:taxname:239576	female	Paratype	South Atlantic Ocean	1966	12d3ecc4-63b8-4bc1-9668-4120c590b30b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	126	-120009600000.0	-120009600000.0	-120009600000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	141	238608	5.47	34.04					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181072.137024	Invertebrate Zoology: Crustacea	18	-56.0999984741	-66.3170013428	observedindividualcount=1;	1963-09-18T12:00:00Z	Child, C. Allan	1.0	USNM	Drake Passage, Cape Horn, East Of	494	384	9	Alcohol (Ethanol)	Dromedopycnon acanthus	Child	urn:lsid:marinespecies.org:taxname:239576	male	Holotype	South Atlantic Ocean	1963	12e888d7-bb65-4128-9008-9e1c7b15ef6d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	439	-198460800000.0	-198460800000.0	-198460800000.0	1963.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	810	42342	6.06	34.02	Argentina	Tierra del Fuego			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181079.137031	Invertebrate Zoology: Crustacea	21	-8.04166984558	-34.3833312988	observedindividualcount=1;	1967-02-21T12:00:00Z	Child, C. Allan	1.0	USNM	SE Of Recife	587	587	2	Alcohol (Ethanol)	Dromedopycnon acanthus	Child	urn:lsid:marinespecies.org:taxname:239576		Paratype	South Atlantic Ocean	1967	17a1f644-5940-44f3-8959-60fb3901f443	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	587	-90288000000.0	-90288000000.0	-90288000000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	1096	49657	27.51	36.67	Brazil	Recife	juvenile		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181078.137030	Invertebrate Zoology: Crustacea	27	-54.9169998169	-64.0	observedindividualcount=1;	1971-10-27T12:00:00Z	Child, C. Allan	1.0	USNM	Drake Passage, Off Cape Horn	903	771	10	Alcohol (Ethanol)	Dromedopycnon acanthus	Child	urn:lsid:marinespecies.org:taxname:239576		Paratype	South Atlantic Ocean	1971	20b0d4cd-6741-4fc9-a9d6-5d998144702e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	837	57369600000.0	57369600000.0	57369600000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	1169	11417	6.3	33.99			juvenile		
	HumanObservation		22161	SOMBASE Pycnogonids		-54.6833000183	-56.9832992554					BAS		124	124			Dromedopycnon acanthus		urn:lsid:marinespecies.org:taxname:239576					20d6e059-b8b2-4d2b-b75c-a419a09d8193	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	124					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	127	243902	5.47	34.04					
	HumanObservation		22160	SOMBASE Pycnogonids		-56.1032981873	-66.3165969849					BAS		494	384			Dromedopycnon acanthus		urn:lsid:marinespecies.org:taxname:239576					280f96a3-47f8-4e3a-9166-c328e4108e3a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	439					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	859	42625	6.06	34.02					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1123010.943096	Invertebrate Zoology	18	-56.108001709	-66.4079971313	observedindividualcount=4;	1963-09-18T12:00:00Z	Child, C. Allan	4.0	USNM	Drake Passage, Cape Horn	494	384	9	Alcohol (Ethanol)	Dromedopycnon acanthus	Child	urn:lsid:marinespecies.org:taxname:239576			South Atlantic Ocean	1963	2f7879f5-b250-4525-ac1b-923e52b7f262	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	439	-198460800000.0	-198460800000.0	-198460800000.0	1963.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	672	39328	6.15	34.01	Argentina	Tierra del Fuego		USARP/EL/9/740/USC	University of Southern California
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1123015.943101	Invertebrate Zoology	30	-54.9183311462	-64.1575012207	observedindividualcount=1;	1971-10-30T12:00:00Z	Child, C. Allan	1.0	USNM	Staten Island	511	493	10	Alcohol (Ethanol)	Dromedopycnon acanthus	Child	urn:lsid:marinespecies.org:taxname:239576			South Atlantic Ocean	1971	3d807357-3025-4807-8f85-119830090241	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	502	57628800000.0	57628800000.0	57628800000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	494	4171	6.43	33.98	Argentina	Tierra del Fuego		USARP/HE/715/885/SOSC	Smithsonian Oceanographic Sorting Center
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181073.137025	Invertebrate Zoology: Crustacea	18	-56.0999984741	-66.3170013428	observedindividualcount=26;	1963-09-18T12:00:00Z	Child, C. Allan	26.0	USNM	Drake Passage, Cape Horn, East Of	494	384	9	Alcohol (Ethanol)	Dromedopycnon acanthus	Child	urn:lsid:marinespecies.org:taxname:239576	male; female;;;	Paratype	South Atlantic Ocean	1963	5d006e1d-9276-4c79-9884-d8bcab60ecbf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	439	-198460800000.0	-198460800000.0	-198460800000.0	1963.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	810	42342	6.06	34.02	Argentina	Tierra del Fuego	;; juvenile; larvae V		
	HumanObservation		22162	SOMBASE Pycnogonids		-54.9199981689	-64.1532974243					BAS		511	493			Dromedopycnon acanthus		urn:lsid:marinespecies.org:taxname:239576					6a9d14a4-2c14-4ba5-80bc-977b177dd3ea	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	502					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Dromedopycnon	Dromedopycnon acanthus	2	1065	1274	1302	1358	379601	379608	1562	236265	239576	239576	Dromedopycnon acanthus	[]	494	4421	6.43	33.98					
