basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	individualCount	language	locality	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	specificEpithet	startDayOfYear	waterBody	year	date_start	date_mid	date_end	date_year	bibliographicCitation	country	datasetID
HumanObservation	37804	SOMBASE Pycnogonids	-54.7616004944	-35.625	BAS	80.0	65	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	009340e0-415a-4b78-b441-194ed8a83d6e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	81	10274	1.68	33.76																													
HumanObservation	23007	SOMBASE Pycnogonids	-54.6500015259	-35.8166007996	BAS	127.0	98	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	0e9616e0-29f0-4838-a4e6-770362244124	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	112.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	112	7001	1.73	33.76																													
HumanObservation	37797	SOMBASE Pycnogonids	-54.7616004944	-35.625	BAS	80.0	65	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	0f83fa0e-10c9-4753-aece-03926b6f3ea6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	81	10274	1.68	33.76																													
HumanObservation	39812	SOMBASE Pycnogonids	-62.8284988403	-60.4095001221	BAS	600.0	600	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	24129475-dde7-4a84-a489-495dc70ce01a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	600.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	596	8456	-0.45	33.94																													
HumanObservation	Stn 170 Nymphon clarencei	Discovery Reports	-61.425	-53.7667	NIWA	342.0	342	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	2ed86d22-501b-4fdc-bb56-0352acfd54bc	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	342.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	674	20860	-0.87	34.03	1000	Discovery Expedition Biological Reports	23	1927-02-23	1	Stn 170	POINT (-53.7667 -61.425)	WGS84	4	en	off Cape Bowles, Clarence Island	2019-03-15	2	5361	Large dredge, heavy pattern, 1.2m in length	present	Large dredge, heavy pattern, 1.2m in length	Gordon, 1932	clarencei	54	Southern Ocean	1927	-1352419200000.0	-1352419200000.0	-1352419200000.0	1927.0			
PreservedSpecimen	169	Invertebrate Zoology	-63.41601667	-61.8414	USNM		132	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	5a9dd13f-f9fe-48f8-b272-616ad77c3151	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	132.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	243	10401	-0.41	33.75											Peninsula	2010-01-21T00:00Z		urn:catalog:BAS:CAML - Mahon:169					clarencei								Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	Antarctica	IMIS:dasid:1785
PreservedSpecimen	82	Invertebrate Zoology	-63.41601667	-61.8414	USNM		132	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	5be904cf-8b8a-4e07-b9a7-7d984af6ead0	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	132.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	243	10401	-0.41	33.75											Peninsula	2010-01-21T00:00Z		urn:catalog:BAS:CAML - Mahon:82					clarencei								Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	Antarctica	IMIS:dasid:1785
HumanObservation	34594	SOMBASE Pycnogonids	-61.4249992371	-53.7667007446	BAS	342.0	342	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	5fea8dbc-11a5-440a-9d89-9c2d6a6f8413	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	342.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	676	20860	-0.87	34.03																													
HumanObservation	34592	SOMBASE Pycnogonids	-53.9166984558	-38.0003013611	BAS	107.0	104	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	606c87e8-a354-45d8-92d8-1244c26f75fa	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	105.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	111	9312	1.73	33.74																													
HumanObservation	34593	SOMBASE Pycnogonids	-53.7277984619	-40.9500007629	BAS	177.0	177	Nymphon clarencei	urn:lsid:marinespecies.org:taxname:173391	6a6d754b-94a7-474f-a81b-72f6082dae26	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	177.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon clarencei	2	1065	1274	1302	1358	379601	379609	1566	134591	173391	173391	Nymphon clarencei	[]	198	56597	1.94	33.78																													
