basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	dynamicProperties	identifiedBy	lifeStage	preparations	country	stateProvince
HumanObservation	Stn WS 93 Pycnogonum platylophum	Pycnogonida	Discovery Reports	500	Discovery Expedition Biological Reports	9	-51.875	-61.5	1927-04-09	39	Pycnogonidae	Stn WS 93	LINESTRING (-61.5 -51.85, -61.5 -51.9)	Pycnogonum	WGS84	1	NIWA	Animalia	en	7 miles S 80° E of Beaver Island, West Falkland Islands	133	130	2019-03-15	4	5543	Commercial otter trawl. Head rope 24.5m long: 38mm mesh at cod-end	present	Pantopoda	Arthropoda	Commercial otter trawl. Head rope 24.5 m long: 38mm mesh at cod-end	Pycnogonum platylophum	Loman, 1923	urn:lsid:marinespecies.org:taxname:173594	f	platylophum	99	Atlantic Ocean	1927	0384da67-735e-495a-9a57-1a5b27425f37	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	131.5	-1348531200000.0	-1348531200000.0	-1348531200000.0	1927.0	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	[]	127	11383	7.1	34.03								
HumanObservation	37202	Pycnogonida	SOMBASE Pycnogonids				-46.3998985291	51.7666015625			Pycnogonidae			Pycnogonum			BAS	Animalia			5	0						Pantopoda	Arthropoda		Pycnogonum platylophum		urn:lsid:marinespecies.org:taxname:173594						26609acf-aa47-459d-9dff-8f5b835d93d6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.5					False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-244	-3008	5.17	33.75								
HumanObservation	24014	Pycnogonida	SOMBASE Pycnogonids				-54.4832992554	-63.8333015442			Pycnogonidae			Pycnogonum			BAS	Animalia			112	112						Pantopoda	Arthropoda		Pycnogonum platylophum		urn:lsid:marinespecies.org:taxname:173594						2bca7be4-540f-46f7-b136-5a3cba3fad70	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	112.0					False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	[]	79	25756	6.72	33.99								
HumanObservation	24013	Pycnogonida	SOMBASE Pycnogonids				-54.9165992737	-64.0			Pycnogonidae			Pycnogonum			BAS	Animalia			903	771						Pantopoda	Arthropoda		Pycnogonum platylophum		urn:lsid:marinespecies.org:taxname:173594						2d5f0f66-32a6-4444-8e7e-a4c4cb68ed7e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	837.0					False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	[]	966	11383	6.52	33.98								
HumanObservation	34947	Pycnogonida	SOMBASE Pycnogonids				-66.8000030518	71.6999969482			Pycnogonidae			Pycnogonum			BAS	Animalia			540	540						Pantopoda	Arthropoda		Pycnogonum platylophum		urn:lsid:marinespecies.org:taxname:173594						2ed7bf30-29b7-44b1-8aaa-c1fc6594cb4b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	540.0					False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	[]	513	138403	-1.59	34.04								
HumanObservation	33992	Pycnogonida	SOMBASE Pycnogonids				-46.7165985107	37.9500007629			Pycnogonidae			Pycnogonum			BAS	Animalia			775	0						Pantopoda	Arthropoda		Pycnogonum platylophum		urn:lsid:marinespecies.org:taxname:173594						35508819-511b-4a07-be63-71afc89291d7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	387.5					False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	['DEPTH_EXCEEDS_BATH']	176	5017	5.71	33.82								
HumanObservation	24007	Pycnogonida	SOMBASE Pycnogonids				-53.4000015259	-66.5			Pycnogonidae			Pycnogonum			BAS	Animalia			80	79						Pantopoda	Arthropoda		Pycnogonum platylophum		urn:lsid:marinespecies.org:taxname:173594						400dea36-cb82-43e6-86a5-1cbaaba12bfc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	79.5					False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	[]	78	84570	7.09	33.98								
PreservedSpecimen	142044.105864	Pycnogonida	Invertebrate Zoology: Crustacea			7	-54.8330001831	-129.817001343	1964-11-07T12:00:00Z		Pycnogonidae			Pycnogonum		52.0	USNM	Animalia		Pacific-Antarctic Ridge	604	567		11				Pantopoda	Arthropoda		Pycnogonum platylophum	Loman	urn:lsid:marinespecies.org:taxname:173594	male; female;;			South Pacific Ocean	1964	434803af-e2b0-493b-aa37-3205b149365c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	585.5	-162518400000.0	-162518400000.0	-162518400000.0	1964.0	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	[]	1441	2045214	5.63	34.05	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=52;	Hedgpeth, J. W.	;; juvenile	Alcohol (Ethanol)		
PreservedSpecimen	142042.105862	Pycnogonida	Invertebrate Zoology: Crustacea			11	-55.016998291	-64.858001709	1964-02-11T12:00:00Z		Pycnogonidae			Pycnogonum		1.0	USNM	Animalia			641	586		2				Pantopoda	Arthropoda		Pycnogonum platylophum	Loman	urn:lsid:marinespecies.org:taxname:173594	female			South Atlantic Ocean	1964	434de45b-796e-4677-b9d8-e5f94bb99428	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	613.5	-185846400000.0	-185846400000.0	-185846400000.0	1964.0	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	[]	561	14925	6.57	33.97	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	Hedgpeth, J. W.		Alcohol (Ethanol)	Argentina	Tierra del Fuego
HumanObservation	24010	Pycnogonida	SOMBASE Pycnogonids				-65.5832977295	-67.3165969849			Pycnogonidae			Pycnogonum			BAS	Animalia			161	161						Pantopoda	Arthropoda		Pycnogonum platylophum		urn:lsid:marinespecies.org:taxname:173594						45db8ecf-e8b3-4c41-bea8-436f0fce8923	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	161.0					False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum platylophum	2	1065	1274	1302	1358	379601	379611	1567	134595	173594	173594	Pycnogonum platylophum	[]	166	53881	-0.56	33.38								
