associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionID	countryCode	eventDate	eventID	occurrenceID	occurrenceStatus	date_start	date_mid	date_end	date_year	country	day	dynamicProperties	individualCount	month	preparations	sex	stateProvince	year
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-017_B2	B89PII	313160.0	27.3017368317	-83.2079162598	Child, C. A.	HRI	ENE Gulf of Mexico	73.0	1.0	Database description and disclaimer at: http://gulfbase.org/	Nymphopsis anarthra	Loman,	urn:lsid:marinespecies.org:taxname:239951	1-73	Gulf of Mexico	0bbba7a3-5ff2-4356-a765-9aac3b66954d	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	37.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis anarthra	1.0	2	1065	1274	1302	1358	379601	379608	1562	236282	239951	239951	Nymphopsis anarthra	[]	34	52419	24.91	35.99																			
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-017_B3	B89PII	234990.0	26.9666690826	-84.1912689209	Child, C. A.	HRI	ENE Gulf of Mexico	73.0	1.0	Database description and disclaimer at: http://gulfbase.org/	Nymphopsis anarthra	Loman,	urn:lsid:marinespecies.org:taxname:239951	1-73	Gulf of Mexico	1d070ae2-96ba-4973-b36b-a5719847c225	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	37.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis anarthra	1.0	2	1065	1274	1302	1358	379601	379608	1562	236282	239951	239951	Nymphopsis anarthra	[]	121	156242	25.82	35.95																			
	PreservedSpecimen		7267	FSBC I		27.616667	-84.216667				73.0	73.0		Nymphopsis anarthra		urn:lsid:marinespecies.org:taxname:239951			338cf390-0dbf-4b59-b5ed-168e1d66055d	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	73.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis anarthra		2	1065	1274	1302	1358	379601	379608	1562	236282	239951	239951	Nymphopsis anarthra	[]	67	137300	25.28	35.84	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	1967-10-06	112e8277-f2f5-44ed-a696-f35f73ee4d99	385c63b2-1171-41ec-93cb-a2b09285b50c	Present	-70675200000.0	-70675200000.0	-70675200000.0	1967.0									
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-017_B1	B89PII	349800.0	27.4702758789	-82.6907272339	Child, C. A.	HRI	ENE Gulf of Mexico	73.0	1.0	Database description and disclaimer at: http://gulfbase.org/	Nymphopsis anarthra	Loman,	urn:lsid:marinespecies.org:taxname:239951	1-73	Gulf of Mexico	35caa476-a366-4757-8844-59b82dcffb11	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	37.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis anarthra	1.0	2	1065	1274	1302	1358	379601	379608	1562	236282	239951	239951	Nymphopsis anarthra	['DEPTH_EXCEEDS_BATH']	-4	42	24.73	36.0																			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	213522.168282	Invertebrate Zoology: Crustacea		27.6170005798	-84.2170028687	Child, C. Allan	USNM	85 Mile W Of Egmont Key	73.2	73.2		Nymphopsis anarthra	Loman	urn:lsid:marinespecies.org:taxname:239951		North Atlantic Ocean	8cbd3073-f94a-4115-97f3-7b796d120e3f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	73.2	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis anarthra		2	1065	1274	1302	1358	379601	379608	1562	236282	239951	239951	Nymphopsis anarthra	[]	67	137325	25.28	35.84			1967-10-06T12:00:00Z				-70675200000.0	-70675200000.0	-70675200000.0	1967.0	United States	6	observedindividualcount=2;	2.0	10	Alcohol (Ethanol)	male; female	Florida	1967
