basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	P.44738	Pycnogonida	co113	0.0896	10000	Australia	-35.583	137.516	1979-03-01	Phoxichilidiidae	POINT (137.51600 -35.58300)	Anoplodactylus	AM	Animalia	Kangaroo Island, Emu Bay	2017-03-02T15:49:53	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44738	present	Arthropoda	Anoplodactylus micros	urn:lsid:marinespecies.org:taxname:239787	Male	micros	species	51827272-bd86-4761-b3d8-49d2c2a419c3	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	289094400000	289094400000	289094400000	1979	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus micros	2	1065	1274	1302	1358	379601	379610	14469	134592	239787	239787	Anoplodactylus micros	['NO_DEPTH']	12.0	1139	17.06	35.95
PreservedSpecimen	P.45162	Pycnogonida	co113	0.8961	100000	Australia	-14.666	145.466	1982-01-16	Phoxichilidiidae	POINT (145.46600 -14.66600)	Anoplodactylus	AM	Animalia	Lizard Island, reef flat between Bird Island and South Island	2017-03-02T15:51:19	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45162	present	Arthropoda	Anoplodactylus micros	urn:lsid:marinespecies.org:taxname:239787	Male	micros	species	a5074fca-a7ba-4ed0-a85b-879e86189880	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	379987200000	379987200000	379987200000	1982	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus micros	2	1065	1274	1302	1358	379601	379610	14469	134592	239787	239787	Anoplodactylus micros	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91
PreservedSpecimen	P.75551	Pycnogonida	co113	0.009	1000	Australia	-38.583	142.82499	1988-04-28	Phoxichilidiidae	POINT (142.82499 -38.58300)	Anoplodactylus	AM	Animalia	Bay of Islands	2017-03-02T13:03:49	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.75551	present	Arthropoda	Anoplodactylus micros	urn:lsid:marinespecies.org:taxname:239787	Female	micros	species	eae09d95-4697-4914-93cb-e3b6dd3081c8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	578188800000	578188800000	578188800000	1988	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus micros	2	1065	1274	1302	1358	379601	379610	14469	134592	239787	239787	Anoplodactylus micros	['NO_DEPTH']	-4.0	90	15.68	35.58
