associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80605.273476	Invertebrate Zoology: Crustacea	Russia	27	48.7249984741	145.050003052	observedindividualcount=2;	1906-09-27T12:00:00Z	Hedgpeth, J. W.	2.0	USNM	Kuril Islands, Sakhalin Island	137	137	9	Alcohol (Ethanol)	Nymphon elongatum	Hilton	urn:lsid:marinespecies.org:taxname:239914	male; female	North Pacific Ocean	1906	4b2d6502-c2ee-499a-a9f3-219355aec9a8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	137	-1996444800000	-1996444800000	-1996444800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elongatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239914	239914	Nymphon elongatum	[]	175	23864	4.55	31.73
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80604.273475	Invertebrate Zoology: Crustacea	Japan	21	37.1361083984	137.133331299	observedindividualcount=1;	1906-07-21T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Honshu Island, No Saki	238	238	7	Alcohol (Ethanol)	Nymphon elongatum	Hilton	urn:lsid:marinespecies.org:taxname:239914	male	North Pacific Ocean	1906	8b3b9a12-c5c5-484f-8b4f-3b30bedb3d6b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	238	-2002320000000	-2002320000000	-2002320000000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elongatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239914	239914	Nymphon elongatum	['DEPTH_EXCEEDS_BATH']	124	6999	17.93	33.28
