associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	institutionCode	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	footprintWKT	geodeticDatum	georeferenceSources	language	locationID	modified	occurrenceID	occurrenceStatus	samplingProtocol	specificEpithet	locality	sex	typeStatus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1123308.943421	Invertebrate Zoology	4	-51.0079994202	-40.1749992371	observedindividualcount=2;	1966-02-04T12:00:00Z	USARP/EL/22/1527/USC	Child, C. Allan	2.0	USNM	3806	3742	2	Alcohol (Ethanol)	University of Southern California	Colossendeis stramenti	Fry & Hedgpeth	urn:lsid:marinespecies.org:taxname:240291	South Atlantic Ocean	1966	0966631d-69d5-4704-a631-ac4310c6da8a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3774.0	-123292800000.0	-123292800000.0	-123292800000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis stramenti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240291	240291	Colossendeis stramenti	[]	3852	309611	2.72	33.75																		
	PreservedSpecimen		17983	NIWA	8	-36.769833	177.473166		8/11/2004		Nielsen, Johanna		NIWA Invertebrate Collection	1506	1491	11	Specimen(s), Ethanol - no formalin = 1	NIWA; Seamount	Colossendeis stramenti	Fry & Hedgpeth, 1969	urn:lsid:marinespecies.org:taxname:240291		2004	5dd0e1ad-0926-453f-a928-fb83fc5c688a	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1498.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis stramenti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240291	240291	Colossendeis stramenti	[]	1685	84047	18.23	35.58	Oceania	100	New Zealand	NIWA Invertebrate Collection	2005	LINESTRING (177.473166 -36.769833, 177.477333 -36.775166)	WGS84	GPS	en	TAN0413/18	8/04/2022	5f125e7a-fa36-11e2-96b3-aa6f927c92a3	present	Trawl, Beam	stramenti			
	HumanObservation		37275	SOMBASE Pycnogonids		-61.2282981873	-55.9682998657						BAS	146	146				Colossendeis stramenti		urn:lsid:marinespecies.org:taxname:240291			a7efd29d-aeb2-4b96-b07c-ba1b57f7d5a7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	146.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis stramenti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240291	240291	Colossendeis stramenti	[]	170	24926	-0.37	33.98																		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	113385.83272	Invertebrate Zoology: Crustacea	14	-51.966999054	-56.6329994202	observedindividualcount=2;	1965-03-14T12:00:00Z		Fry, W. G., Hedgpeth, J. W.	2.0	USNM	1545	1181	3	Alcohol (Ethanol)		Colossendeis stramenti	Fry & Hedgpeth	urn:lsid:marinespecies.org:taxname:240291	South Atlantic Ocean	1965	d520628d-b136-4fdc-8216-2d500a2fcad8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1363.0	-151545600000.0	-151545600000.0	-151545600000.0	1965.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis stramenti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240291	240291	Colossendeis stramenti	['DEPTH_EXCEEDS_BATH']	799	79292	6.18	34.04																E Of Falkland Islands	male; female	Holotype + Paratype
	HumanObservation		23784	SOMBASE Pycnogonids		-51.0999984741	-40.1166000366						BAS	3806	3742				Colossendeis stramenti		urn:lsid:marinespecies.org:taxname:240291			f52ec207-f37b-4167-903d-e53b7cd24220	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3774.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis stramenti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240291	240291	Colossendeis stramenti	[]	3787	301937	2.67	33.74																		
