basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	locality	month	preparations	recordedBy	scientificNameAuthorship	sex	stateProvince	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year	lifeStage
HumanObservation	21755	SOMBASE Pycnogonids	-64.0483016968	-54.7715988159	BAS	23.0	23.0	Achelia lagena	urn:lsid:marinespecies.org:taxname:239422	0ae2fa46-0456-4341-a7c2-87c861b11536	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	23.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia lagena	2	1065	1274	1302	1358	379601	379608	1562	134568	239422	239422	Achelia lagena	[]	345	62094	-1.57	33.6																								
HumanObservation	21754	SOMBASE Pycnogonids	-54.7966003418	-65.2666015625	BAS	0.0	0.0	Achelia lagena	urn:lsid:marinespecies.org:taxname:239422	501a48c1-8bcd-4519-93f1-7f1a31c2dd90	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia lagena	2	1065	1274	1302	1358	379601	379608	1562	134568	239422	239422	Achelia lagena	['ON_LAND']	-13	-153	6.99	33.94																								
PreservedSpecimen	234615.186365	Invertebrate Zoology: Crustacea	-54.6520004272	-63.8349990845	USNM	137.0	135.0	Achelia lagena	urn:lsid:marinespecies.org:taxname:239422	71db39c6-46d5-42ee-bdfe-d406e5ef315b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	136.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia lagena	2	1065	1274	1302	1358	379601	379608	1562	134568	239422	239422	Achelia lagena	[]	111	7435	6.69	33.98	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Argentina	26	observedindividualcount=1;	1971-10-26T12:00:00Z	USARP/HE/715/874/SOSC	Bowman, Thomas E.	1.0	Staten Island	10	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Child	male	Tierra del Fuego	Holotype	South Atlantic Ocean	1971	57283200000.0	57283200000.0	57283200000.0	1971.0	
PreservedSpecimen	234617.186367	Invertebrate Zoology: Crustacea	-54.7966690063	-65.266998291	USNM			Achelia lagena	urn:lsid:marinespecies.org:taxname:239422	7274b3ab-439c-49d4-a3f5-fb5bb982f97a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia lagena	2	1065	1274	1302	1358	379601	379608	1562	134568	239422	239422	Achelia lagena	['NO_DEPTH', 'ON_LAND']	-38	-177	6.99	33.94	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Argentina	23	observedindividualcount=1;	1971-04-23T12:00:00Z		Bowman, Thomas E.	1.0	Los Estados Island	4	Alcohol (Ethanol)		Child		Tierra del Fuego	Paratype	South Atlantic Ocean	1971	41212800000.0	41212800000.0	41212800000.0	1971.0	juvenile
PreservedSpecimen	234618.186368	Invertebrate Zoology: Crustacea	-54.7716712952	-64.0483322144	USNM	23.0	23.0	Achelia lagena	urn:lsid:marinespecies.org:taxname:239422	92062a72-0819-451c-9f0f-4fee659dec9c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	23.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia lagena	2	1065	1274	1302	1358	379601	379608	1562	134568	239422	239422	Achelia lagena	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-41	-128	6.68	33.98	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Argentina	15	observedindividualcount=1;	1971-05-15T12:00:00Z		Bowman, Thomas E.	1.0	Puerto Cook	5	Alcohol (Ethanol)		Child	female	Tierra del Fuego	Paratype	South Atlantic Ocean	1971	43113600000.0	43113600000.0	43113600000.0	1971.0	
PreservedSpecimen	234616.186366	Invertebrate Zoology: Crustacea	-54.6520004272	-63.8349990845	USNM	137.0	135.0	Achelia lagena	urn:lsid:marinespecies.org:taxname:239422	958de991-6a43-40b7-8d43-f4aacbe0d3aa	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	136.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia lagena	2	1065	1274	1302	1358	379601	379608	1562	134568	239422	239422	Achelia lagena	[]	111	7435	6.69	33.98	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Argentina	26	observedindividualcount=4;	1971-10-26T12:00:00Z	USARP/HE/715/874/SOSC	Bowman, Thomas E.	4.0	Staten Island	10	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Child	male; female;;	Tierra del Fuego	Paratype	South Atlantic Ocean	1971	57283200000.0	57283200000.0	57283200000.0	1971.0	;; juvenile
HumanObservation	21756	SOMBASE Pycnogonids	-54.6500015259	-63.8333015442	BAS	137.0	135.0	Achelia lagena	urn:lsid:marinespecies.org:taxname:239422	a47b1b1a-83eb-43af-92e7-90529ea6e8c2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	136.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia lagena	2	1065	1274	1302	1358	379601	379608	1562	134568	239422	239422	Achelia lagena	[]	116	7629	6.71	33.98																								
