basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	year
HumanObservation	38438	SOMBASE Pycnogonids	-66.5516967773	93.0	BAS	3	3	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	015fb28e-e6ee-4f46-8ace-919ddbf91a12	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	293	286	-1.56	33.71																					
HumanObservation	21710	SOMBASE Pycnogonids	-72.0	172.466598511	BAS	528	523	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	0589e312-8514-406d-9deb-4167dde821ad	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	525.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	654	45036	-1.64	34.15																					
HumanObservation	38282	SOMBASE Pycnogonids	-66.5551986694	92.9570007324	BAS	8	8	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	09b53ec8-53b8-4f46-b636-495bb39fafb5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	8.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	321	476	-1.56	33.71																					
HumanObservation	38305	SOMBASE Pycnogonids	-66.533996582	92.9704971313	BAS	5	5	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	0c16ecb5-6afe-4906-b067-06fad33eeecf	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	365	19	-1.56	33.71																					
PreservedSpecimen	9297	NIWA	-72.3048	170.2813	NIWA Invertebrate Collection	44	44	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	0c7d3c51-5b2a-4d2d-8783-1af2526c2176	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	44.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	57	1138	-1.72	33.53	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection	19	19/01/1965	POINT (170.2813 -72.3048)	WGS84	en	E181	8/04/2022	1	5f037982-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 3	NZOI	Dredge, cone mesh with bag	(Bouvier, 1906)	mixed	communis	1965
HumanObservation	38444	SOMBASE Pycnogonids	-66.5514984131	93.0080032349	BAS	40	40	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	0ec27c47-bc64-4f76-a0ec-b23ff1476535	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	293	154	-1.56	33.71																					
HumanObservation	38307	SOMBASE Pycnogonids	-66.533996582	92.9704971313	BAS	17	17	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	10eed6e8-abf3-4f2a-93d6-8b05379f8ae6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	365	19	-1.56	33.71																					
HumanObservation	38440	SOMBASE Pycnogonids	-66.5516967773	93.0	BAS	40	40	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	113a43e3-c375-447a-b14e-2b6664da8388	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	293	286	-1.56	33.71																					
PreservedSpecimen	9359	NIWA	-71.3	170.0333	NIWA Invertebrate Collection	64	64	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	1163af39-e5fc-4c01-ace0-d2781a73474c	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	64.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	127	6203	-1.68	33.99	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection			POINT (170.0333 -71.3)	WGS84	en	E193C	8/04/2022		600739fe-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 2	NIWA	Trawl, Blake	(Bouvier, 1906)	mixed	communis	
PreservedSpecimen	9372	NIWA	-71.3	170.0	NIWA Invertebrate Collection	106	106	Achelia communis	urn:lsid:marinespecies.org:taxname:172858	120c7a22-f445-422a-bddf-1e1694fb18a7	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	106.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia communis	2	1065	1274	1302	1358	379601	379608	1562	134568	172858	172858	Achelia communis	[]	169	7389	-1.68	33.99	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection	26	26/01/1965	POINT (170 -71.3)	WGS84	en	E194	8/04/2022	1	602ca5a4-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 2	NZOI	Trawl, Blake	(Bouvier, 1906)	female	communis	1965
