basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	occurrenceRemarks
PreservedSpecimen	PS118_0221_03b	Pycnogonida	905	AQ	2	-60.8805	-48.9356	2019-04-02	PS118	Callipallenidae	PS118_77_2	LINESTRING (-48.919577 -60.88278, -48.95157 -60.87825)	Austropallene	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	1048	1036	4	PS118_0221_03b	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	Austropallene spinicornis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:173044	Male	spinicornis	species	PhysicalObject	2/4/2019	2019	09525807-dc89-478a-926f-b7dc92ba7d24	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1042.0	1554163200000.0	1554163200000.0	1554163200000.0	2019.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis	1.0	2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	[]	1047	126819	-1.09	33.94		
PreservedSpecimen	JR15005_1560_02	Pycnogonida	321	AQ	11	-60.361	-46.526	2016-03-11	JR15005	Callipallenidae	JR15005_75	LINESTRING (-46.52691 -60.36389, -46.52515 -60.3582)	Austropallene	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	1355	1049	3	JR15005_1560_02	Present	Pantopoda	2	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Austropallene spinicornis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:173044		spinicornis	species	PhysicalObject	11/3/2016	2016	1e1f6959-2784-4791-9ea8-d81810de95c2	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1202.0	1457654400000.0	1457654400000.0	1457654400000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis	1.0	2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	['DEPTH_EXCEEDS_BATH']	1102	23501	-0.87	33.82		
PreservedSpecimen	JR15005_2056_01	Pycnogonida	318	AQ	13	-60.4575	-44.7095	2016-03-13	JR15005	Callipallenidae	JR15005_95	LINESTRING (-44.70438 -60.45885, -44.71463 -60.45621)	Austropallene	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	1149	1062	3	JR15005_2056_01	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Austropallene spinicornis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:173044		spinicornis	species	PhysicalObject	13/03/2016	2016	2bf26911-480e-44fc-a712-a9f6bc0db6cb	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1105.5	1457827200000.0	1457827200000.0	1457827200000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis	1.0	2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	[]	1036	18420	-0.89	33.83		
PreservedSpecimen	JR15005_2001_20	Pycnogonida	345	AQ	13	-60.4735	-44.7209	2016-03-13	JR15005	Callipallenidae	JR15005_94	LINESTRING (-44.71575 -60.4717, -44.72595 -60.47529)	Austropallene	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	1028	992	3	JR15005_2001_20	Present	Pantopoda	3	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Austropallene spinicornis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:173044		spinicornis	species	PhysicalObject	13/03/2016	2016	3ba7a299-9461-403d-8669-64c9ac13b14f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1010.0	1457827200000.0	1457827200000.0	1457827200000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis	1.0	2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	[]	1015	16535	-0.89	33.83		
PreservedSpecimen	JR15005_1573_01	Pycnogonida	327	AQ	11	-60.3609	-46.5314	2016-03-11	JR15005	Callipallenidae	JR15005_76	LINESTRING (-46.53158 -60.36383, -46.53119 -60.35797)	Austropallene	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	1312	986	3	JR15005_1573_01	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Austropallene spinicornis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:173044		spinicornis	species	PhysicalObject	11/3/2016	2016	52323c89-ffd9-4e37-98d9-6ac15ae3f412	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1149.0	1457654400000.0	1457654400000.0	1457654400000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis	1.0	2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	['DEPTH_EXCEEDS_BATH']	1102	23400	-0.87	33.82		
HumanObservation	39643	Pycnogonida				-60.403301239	-46.1566009521			Callipallenidae			Austropallene				BAS		Animalia		1280	1200				Pantopoda			Arthropoda			Austropallene spinicornis		urn:lsid:marinespecies.org:taxname:173044							54c9ddcb-f792-4726-b661-8dd6f6754a0c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1240.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis		2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	['DEPTH_EXCEEDS_BATH']	905	9811	-0.88	33.84	SOMBASE Pycnogonids	
PreservedSpecimen	JR15005_2209_01	Pycnogonida	411	AQ	14	-60.4561	-44.3186	2016-03-14	JR15005	Callipallenidae	JR15005_105	LINESTRING (-44.31148 -60.45717, -44.32573 -60.45497)	Austropallene	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	1483	1447	3	JR15005_2209_01	Present	Pantopoda	6	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Austropallene spinicornis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:173044		spinicornis	species	PhysicalObject	14/03/2016	2016	a0856e33-a3be-46fd-bc19-00fcdfb29426	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1465.0	1457913600000.0	1457913600000.0	1457913600000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis	1.0	2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	[]	1542	23434	-0.87	33.83		
PreservedSpecimen	PS118_0221_03	Pycnogonida	905	AQ	2	-60.8805	-48.9356	2019-04-02	PS118	Callipallenidae	PS118_77_2	LINESTRING (-48.919577 -60.88278, -48.95157 -60.87825)	Austropallene	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	1048	1036	4	PS118_0221_03	Present	Pantopoda	11	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	Austropallene spinicornis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:173044	Male	spinicornis	species	PhysicalObject	2/4/2019	2019	b180bb28-eaaa-4ffd-bda1-666257c2348f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1042.0	1554163200000.0	1554163200000.0	1554163200000.0	2019.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis	1.0	2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	[]	1047	126819	-1.09	33.94		1 with eggs on both ovigers, one with larvae
PreservedSpecimen	JR15005_2675_03	Pycnogonida	336	AQ	16	-60.7206	-43.0074	2016-03-16	JR15005	Callipallenidae	JR15005_125	LINESTRING (-43.00217 -60.72222, -43.01253 -60.71896)	Austropallene	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	1139	1034	3	JR15005_2675_03	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Austropallene spinicornis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:173044		spinicornis	species	PhysicalObject	16/03/2016	2016	d3e9461a-7086-4bb5-a431-07b460f183f0	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1086.5	1458086400000.0	1458086400000.0	1458086400000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis	1.0	2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	['DEPTH_EXCEEDS_BATH']	972	71897	-1.0	33.84		
PreservedSpecimen	PS118_0221_03a	Pycnogonida	905	AQ	2	-60.8805	-48.9356	2019-04-02	PS118	Callipallenidae	PS118_77_2	LINESTRING (-48.919577 -60.88278, -48.95157 -60.87825)	Austropallene	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	1048	1036	4	PS118_0221_03a	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	Austropallene spinicornis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:173044	Male	spinicornis	species	PhysicalObject	2/4/2019	2019	ebdcb491-490e-4562-9266-5088a1a0f9e2	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1042.0	1554163200000.0	1554163200000.0	1554163200000.0	2019.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene spinicornis	1.0	2	1065	1274	1302	1358	379601	379609	1564	173034	173044	173044	Austropallene spinicornis	[]	1047	126819	-1.09	33.94		
