basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	eventID	eventTime	fieldNumber	footprintSRS	identifiedBy	language	maximumDepthInMeters	occurrenceRemarks	recordedBy	samplingProtocol
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pantopipetta angusta</i> Stock, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239964	sm_id_1263	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	30	-32.34	2.58	1978-12-30	Austrodecidae	Pantopipetta	WoRMS Editorial Board	Animalia	Atlantic Ocean	4560	2007-06-20 15:52:33	12	WoRMS Editorial Board:WoRMS type localities:sm_id_1263	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1263	Pantopipetta angusta	Stock, 1981	urn:lsid:marinespecies.org:taxname:239964	angusta	holotype	1978	2e04f5de-4140-490b-bda0-b66decaa6aa8	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4560	283824000000	283824000000	283824000000	1978	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta angusta	1	2	1065	1274	1302	1358	379600	22616	134580	239964	239964	Pantopipetta angusta	[]	4769	1346146	18.91	35.71												
HumanObservation		17661	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	-33.0	2.0	1978-12-01T00:00:00+00:00	Austrodecidae	Pantopipetta		Animalia	Ride Walvis	4565	2022-01-18 09:29:51	12	Ifremer_bio_dba_17661	present	Pantopoda	Arthropoda		Pantopipetta angusta		urn:lsid:marinespecies.org:taxname:239964	angusta		1978	63bd8867-e847-44f1-8437-a60d485c29a6	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4565	281318400000	281318400000	281318400000	1978	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta angusta	1	2	1065	1274	1302	1358	379600	22616	134580	239964	239964	Pantopipetta angusta	['DEPTH_EXCEEDS_BATH']	2879	1333936	18.7	35.68	50.0	Bigood	Sanders epibenthic sledge_1978121_DS/E-5_NA	00:00:00+00:00	DS/E-5	EPSG:4326	STOCK Jan	en	4565.0	holotype	SIBUET Myriam	Sanders epibenthic sledge
