basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	individualCount	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision
PreservedSpecimen	J48800	Pycnogonida	co119	1000	Australia	-37.8225	148.79	1998-04-15	Pycnogonidae	POINT (148.79000 -37.82250)	Pycnogonum	1	NMV	Animalia	Beware Reef, near Cape Conran	6.0	5.0	2017-02-10T11:36:09	J48800	present	1	individuals	Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Male	carinatum	species	16768002-e275-43fb-ab75-95386d6678ca	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	5.5	892598400000.0	892598400000.0	892598400000.0	1998.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	[]	19	547	16.26	35.59	
PreservedSpecimen	J48808	Pycnogonida	co119	1000	Australia	-38.67	145.65	1982-03-02	Pycnogonidae	POINT (145.65000 -38.67000)	Pycnogonum	1	NMV	Animalia	Twin Reefs, Venus Bay			2017-02-10T11:36:10	J48808	present	1	individuals	Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Unknown	carinatum	species	2971b97a-3f36-4d0e-a915-9ff49a65f92d	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']		383875200000.0	383875200000.0	383875200000.0	1982.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	['NO_DEPTH', 'ON_LAND']	-32	-770	15.73	35.71	
PreservedSpecimen	P.44126	Pycnogonida	co113	1000	Australia	-41.29166	148.366	1991-04-13	Pycnogonidae	POINT (148.36600 -41.29166)	Pycnogonum		AM	Animalia	St Helens Rocks			2017-03-02T16:15:53	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44126	present			Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Male	carinatum	species	2f6d689d-8286-473d-9644-615f549e2fa4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		671500800000.0	671500800000.0	671500800000.0	1991.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	['NO_DEPTH']	17	1203	15.41	35.42	0.009
PreservedSpecimen	J48801	Pycnogonida	co119	1000	Australia	-38.2883	144.69		Pycnogonidae	POINT (144.69000 -38.28830)	Pycnogonum	1	NMV	Animalia	Southern Port Phillip Bay	10.0	7.0	2017-02-10T11:36:09	J48801	present	1	individuals	Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Female	carinatum	species	456d2b67-d7fd-4d51-9b9c-705b7ec0fdec	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	8.5					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	[]	2	1446	15.77	35.69	
PreservedSpecimen	J48804	Pycnogonida	co119	1000	Australia	-38.2833	144.628		Pycnogonidae	POINT (144.62800 -38.28330)	Pycnogonum	1	NMV	Animalia	Southern Port Phillip Bay	6.0	3.0	2017-02-10T11:36:09	J48804	present	1	individuals	Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Unknown	carinatum	species	62ed726d-d6d0-42ba-b48a-87f87858a6de	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	4.5					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	[]	1	1016	15.79	35.68	
PreservedSpecimen	J48802	Pycnogonida	co119	1000	Australia	-38.2833	144.628		Pycnogonidae	POINT (144.62800 -38.28330)	Pycnogonum	1	NMV	Animalia	Southern Port Phillip Bay	6.0	3.0	2017-02-10T11:36:09	J48802	present	1	individuals	Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Male	carinatum	species	7a4da189-0014-40c5-ab68-472b67e18fa3	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	4.5					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	[]	1	1016	15.79	35.68	
PreservedSpecimen	J48810	Pycnogonida	co119	1000	Australia	-38.6658	145.581	1982-03-06	Pycnogonidae	POINT (145.58100 -38.66580)	Pycnogonum	1	NMV	Animalia	1 km east of Harmers Haven, 300 m offshore			2017-02-10T11:36:11	J48810	present	1	individuals	Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Female	carinatum	species	8f56bc52-04ea-43d9-9584-48f8c12038a6	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']		384220800000.0	384220800000.0	384220800000.0	1982.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	['NO_DEPTH', 'ON_LAND']	-1	-32	15.73	35.71	
PreservedSpecimen	J48805	Pycnogonida	co119	1000	Australia	-38.2867	144.647		Pycnogonidae	POINT (144.64700 -38.28670)	Pycnogonum	1	NMV	Animalia	Southern Port Phillip Bay	15.0	5.0	2017-02-10T11:36:10	J48805	present	1	individuals	Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Unknown	carinatum	species	93b2f651-e117-447f-8ef8-fe09ea9f2cbe	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	10.0					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	[]	1	1602	15.79	35.68	
PreservedSpecimen	J48811	Pycnogonida	co119	1000	Australia	-43.4387	147.337		Pycnogonidae	POINT (147.33700 -43.43870)	Pycnogonum	1	NMV	Animalia	Arched Island			2017-02-10T11:36:11	J48811	present	1	individuals	Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Unknown	carinatum	species	a0d8de38-7e58-4ca2-9222-2b9030f9bd7d	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	['NO_DEPTH', 'ON_LAND']	-36	-13	13.95	35.24	
PreservedSpecimen	J48806	Pycnogonida	co119	1000	Australia	-38.3	144.67	1998-03-31	Pycnogonidae	POINT (144.67000 -38.30000)	Pycnogonum	2	NMV	Animalia	Cheviot Beach, Point Nepean	5.0	3.5	2017-02-10T11:36:10	J48806	present	2	individuals	Arthropoda	Pycnogonum (Nulloviger) carinatum	urn:lsid:marinespecies.org:taxname:266435	Female	carinatum	species	bfcf2ff5-bd0b-48ed-9f93-9ca94801a50d	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	4.25	891302400000.0	891302400000.0	891302400000.0	1998.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) carinatum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239578	239578	Pycnogonum carinatum	[]	-1	788	15.77	35.69	
