associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedByID	institutionID	language	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	samplingProtocol	specificEpithet	taxonRank	type	verbatimEventDate	superdomain	superdomainid	datasetName	modified	occurrenceRemarks	startDayOfYear	recordedBy
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234663.286924	Invertebrate Zoology: Crustacea	Antarctica	15	-60.3670005798	-42.8330001831	observedindividualcount=1;	1964-04-15T12:00:00Z	Bowman, Thomas E.	1.0	USNM	South Orkney Islands, W Of Islands	403	298	4	Alcohol (Ethanol)	Nymphon neumayri	Gordon	urn:lsid:marinespecies.org:taxname:173470	female	Antarctic Ocean	1964	0923ca18-3c41-4214-abeb-24f097b47d2b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	350.5	-180316800000.0	-180316800000.0	-180316800000.0	1964.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	[]	4642	89062	-0.74	33.82																									
	PreservedSpecimen		JR15005_1229_02a			10	-60.3566	-46.6859		2016-03-10	Jamie Maxwell		BAS		545	442	3	96% ethanol	Nymphon neumayri	Gordon, 1932	urn:lsid:marinespecies.org:taxname:173470			2016	25aa5e09-2a2c-479b-be81-4758cdd2fc81	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	493.5	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	[]	635	22210	-0.87	33.81	269	AQ	JR15005	JR15005_63	LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	EPSG:4326	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	JR15005_1229_02a	Present	1	individuals	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	neumayri	species	PhysicalObject	10/3/2016	Biota	1.0					
	HumanObservation		22956	SOMBASE Pycnogonids			-60.3666000366	-42.8333015442					BAS		403	298			Nymphon neumayri		urn:lsid:marinespecies.org:taxname:173470				36a07043-2031-4d9f-aa3b-da1f40c24e47	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	350.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	[]	4663	89065	-0.74	33.82																									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234662.286923	Invertebrate Zoology: Crustacea	Antarctica	31	-61.3170013428	-56.158000946	observedindividualcount=30;	1962-12-31T12:00:00Z	Bowman, Thomas E.	30.0	USNM	Antarctic Peninsula, South Shetland Islands, Elephant Island, west of	240	220	12	Alcohol (Ethanol)	Nymphon neumayri	Gordon	urn:lsid:marinespecies.org:taxname:173470	male; female	Antarctic Ocean	1962	4d4d4273-3ebd-4263-b078-93da47766e1d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	230.0	-221011200000.0	-221011200000.0	-221011200000.0	1962.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	[]	326	19027	-0.38	33.96																									
	PreservedSpecimen		JR15005_1859_08a			13	-60.4974	-44.526		2016-03-13	Jamie Maxwell		BAS		658	551	3	96% ethanol	Nymphon neumayri	Gordon, 1932	urn:lsid:marinespecies.org:taxname:173470			2016	577720a7-b45b-4ceb-825e-9b5f6721e761	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	604.5	1457827200000.0	1457827200000.0	1457827200000.0	2016.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	[]	559	18118	-0.88	33.83	259	AQ	JR15005	JR15005_91	LINESTRING (-44.52236 -60.49592, -44.52971 -60.49884)	EPSG:4326	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	JR15005_1859_08a	Present	1	individuals	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	neumayri	species	PhysicalObject	13/03/2016	Biota	1.0					
	HumanObservation		22955	SOMBASE Pycnogonids			-61.2999992371	-56.1416015625					BAS		240	220			Nymphon neumayri		urn:lsid:marinespecies.org:taxname:173470				5915650a-a1b6-472d-bfe6-149b221c4d23	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	230.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	[]	312	20072	-0.38	33.96																									
	HumanObservation		Stn 187 Nymphon neumayri	Discovery Reports		18	-64.8083	-63.525		1927-03-18		9	NIWA	Neumayer Channel, Palmer Archipelago	354	259	3		Nymphon neumayri	Gordon, 1932	urn:lsid:marinespecies.org:taxname:173470		Southern Ocean	1927	5d8d4df8-840e-4e44-8ae8-93a5a3d304f4	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	306.5	-1350432000000.0	-1350432000000.0	-1350432000000.0	1927.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	['DEPTH_EXCEEDS_BATH']	199	850	-0.57	33.18	1000		169	Stn 187	POINT (-63.525 -64.8083)	WGS84			en	5385	present			Large otter trawl	neumayri						Discovery Expedition Biological Reports	2019-03-15	Large otter trawl	77	
	HumanObservation		39629	SOMBASE Pycnogonids			-62.7563018799	-60.4333000183					BAS		147	147			Nymphon neumayri		urn:lsid:marinespecies.org:taxname:173470				66ca2a96-1b2f-4a8c-b3a6-c9a2f65743c7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	147.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	[]	165	3800	-0.43	33.94																									
	PreservedSpecimen		JR15005_1166_09			10	-60.3561	-46.6858		2016-03-10	Jamie Maxwell		BAS		573	458	3	96% ethanol	Nymphon neumayri	Gordon, 1932	urn:lsid:marinespecies.org:taxname:173470			2016	71c88054-7cf4-4a14-be13-59e75f994fd4	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	515.5	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	[]	635	22266	-0.87	33.81	263	AQ	JR15005	JR15005_62	LINESTRING (-46.68411 -60.35385, -46.68745 -60.35828)	EPSG:4326	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	JR15005_1166_09	Present	1	individuals	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	neumayri	species	PhysicalObject	10/3/2016	Biota	1.0					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1123314.943427	Invertebrate Zoology	Antarctica	31	-61.266998291	-56.1829986572	observedindividualcount=2;	1962-12-31T12:00:00Z	Child, C. Allan	2.0	USNM	South Shetland Islands, Elephant Island	225	223	12	Alcohol (Ethanol)	Nymphon neumayri	Gordon	urn:lsid:marinespecies.org:taxname:173470		Antarctic Ocean	1962	721c2311-99ca-4547-befa-949c4525130e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	224.0	-221011200000.0	-221011200000.0	-221011200000.0	1962.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neumayri	2	1065	1274	1302	1358	379601	379609	1566	134591	173470	173470	Nymphon neumayri	[]	283	24356	-0.36	33.95				USARP/EL/6/408/USC																					University of Southern California
