associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234652.186393	Invertebrate Zoology: Crustacea	United States	30	51.4300003052	178.841674805	observedindividualcount=1;	1983-07-30T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Aleutian Islands, Rat Islands, Amchitka Island, S Of Island	205	205	7	Alcohol (Ethanol)	Nymphon hirsutum	Child	urn:lsid:marinespecies.org:taxname:239852	male	Alaska	Holotype	North Pacific Ocean	1983	987d5d39-1872-4abb-ac50-031ae8c1b60f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	205	428371200000	428371200000	428371200000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hirsutum	2	1065	1274	1302	1358	379601	379609	1566	134591	239852	239852	Nymphon hirsutum	[]	191	12206	5.22	32.73
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234653.186394	Invertebrate Zoology: Crustacea	United States	12	51.6049995422	-176.369995117	observedindividualcount=1;	1983-08-12T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Aleutian Islands, Andreanof Islands, Little Tanaga Island	274	274	8	Alcohol (Ethanol)	Nymphon hirsutum	Child	urn:lsid:marinespecies.org:taxname:239852	male	Alaska	Paratype	North Pacific Ocean	1983	f9a4a548-8321-49e0-b9e5-3a1fe18df78b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	274	429494400000	429494400000	429494400000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hirsutum	2	1065	1274	1302	1358	379601	379609	1566	134591	239852	239852	Nymphon hirsutum	[]	269	13745	5.66	32.61
