basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	scientificName	scientificNameID	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	individualCount	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	year	depth	date_start	date_mid	date_end	date_year	superdomain	superdomainid	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	footprintWKT	geodeticDatum	identifiedBy	language	locality	locationID	maximumDepthInMeters	preparations	recordedBy	samplingProtocol	sex
HumanObservation	34203	SOMBASE Pycnogonids	-48.3333015442	166.083297729	BAS	Austrodecus (Microdecus) minutum	urn:lsid:marinespecies.org:taxname:377907	81b90b3f-bb4b-4d01-8e98-dace540524b0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) minutum	2	1065	1274	1302	1358	379600	22616	134579	236471	239832	239832	Austrodecus minutum	['NO_DEPTH']	2014	42552	11.45	34.67																																						
PreservedSpecimen	sm_id_89609	WoRMS type localities	-48.5167007446	167.2832946777	WoRMS Editorial Board	Austrodecus (Microdecus) minutum	urn:lsid:marinespecies.org:taxname:377907	9df7c2d9-fca8-45eb-b10c-d4d86932cac6	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) minutum	2	1065	1274	1302	1358	379600	22616	134579	236471	239832	239832	Austrodecus minutum	[]	164	71470	10.96	34.62	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus minutum</i> Clark, 1972. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=377907	https://marineinfo.org/id/dataset/5184	14	1964-01-14	1.0	132.0	2020-11-16 11:12:20	1	WoRMS Editorial Board:WoRMS type localities:sm_id_89609	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=89609	Clark, 1972	minutum	holotype	1964	132.0	-188265600000.0	-188265600000.0	-188265600000.0	1964.0	Biota	1.0																
PreservedSpecimen	484	NIWA	-48.5167	167.2833	NIWA Invertebrate Collection	Austrodecus (Microdecus) minutum	urn:lsid:marinespecies.org:taxname:377907	ebeee13c-7de7-4323-abda-d021d7bb3695	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) minutum	2	1065	1274	1302	1358	379600	22616	134579	236471	239832	239832	Austrodecus minutum	[]	164	71470	10.96	34.62			14	14/01/1964			8/04/2022	1	5e542662-fa36-11e2-96b3-aa6f927c92a3	present		Clark, 1971	minutum	HOLOTYPE	1964	132.0							Oceania	500	New Zealand	NIWA Invertebrate Collection	1971	POINT (167.2833 -48.5167)	WGS84	Clark, W.C.	en	Snares Shelf	D144	132.0	Specimen(s), Isopropanol - orig unknown = 1,  BB NIC Type Room	NZOI	Dredge, cone mesh with bag	male
