basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	eventDate	footprintWKT	individualCount	organismQuantity	organismQuantityType	sex	specificEpithet	taxonRank	date_start	date_mid	date_end	date_year
Occurrence	Bamber RN (2004). Zootaxa 458: 1-12.	48278	NewCaledonia	Taiwan	https://marineinfo.org/id/dataset/3128	22.9300003051758	121.419998168945	IRD-MNHN	Taiwan 2000, DW47	498	498	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48278:0xB410900001000300	present	Colossendeis mycterismos	urn:lsid:marinespecies.org:taxname:240415	36050e41-63d6-4a37-b723-a9c57c30a571	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	498	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis mycterismos	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240415	240415	Colossendeis mycterismos	[]	424	12060	27.07	33.91													
PreservedSpecimen		J53080	co119			-34.62	168.951	NMV	West Norfolk Ridge, Wanganella Bank	539	521	2017-02-09T12:08:59	J53080	present	Colossendeis mycterismos	urn:lsid:marinespecies.org:taxname:240415	4765c41e-ee5e-4870-9c02-711b9f20756c	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	530	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis mycterismos		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240415	240415	Colossendeis mycterismos	[]	755	286580	18.13	35.6	1000	2003-06-03	POINT (168.95100 -34.62000)	1	1	individuals	Unknown	mycterismos	species	1054598400000.0	1054598400000.0	1054598400000.0	2003.0
PreservedSpecimen		J48824	co119			-34.2056	162.696	NMV	Lord Howe plateau	751	751	2017-02-10T11:36:12	J48824	present	Colossendeis mycterismos	urn:lsid:marinespecies.org:taxname:240415	87d030c0-da4e-4d5b-9ff1-72a7a615739d	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	751	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis mycterismos		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240415	240415	Colossendeis mycterismos	[]	764	416758	19.65	35.64	1000	2003-05-26	POINT (162.69600 -34.20560)	1	1	individuals	Unknown	mycterismos	species	1053907200000.0	1053907200000.0	1053907200000.0	2003.0
