basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	typeStatus	waterBody
Occurrence	Stock JH (1997). Musorstom 18(176): 389-409.	21700	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-24.0200004577637	167.139999389648	IRD-MNHN	Biocal, CP60	1530.0	1480.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21700:0x090A900001000500	present	Nymphon spinifex	urn:lsid:marinespecies.org:taxname:240122	b1f6a2ed-dc73-478f-820c-2b566b9bdce3	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1505.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon spinifex	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	240122	240122	Nymphon spinifex	['DEPTH_EXCEEDS_BATH']	1153	128308	24.05	35.41														
PreservedSpecimen		2007-4655	IU			-23.981251	167.128723	MNHN	Ride de Norfolk			2015-10-17T17:02Z	440016262		Nymphon spinifex	urn:lsid:marinespecies.org:taxname:240122	cbf4562f-e9f0-4e78-992f-d030249b3fff	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon spinifex		2	1065	1274	1302	1358	379601	379609	1566	134591	240122	240122	Nymphon spinifex Stock, 1997	['NO_DEPTH']	1522	123869	24.1	35.4	NC	BIOCAL/CP60	POINT  (167.128723 -23.981251)	WGS84	Stock	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4655	Stock, 1997	spinifex	SPECIES	HOLOTYPE	Pacific Ocean
