basisOfRecord	catalogNumber	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	occurrenceID	occurrenceStatus	ownerInstitutionCode	references	scientificName	scientificNameID	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	typeStatus	superdomain	superdomainid
HumanObservation	122654	-9.4	46.5	1988	CMLRE	Aldabra Islands	11510	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar	Austrodecus stocki	urn:lsid:marinespecies.org:taxname:240286	83d9f376-4bb9-461b-96ca-96dcd4e5cc0f	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	567993600000.0	583718400000.0	599529600000.0	1988.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus stocki	2	1065	1274	1302	1358	379600	22616	134579	240286	240286	Austrodecus stocki	['NO_DEPTH', 'ON_LAND']	-6	-1275	27.11	35.08			
HumanObservation	122654	-9.39999961853	46.5			Aldabra Islands					Austrodecus stocki	urn:lsid:marinespecies.org:taxname:240286	c1274546-7b76-4b73-bd9c-622c264a1434	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus stocki	2	1065	1274	1302	1358	379600	22616	134579	240286	240286	Austrodecus stocki	['NO_DEPTH', 'ON_LAND']	-5	-1275	27.11	35.08	Accepted	Biota	1.0
