basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	maximumDepthInMeters	minimumDepthInMeters	depth
PreservedSpecimen	P.78382	Pycnogonida	co113	0.009	1000	-29.45666	159.06166	1987-12-05	Callipallenidae	POINT (159.06166 -29.45666)	Callipallene	AM	Animalia	"Middleton Reef, outer reef edge near ""Runic"" wreck"	2017-03-02T13:00:45	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78382	present	Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347	micracantha	species	088cd974-ebd7-4f9c-8beb-8a3f2735b643	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	565660800000.0	565660800000.0	565660800000.0	1987.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['NO_DEPTH']	2	225651	22.23	35.64				
HumanObservation	39928	Pycnogonida	SOMBASE Pycnogonids			-34.7449989319	138.5		Callipallenidae		Callipallene	BAS	Animalia					Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347			1decb2b2-17b9-4614-af70-a177be1040fd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['NO_DEPTH']	2	1052						
PreservedSpecimen	P.78377	Pycnogonida	co113	0.009	1000	-36.38833	150.17666	1994-09-05	Callipallenidae	POINT (150.17666 -36.38833)	Callipallene	AM	Animalia	east of Bermagui	2017-03-02T13:00:44	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78377	present	Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347	micracantha	species	3752d9c3-9c19-4687-a9c1-e98561687235	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778723200000.0	778723200000.0	778723200000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['NO_DEPTH']	76	8522	18.97	35.58	Female			
HumanObservation	39931	Pycnogonida	SOMBASE Pycnogonids			-35.3699989319	136.861602783		Callipallenidae		Callipallene	BAS	Animalia					Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347			4dd42b54-ae62-4a94-adee-d887ab226fa1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-45	-126	17.23	36.0		13.0	13.0	13.0
PreservedSpecimen	P.44792	Pycnogonida	co113	0.009	1000	-29.96166	159.04666	1987-12-11	Callipallenidae	POINT (159.04666 -29.96166)	Callipallene	AM	Animalia	Elizabeth Reef, south-west outer slope	2017-03-02T15:50:06	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44792	present	Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347	micracantha	species	5a545d2f-0f77-4d38-ac09-483a8e6a4a82	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	566179200000.0	566179200000.0	566179200000.0	1987.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['NO_DEPTH']	73	169511	22.15	35.63				
PreservedSpecimen	P.78367	Pycnogonida	co113	0.009	1000	-38.03166	149.216	1994-08-29	Callipallenidae	POINT (149.21600 -38.03166)	Callipallene	AM	Animalia	south of Point Hicks	2017-03-02T13:00:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78367	present	Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347	micracantha	species	79d709c6-6163-4573-99a4-7c083f55c9e4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778118400000.0	778118400000.0	778118400000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['NO_DEPTH']	117	25537	16.89	35.58				
HumanObservation	39932	Pycnogonida	SOMBASE Pycnogonids			-35.3699989319	136.861602783		Callipallenidae		Callipallene	BAS	Animalia					Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347			7c66396c-9256-4b04-9815-924edede9c58	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-45	-126	17.23	36.0		27.0	27.0	27.0
HumanObservation	39930	Pycnogonida	SOMBASE Pycnogonids			-35.3699989319	136.861602783		Callipallenidae		Callipallene	BAS	Animalia					Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347			89e0d01f-96eb-4801-a719-4c92f1ca1dd8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-45	-126	17.23	36.0		23.0	23.0	23.0
PreservedSpecimen	P.78365	Pycnogonida	co113	0.009	1000	-38.72999	148.26166	1994-08-26	Callipallenidae	POINT (148.26166 -38.72999)	Callipallene	AM	Animalia	Bass Strait, east of Seal Islands	2017-03-02T13:00:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78365	present	Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347	micracantha	species	9b93f417-b707-46fa-bc10-dbb0be66d65e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	777859200000.0	777859200000.0	777859200000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['NO_DEPTH']	85	93613	16.48	35.59	Male			
PreservedSpecimen	P.44171	Pycnogonida	co113	0.009	1000	-37.85166	149.84499	1994-08-31	Callipallenidae	POINT (149.84499 -37.85166)	Callipallene	AM	Animalia	south of Gabo Island	2017-03-02T16:15:59	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44171	present	Arthropoda	Callipallene micracantha	urn:lsid:marinespecies.org:taxname:266347	micracantha	species	a34e1d1a-7718-4702-88fd-5941cadc13ee	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778291200000.0	778291200000.0	778291200000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Callipallene micracantha	2	1065	1274	1302	1358	379601	379609	1564	134581	266347	266347	Callipallene micracantha	['NO_DEPTH']	137	23674	17.33	35.58				
