basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	lifeStage	locality	month	preparations	scientificNameAuthorship	sex	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year	fieldNumber	recordedBy
HumanObservation	22613	SOMBASE Pycnogonids	-37.9500007629	-75.1333007812	BAS	4323	4303	Pantopipetta buccina	urn:lsid:marinespecies.org:taxname:173031	1146aafb-505b-445c-8e32-d4bf94500d0b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4313.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta buccina	2	1065	1274	1302	1358	379600	22616	134580	173031	173031	Pantopipetta buccina	[]	4361	110440	14.07	33.82																							
PreservedSpecimen	234631.186373	Invertebrate Zoology: Crustacea	-37.9500007629	-75.1330032349	USNM	4323	4303	Pantopipetta buccina	urn:lsid:marinespecies.org:taxname:173031	5edd633a-01b1-4c09-8830-7c40cf154107	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4313.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta buccina	2	1065	1274	1302	1358	379600	22616	134580	173031	173031	Pantopipetta buccina	[]	4361	110416	14.07	33.82	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Chile	21	observedindividualcount=1;	1961-03-21T12:00:00Z	Bowman, Thomas E.	1.0	ovigerous	SW Of Concepcion	3	Alcohol (Ethanol)	Child	female	Paratype	South Pacific Ocean	1961	-277171200000.0	-277171200000.0	-277171200000.0	1961.0		
PreservedSpecimen	234608.286912	Invertebrate Zoology: Crustacea	-62.7999992371	-65.4000015259	USNM	3204	3193	Pantopipetta buccina	urn:lsid:marinespecies.org:taxname:173031	a4b2ecca-3d6e-481e-9d17-3f1a1a117e7b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3198.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta buccina	2	1065	1274	1302	1358	379600	22616	134580	173031	173031	Pantopipetta buccina	[]	3203	139288	-0.39	33.57	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	6	observedindividualcount=1;	1962-03-06T12:00:00Z	Bowman, Thomas E.	1.0		Antarctic Peninsula	3	Alcohol (Ethanol)	Child	female	Holotype	Antarctic Ocean	1962	-246931200000.0	-246931200000.0	-246931200000.0	1962.0		
HumanObservation	22612	SOMBASE Pycnogonids	-62.7999992371	-1.09000003338	BAS	3204	3193	Pantopipetta buccina	urn:lsid:marinespecies.org:taxname:173031	d8ed9308-819f-4a1c-bf43-e048eafd3ce0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3198.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta buccina	2	1065	1274	1302	1358	379600	22616	134580	173031	173031	Pantopipetta buccina	[]	5294	753203	-1.17	34.09																							
PreservedSpecimen	1122987.943048	Invertebrate Zoology	-65.8669967651	-70.9919967651	USNM	5	5	Pantopipetta buccina	urn:lsid:marinespecies.org:taxname:173031	ef4e7580-acad-4dcb-b839-76b8127b538d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta buccina	2	1065	1274	1302	1358	379600	22616	134580	173031	173031	Pantopipetta buccina	[]	3042	156581	-0.72	33.52	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	26	observedindividualcount=1;	1962-10-26T12:00:00Z	Child, C. Allan	1.0		Antarctic Peninsula	10	Alcohol (Ethanol)	Child			Antarctic Ocean	1962	-226713600000.0	-226713600000.0	-226713600000.0	1962.0	USARP/EL/5/286/USC	University of Southern California
