associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	county	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	collectionID	countryCode	eventID	occurrenceID	occurrenceStatus	dateIdentified	fieldNumber	recordedBy	datasetID	modified	references	specificEpithet	typeStatus	sex
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180155.136111	Invertebrate Zoology: Crustacea	United States	St. Lucie County	15	27.5466709137	-79.9800033569	observedindividualcount=2;	1977-04-15T12:00:00Z	Child, C. Allan	2.0	USNM	juvenile	Jeff's Reef	80.2	80.2	4	Alcohol (Ethanol)	Nymphon floridanum	Hedgpeth	urn:lsid:marinespecies.org:taxname:239918	Florida	North Atlantic Ocean	1977	001ff1cd-5032-4d8d-88d2-a7ecb5c408b9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	80.2	229910400000.0	229910400000.0	229910400000.0	1977.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	[]	83	31150	26.44	36.07																			
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-027_B4	B89PII				26.7991352081	-84.7157211304			Child, C. A.		HRI		ENE Gulf of Mexico	402.0	2.0			Nymphon floridanum	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239918		Gulf of Mexico		00a6b6b2-d9b6-4b64-b043-7070170ed2e6	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	202.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	['DEPTH_EXCEEDS_BATH']	247	211364	26.2	35.98	201270.0	Database description and disclaimer at: http://gulfbase.org/	2-402	Biota	1.0														
	PreservedSpecimen		145282	FSBC I				24.6555	81.5086		1980-06-18										Nymphon floridanum		urn:lsid:marinespecies.org:taxname:239918				11190108-f2ff-4638-9e60-46c702577443	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']		330134400000.0	330134400000.0	330134400000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	['NO_DEPTH', 'ON_LAND']	-312	-663833								56bf7b66-ed07-4b91-9f0d-1f00de11fab8	IN	a70b7be1-78b7-4254-beb1-f3a7815fa525	86017b06-923b-4987-bf86-fdf3b50b4b0f	Present									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	221038.175024	Invertebrate Zoology: Crustacea	United States		14	33.7949981689	-76.5749969482	observedindividualcount=2;	1981-05-14T12:00:00Z	Dojiri, Masahiro	2.0	USNM		Off North Carolina	108.0	108.0	5	Alcohol (Ethanol)	Nymphon floridanum	Hedgpeth	urn:lsid:marinespecies.org:taxname:239918		North Atlantic Ocean	1981	11c7cb65-43e1-4bbd-963e-c6408ad84c03	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	108.0	358646400000.0	358646400000.0	358646400000.0	1981.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	[]	104	87008	24.8	36.18											1985-01-11	818106	Duke University For Minerals Management Service/Bureau of Land Management BLM/ MMS						
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon floridanum</i> Hedgpeth, 1948. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239918	sm_id_1986	WoRMS type localities			20	24.63	-82.92		1924-07-20			WoRMS Editorial Board		Gulf of Mexico	18.0	13.0	7		Nymphon floridanum	Hedgpeth, 1948	urn:lsid:marinespecies.org:taxname:239918			1924	1bca2ff3-4cd4-498a-bbbc-29cf3f755f69	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	15.5	-1434326400000.0	-1434326400000.0	-1434326400000.0	1924.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	[]	4	164	26.64	36.08				Biota	1.0				WoRMS Editorial Board:WoRMS type localities:sm_id_1986	present				https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	http://www.marinespecies.org/aphia.php?p=specdetails&id=1986	floridanum	holotype	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180149.136105	Invertebrate Zoology: Crustacea	United States	St. Lucie County	2	27.5466709137	-79.9800033569	observedindividualcount=1;	1977-02-02T12:00:00Z	Child, C. Allan	1.0	USNM		Jeff's Reef	73.8	73.8	2	Alcohol (Ethanol)	Nymphon floridanum	Hedgpeth	urn:lsid:marinespecies.org:taxname:239918	Florida	North Atlantic Ocean	1977	26325674-2c37-4a4d-aed3-24068dd1232b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	73.8	223689600000.0	223689600000.0	223689600000.0	1977.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	[]	83	31150	26.44	36.07																			male
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	174796.131563	Invertebrate Zoology: Crustacea	United States		4	29.5174999237	-80.6672210693	observedindividualcount=1;	1977-09-04T12:00:00Z	Child, C. Allan	1.0	USNM	ovigerous	Off Florida	16.0	16.0	9	Alcohol (Ethanol)	Nymphon floridanum	Hedgpeth	urn:lsid:marinespecies.org:taxname:239918		North Atlantic Ocean	1977	34295f9d-b08d-4376-a122-2e8663fbbd90	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	16.0	242179200000.0	242179200000.0	242179200000.0	1977.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	[]	22	42842	24.44	36.23											1978-06-06	0894-1	Texas Instruments Inc. for BLM / MMS						female
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154667.118082	Invertebrate Zoology: Crustacea			22	16.6499996185	-81.983001709	observedindividualcount=1;	1957-08-22T12:00:00Z	Child, C. Allan	1.0	USNM		Off Honduras, W Of Thunder Knoll	110.0	110.0	8	Alcohol (Ethanol)	Nymphon floridanum	Hedgpeth	urn:lsid:marinespecies.org:taxname:239918		North Atlantic Ocean	1957	353dc15a-7e05-4bb5-9ecb-0e564d8fd369	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	110.0	-390096000000.0	-390096000000.0	-390096000000.0	1957.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	['DEPTH_EXCEEDS_BATH']	50	99022	28.23	35.76																			female
	PreservedSpecimen		144161	FSBC I				24.6532	-81.5393		1980-06-17										Nymphon floridanum		urn:lsid:marinespecies.org:taxname:239918				38e0d722-4b7f-45d3-ad28-d7cdcb17335a	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']		330048000000.0	330048000000.0	330048000000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	['NO_DEPTH']	4	168	26.75	36.07						56bf7b66-ed07-4b91-9f0d-1f00de11fab8		14106861-95f6-4f50-8fbf-2872c8a0bd5e	a5d9de83-f4ff-4310-9e60-6e76b366f162	Present									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228102.180320	Invertebrate Zoology: Crustacea	Belize		24	16.75	-87.8700027466	observedindividualcount=2;	1980-03-24T12:00:00Z	Child, C. Allan	2.0	USNM		Glover Reef, Southwest Cays	21.3	15.2	3	Alcohol (Ethanol)	Nymphon floridanum	Hedgpeth	urn:lsid:marinespecies.org:taxname:239918		North Atlantic Ocean	1980	3fd9380a-35ad-43e6-8298-579ad2d46489	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	18.25	322704000000.0	322704000000.0	322704000000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon floridanum	2	1065	1274	1302	1358	379601	379609	1566	134591	239918	239918	Nymphon floridanum	[]	347	4269	28.15	35.67													G. Hendler						
