basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	maximumDepthInMeters	minimumDepthInMeters	preparations	stateProvince	waterBody	depth
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Eurycyde encantada</i> Child & Hedgpeth, 1971. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240374	sm_id_973	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	16	-0.25	-90.58	1964-02-16	Ascorhynchidae	Eurycyde	WoRMS Editorial Board	Animalia	Pacific Ocean	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_973	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=973	Eurycyde longisetosa	Child & Hedgpeth, 1971	urn:lsid:marinespecies.org:taxname:240374	encantada	holotype	1964	2af07961-241a-4000-970c-39332c731d4c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-185414400000.0	-185414400000.0	-185414400000.0	1964.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde longisetosa	1.0	2	1065	1274	1302	1358	379601	379608	379788	134573	240041	240041	Eurycyde encantada	['NO_DEPTH']	-8	23	23.95	34.12											
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	125892.90151	Pycnogonida	Invertebrate Zoology: Crustacea			6.0	-77.3499984741		Ascorhynchidae	Eurycyde	USNM	Animalia	Port Utria, N Of Point W Of Isle					Pantopoda	Arthropoda		Eurycyde longisetosa	Hilton	urn:lsid:marinespecies.org:taxname:240041		Paratype		2c764f6d-a9e6-4f04-83b7-e8db0f9203b4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde longisetosa		2	1065	1274	1302	1358	379601	379608	379788	134573	240041	240041	Eurycyde longistetosa	[]	3	308	27.49	29.88	National Museum of Natural History, Smithsonian Institution	Colombia	observedindividualcount=1;	Hilton, W. A.	1.0	37.0	37.0	Alcohol (Ethanol)	Choco	North Pacific Ocean	37.0
