basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	typeStatus	waterBody
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21707	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-18.8999996185303	163.309997558594	IRD-MNHN	Musorstom 4, DW156	530.0	530.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21707:0xD48C170001000300	present	Phoxichilidium forfex	urn:lsid:marinespecies.org:taxname:240065	3e2a81a0-1f01-4c20-87e9-9eaa463882c5	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	530.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium forfex	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	240065	240065	Phoxichilidium forfex	['DEPTH_EXCEEDS_BATH']	301	51756	26.35	34.99														
PreservedSpecimen		2007-4644	IU			-18.9	163.313339	MNHN	Grand Passage			2015-06-19T21:23Z	439998148		Phoxichilidium forfex	urn:lsid:marinespecies.org:taxname:240065	700c7a21-7025-4b58-b9a9-d422c9297ce8	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium forfex		2	1065	1274	1302	1358	379601	379610	14469	134594	240065	240065	Phoxichilidium forfex Stock, J.H., 1991	['NO_DEPTH']	217	51915	26.35	34.99	NC	MUSORSTOM 4/DW156	POINT  (163.313339 -18.9)	WGS84	Stock	1	CC_BY_4_0	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4644	Stock, 1991	forfex	SPECIES	HOLOTYPE	Pacific Ocean
PreservedSpecimen		2007-4645	IU			-18.9	163.313339	MNHN	Grand Passage			2015-10-17T16:17Z	440004220		Phoxichilidium forfex	urn:lsid:marinespecies.org:taxname:240065	a8d12a9e-7ce6-4cc2-ba36-8dbc5f84ab56	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium forfex		2	1065	1274	1302	1358	379601	379610	14469	134594	240065	240065	Phoxichilidium forfex Stock, J.H., 1991	['NO_DEPTH']	217	51915	26.35	34.99	NC	MUSORSTOM 4/DW156	POINT  (163.313339 -18.9)	WGS84	Stock	1	CC_BY_4_0	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4645	Stock, 1991	forfex	SPECIES	PARATYPE	Pacific Ocean
