basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	locality	modified	month	occurrenceID	year	coordinateUncertaintyInMeters	countryCode	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	21565	SOMBASE Pycnogonids	-71.6932983398	-12.4899997711	BAS	440	440	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	0ba54a30-fc2f-431c-b595-a743e925eb40	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	440.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	[]	456	8363	-1.77	33.75																																		
HumanObservation	39459	SOMBASE Pycnogonids	-73.5832977295	-22.5832996368	BAS	898	850	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	1c3a8083-3d62-4c29-bc1b-eca1771a1152	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	874.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	[]	969	43943	-1.67	33.91																																		
HumanObservation	3199	Weddell Sea macrozoobenthos EASIZ I	-71.69333333	-12.49	AWI	440	440	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	37c22aaf-caf6-4196-828c-782542149f62	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	440.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	[]	456	8360	-1.77	33.75	IMIS:dasid:2432	20	Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3199	1996																											
HumanObservation	21567	SOMBASE Pycnogonids	-73.6016998291	-22.5949993134	BAS	850	850	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	720d8238-e49f-4809-bf61-bf667f8df759	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	850.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	[]	873	41997	-1.67	33.89																																		
HumanObservation	3200	Weddell Sea macrozoobenthos EASIZ I	-73.60166667	-22.595	AWI	850	850	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	72400533-1301-4020-a458-e9ec23e4af77	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	850.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	[]	873	42001	-1.67	33.89	IMIS:dasid:2432	14	South of Vestkapp	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3200	1996																											
HumanObservation	37632	SOMBASE Pycnogonids	-61.3065986633	-54.1916007996	BAS	275	180	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	754cc2ce-ff95-4582-8cd7-370add14a273	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	227.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	['DEPTH_EXCEEDS_BATH']	7	850	-0.67	34.05																																		
HumanObservation	21566	SOMBASE Pycnogonids	-71.5250015259	-12.4250001907	BAS	504	504	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	7b65501c-2933-4e63-b1b0-f31470377055	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	504.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	[]	528	4469	-1.76	33.77																																		
HumanObservation	39461	SOMBASE Pycnogonids	-71.5	-12.4333000183	BAS	529	294	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	833b3c32-f9e0-40df-8e68-92aa63935f77	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	411.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	[]	477	3552	-1.76	33.77																																		
PreservedSpecimen	PS118_0106_013		-63.8366	-55.5772	BAS	412	405	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	95dea170-4b0f-474c-8891-88af500083f4	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	408.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	[]	367	29421	-1.54	33.29		14			3	PS118_0106_013	2019	443	AQ	2019-03-14	PS118	PS118_12_10R	LINESTRING (-55.586023 -63.83744, -55.56843 -63.83575)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	Present	1	individuals	Whole animal in 96% ethanol	Rauschert dredge|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	Pushkin, 1993	leiopus	species	PhysicalObject	14/03/2019	1552521600000.0	1552521600000.0	1552521600000.0	2019.0	Biota	1.0
HumanObservation	38579	SOMBASE Pycnogonids	-67.6666030884	45.8499984741	BAS	15	15	Pallenopsis leiopus	urn:lsid:marinespecies.org:taxname:239905	a799f616-c1d7-4b76-89bd-e34918d57e5d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	2	1065	1274	1302	1358	379601	379609	236317	134593	239905	239905	Pallenopsis leiopus	['ON_LAND']	-34	-727	-1.77	33.6																																		
