associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	sex	stateProvince	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	231374.183406	Invertebrate Zoology: Crustacea	South Korea	29	37.466999054	130.850006104	observedindividualcount=3;	1983-07-29T12:00:00Z	Kim, Il Hoi	3.0	USNM	Ullungdo Island, Kangwon	7	Alcohol (Ethanol)	I. Kim	Pycnogonum uedai	Kim & Stock	urn:lsid:marinespecies.org:taxname:268024	North Pacific Ocean	1983	8e7ebaac-be3d-45b0-82ad-85ad91eee665	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	428284800000	428284800000	428284800000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum uedai	2	1065	1274	1302	1358	379601	379611	1567	134595	239620	239620	Pycnogonum koreanum	['NO_DEPTH', 'ON_LAND']	-218	-347	17.25	33.51					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	216869.170798	Invertebrate Zoology: Crustacea	Japan		33.8533287048	135.148330688	observedindividualcount=2;	1981-02-28T12:00:00Z	Nakamura, K.	2.0	USNM	Honshu Island, Gobo	2	Alcohol (Ethanol)	Habe	Pycnogonum uedai	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239620	North Pacific Ocean	1981	c9e4d508-7b53-4212-9845-3c6f8f53d5ad	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	352166400000	352166400000	352166400000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum uedai	2	1065	1274	1302	1358	379601	379611	1567	134595	239620	239620	Pycnogonum uedai	[]	9	303	21.27	33.45	1.5	1.5	male; female	Wakayama	1.5
