associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	eventDate	modified	month	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-016_C1	B89PII	249350.0	23.0251464844	-82.887260437	Child, C. A.	HRI	ESE  Gulf of Mexico	0.0	0.0	Database description and disclaimer at: http://gulfbase.org/	Hedgpethius tridentatus	Child,	urn:lsid:marinespecies.org:taxname:240198	0-0	Gulf of Mexico	63f54a45-eb35-462a-b402-1ecacedf764c	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Hedgpethius	Hedgpethius tridentatus	1	2	1065	1274	1302	1358	379601	379608	1562	236268	240198	240198	Hedgpethius tridentatus	[]	126	466	27.69	35.98															
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Hedgpethius tridentatus</i> Child, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240198	sm_id_1910	WoRMS type localities		24.55	-81.8		WoRMS Editorial Board	Florida Strait				Hedgpethius tridentatus	Child, 1974	urn:lsid:marinespecies.org:taxname:240198			dbdd6eb1-19b1-4be2-9caf-a529a1dc172d	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Hedgpethius	Hedgpethius tridentatus	1	2	1065	1274	1302	1358	379601	379608	1562	236268	240198	240198	Hedgpethius tridentatus	['NO_DEPTH', 'ON_LAND']	-1	-407	26.7	36.1	https://marineinfo.org/id/dataset/5184	24	1968-03-24	2007-06-20 15:52:33	3	WoRMS Editorial Board:WoRMS type localities:sm_id_1910	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1910	tridentatus	holotype	1968	-55987200000.0	-55987200000.0	-55987200000.0	1968.0
