basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	year	associatedReferences	bibliographicCitation	dynamicProperties	identifiedBy	individualCount	typeStatus	waterBody	date_start	date_mid	date_end	date_year	fieldNumber	locality
HumanObservation	24296	SOMBASE Pycnogonids	-54.5	158.983306885	BAS	124.0	112.0	Oropallene dolichodera	urn:lsid:marinespecies.org:taxname:240010	3817785d-2b81-4428-a097-b798ae2ec1d1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dolichodera	2	1065	1274	1302	1358	379601	379609	1564	236286	240010	240010	Oropallene dolichodera	[]	152	2429	5.23	33.91																																		
PreservedSpecimen	7449	NIWA	-45.8717	174.0817	NIWA Invertebrate Collection	1676.0	1676.0	Oropallene dolichodera	urn:lsid:marinespecies.org:taxname:240010	3ba5d958-21b3-4f56-8cf7-22445b6d97fd	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1676.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dolichodera	2	1065	1274	1302	1358	379601	379609	1564	236286	240010	240010	Oropallene dolichodera	[]	1666	236353	10.48	34.3	Oceania	500	New Zealand	NIWA Invertebrate Collection	26	26/10/1979	POINT (174.0817 -45.8717)	WGS84	en	S152	8/04/2022	10	5d5ea660-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 1	NZOI	Sled, epibenthic	Child, 1995	male	dolichodera	1979													
PreservedSpecimen	234704.186426	Invertebrate Zoology: Crustacea	-42.1829986572	175.132995605	USNM			Oropallene dolichodera	urn:lsid:marinespecies.org:taxname:240010	96d7c35d-a37e-48f3-8b55-57fa0dfe4ada	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dolichodera	2	1065	1274	1302	1358	379601	379609	1564	236286	240010	240010	Oropallene dolichodera	['NO_DEPTH']	2687	64470	13.72	34.86					20	1966-11-20T12:00:00Z						11			Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center		Child	male		1966	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	Child, C. Allan	1.0	Holotype	South Pacific Ocean	-98323200000.0	-98323200000.0	-98323200000.0	1966.0		
HumanObservation	24295	SOMBASE Pycnogonids	-45.1833000183	175.183303833	BAS	2612.0	2612.0	Oropallene dolichodera	urn:lsid:marinespecies.org:taxname:240010	d3bf646c-7496-40f5-a768-f3aab4a85c09	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2612.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dolichodera	2	1065	1274	1302	1358	379601	379609	1564	236286	240010	240010	Oropallene dolichodera	['DEPTH_EXCEEDS_BATH']	1228	222898	10.63	34.32																																		
HumanObservation	24297	SOMBASE Pycnogonids	-45.8716011047	174.081604004	BAS	1676.0	1676.0	Oropallene dolichodera	urn:lsid:marinespecies.org:taxname:240010	ed0943ed-5bb2-4dbc-90a2-3fd78f4f6872	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1676.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dolichodera	2	1065	1274	1302	1358	379601	379609	1564	236286	240010	240010	Oropallene dolichodera	[]	1666	236340	10.48	34.3																																		
PreservedSpecimen	234705.186427	Invertebrate Zoology: Crustacea	-54.533000946	158.983001709	USNM	124.0	112.0	Oropallene dolichodera	urn:lsid:marinespecies.org:taxname:240010	fb654537-ab94-4d29-b8df-49c5fba18f0f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dolichodera	2	1065	1274	1302	1358	379601	379609	1564	236286	240010	240010	Oropallene dolichodera	[]	557	2928	5.23	33.91					15	1967-02-15T12:00:00Z						2			Alcohol (Ethanol)	University of Southern California		Child	male		1967	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	Child, C. Allan	1.0	Paratype	South Pacific Ocean	-90806400000.0	-90806400000.0	-90806400000.0	1967.0	USARP/EL/27/1974/USC	Macquarie Island, off Island
