associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetID	footprintWKT	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid	organismQuantity	organismQuantityType	taxonRank
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149221.112737	Invertebrate Zoology: Crustacea	United States	2	27.9500007629	-78.9329986572	observedindividualcount=1;	1963-07-02T12:00:00Z	Stock, Jan H.	1.0	USNM	Straits Of Florida, NE Of Fort Pierce	779.0	779	7	Alcohol (Ethanol)	Colossendeis melancholicus	Stock	urn:lsid:marinespecies.org:taxname:239637	male	Florida	Holotype	North Atlantic Ocean	1963	072d60e5-3bf8-47f9-9f7c-ffd74b420919	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	779	-205200000000	-205200000000	-205200000000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis melancholicus	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239637	239637	Colossendeis melancholicus	[]	840	90624	26.69	36.13													
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Colossendeis melancholicus</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239637	sm_id_932	WoRMS type localities		2	27.935000000000002	-78.95500000000001		1963-07-02			WoRMS Editorial Board	Atlantic Ocean		779	7		Colossendeis melancholicus	Stock, 1975	urn:lsid:marinespecies.org:taxname:239637			holotype		1963	404eddaf-1be6-43a1-824e-1077c32d470e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	779	-205200000000	-205200000000	-205200000000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis melancholicus	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239637	239637	Colossendeis melancholicus	[]	832	90488	26.69	36.13	2967.13	https://marineinfo.org/id/dataset/5184	POLYGON ((-78.93 27.95, -78.93 27.92, -78.98 27.92, -78.98 27.95, -78.93 27.95))	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_932	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=932	melancholicus	Biota	1.0			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154668.118083	Invertebrate Zoology: Crustacea		18	16.5830001831	-80.0670013428	observedindividualcount=1;	1962-05-18T12:00:00Z	Child, C. Allan	1.0	USNM	N Of Rosalind Bank	732.0	732	5	Alcohol (Ethanol)	Colossendeis melancholicus	Stock	urn:lsid:marinespecies.org:taxname:239637	female			North Atlantic Ocean	1962	5c390324-b428-4529-85ed-04cca02e46e7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	732	-240624000000	-240624000000	-240624000000	1962	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis melancholicus	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239637	239637	Colossendeis melancholicus	[]	764	95749	28.16	35.64													
	PreservedSpecimen		J48898	co119			-41.245	148.768		1999-07-27		1	NMV	St Helens Hill, NW Flank	960.0	850			Colossendeis melancholicus		urn:lsid:marinespecies.org:taxname:239637	Female					7a4472df-5862-4633-b3f8-94a6b189cc8a	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	905	933033600000	933033600000	933033600000	1999	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis melancholicus	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239637	239637	Colossendeis melancholicus	[]	1056	34357	15.93	35.46	1000		POINT (148.76800 -41.24500)	2017-02-10T11:36:23	J48898	present		melancholicus			1	individuals	species
