basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	typeStatus	waterBody	day	eventDate	month	year	date_start	date_mid	date_end	date_year
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21695	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-22.8799991607666	167.279998779297	IRD-MNHN	Biocal, DW46	610.0	570.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21695:0x5A88170001000000	present	Nymphon apicatum	urn:lsid:marinespecies.org:taxname:240116	384be657-1846-41a5-8944-60b2cd29af5d	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	590.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon apicatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	240116	240116	Nymphon apicatum	[]	545	21825	24.35	35.27																						
PreservedSpecimen		2007-4616	IU			-22.887884	167.290253	MNHN	S Ile des Pins			2015-06-19T21:23Z	440010450		Nymphon apicatum	urn:lsid:marinespecies.org:taxname:240116	4828c14b-0ed2-4639-9fa1-9a16f065178e	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon apicatum		2	1065	1274	1302	1358	379601	379609	1566	134591	240116	240116	Nymphon apicatum Stock, J.H., 1991	['NO_DEPTH']	555	22223	24.35	35.27	NC	BIOCAL/DW46	POINT  (167.290253 -22.887884)	WGS84	Stock	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4616	Stock, 1991	apicatum	SPECIES	HOLOTYPE	Pacific Ocean								
PreservedSpecimen		2007-4617	IU			-22.887884	167.290253	MNHN	S Ile des Pins			2015-10-17T16:12Z	440007218		Nymphon apicatum	urn:lsid:marinespecies.org:taxname:240116	5f8394ac-60fb-4edd-8c68-75c9f9d07e9c	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon apicatum		2	1065	1274	1302	1358	379601	379609	1566	134591	240116	240116	Nymphon apicatum Stock, J.H., 1991	['NO_DEPTH']	555	22223	24.35	35.27	NC	BIOCAL/DW46	POINT  (167.290253 -22.887884)	WGS84	Stock	3	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4617	Stock, 1991	apicatum	SPECIES	PARATYPE	Pacific Ocean								
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon apicatum</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240116	sm_id_1945	WoRMS type localities		https://marineinfo.org/id/dataset/5184	-22.88	167.28	WoRMS Editorial Board	Pacific Ocean	610.0	570.0	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1945	present	Nymphon apicatum	urn:lsid:marinespecies.org:taxname:240116	8e1633ef-8b7e-408d-b986-ad150831abfa	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	590.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon apicatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	240116	240116	Nymphon apicatum	[]	545	21825	24.35	35.27									http://www.marinespecies.org/aphia.php?p=specdetails&id=1945	Stock, 1991	apicatum		holotype		30	1985-08-30	8	1985	494208000000.0	494208000000.0	494208000000.0	1985.0
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21696	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-22.25	167.25	IRD-MNHN	Biocal, DW77	440.0	440.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21696:0x4770170001000700	present	Nymphon apicatum	urn:lsid:marinespecies.org:taxname:240116	a398909b-962c-4197-a22b-827df7d26113	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	440.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon apicatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	240116	240116	Nymphon apicatum	[]	444	21783	24.98	35.14																						
