basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetName	eventID	eventTime	fieldNumber	footprintSRS	identifiedBy	language	maximumDepthInMeters	recordedBy	samplingProtocol	occurrenceRemarks	continent	coordinateUncertaintyInMeters	country	dateIdentified	footprintWKT	geodeticDatum	georeferenceSources	locationID	preparations
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pantopipetta lata</i> Stock, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173032	sm_id_1271	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	13	-32.48	13.42	1979-01-13	Austrodecidae	Pantopipetta	WoRMS Editorial Board	Animalia	South Atlantic	3675	2007-06-20 15:52:33	1	WoRMS Editorial Board:WoRMS type localities:sm_id_1271	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1271	Pantopipetta lata	Stock, 1981	urn:lsid:marinespecies.org:taxname:173032	lata	holotype	1979	29903d0a-e368-43e6-bd73-599f511054e4	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3675.0	285033600000.0	285033600000.0	285033600000.0	1979.0	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta lata	1.0	2	1065	1274	1302	1358	379600	22616	134580	173032	173032	Pantopipetta lata	[]	3670	415911	18.29	35.52																				
HumanObservation		17739	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	-32.0	13.0	1978-12-01T00:00:00+00:00	Austrodecidae	Pantopipetta		Animalia	Ride Walvis	3550	2022-01-18 09:29:51	12	Ifremer_bio_dba_17739	present	Pantopoda	Arthropoda		Pantopipetta lata		urn:lsid:marinespecies.org:taxname:173032	lata		1978	7041e133-4796-4b16-b5f0-5871d448d313	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3550.0	281318400000.0	281318400000.0	281318400000.0	1978.0	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta lata	1.0	2	1065	1274	1302	1358	379600	22616	134580	173032	173032	Pantopipetta lata	[]	3673	446598	18.32	35.53	Bigood	Beam trawl_1978121_CP / CPH-13_NA	00:00:00+00:00	CP / CPH-13	EPSG:4326	STOCK Jan	en	3550.0	SIBUET Myriam	Beam trawl										
HumanObservation		17730	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	-32.0	13.0	1978-12-01T00:00:00+00:00	Austrodecidae	Pantopipetta		Animalia	Ride Walvis	3675	2022-01-18 09:29:51	12	Ifremer_bio_dba_17730	present	Pantopoda	Arthropoda		Pantopipetta lata		urn:lsid:marinespecies.org:taxname:173032	lata		1978	7cfda414-4598-4ee3-9d00-fb93bdb8ef3c	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3675.0	281318400000.0	281318400000.0	281318400000.0	1978.0	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta lata	1.0	2	1065	1274	1302	1358	379600	22616	134580	173032	173032	Pantopipetta lata	[]	3673	446598	18.32	35.53	Bigood	Beam trawl_1978121_CP / CPH-14_NA	00:00:00+00:00	CP / CPH-14	EPSG:4326	STOCK Jan	en	3675.0	SIBUET Myriam	Beam trawl	holotype									
PreservedSpecimen		48785	Pycnogonida	NIWA		6	-67.6191667	-178.9118333	6/03/2008	Austrodecidae	Pantopipetta	NIWA Invertebrate Collection	Animalia	Site C33, Scott Abyssal station	3475	8/04/2022	3	5c28003e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Pantopipetta lata	Stock, 1981	urn:lsid:marinespecies.org:taxname:173032	lata		2008	8ac25b3c-a30b-4417-98ec-6bbe79b86d00	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	3482.5					False	False	True	False		Chelicerata	Stiripasterida	Pantopipetta lata		2	1065	1274	1302	1358	379600	22616	134580	173032	173032	Pantopipetta lata	[]	3581	48988	-1.55	33.92	NIWA Invertebrate Collection					Arango, Claudia	en	3490.0	IPY CAML	Sled, Hyperbenthic		Antarctica	100	Ross Dependency	2009-06	LINESTRING (-178.9118333 -67.6191667, -178.934 -67.6186667)	WGS84	GPS	TAN0802/231	Specimen(s), Ethanol - no formalin = 1,  BB General Wet Collection
HumanObservation		22614	Pycnogonida	SOMBASE Pycnogonids			-73.4732971191	-30.448299408		Austrodecidae	Pantopipetta	BAS	Animalia		3111					Pantopoda	Arthropoda		Pantopipetta lata		urn:lsid:marinespecies.org:taxname:173032				b7fb86ad-9801-43f8-8258-b54c59e8c86c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3111.0					False	False	True	False		Chelicerata	Stiripasterida	Pantopipetta lata		2	1065	1274	1302	1358	379600	22616	134580	173032	173032	Pantopipetta lata	[]	3084	158355	-1.75	34.07								3111.0												
