associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	county	dateIdentified	fieldNumber	modified	occurrenceID	specificEpithet	stateProvince	maximumDepthInMeters	minimumDepthInMeters	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	152789.116174	Invertebrate Zoology: Crustacea	22	-37.8333282471	77.5666732788	observedindividualcount=6;	1971-02-22T12:00:00Z	Arnaud, F.	6.0	USNM	;; juvenile	Amsterdam Island, Near Roche Godon Station	2	Alcohol (Ethanol)	J. Beurois	Tanystylum brevipes	(Hoek)	urn:lsid:marinespecies.org:taxname:240186	male; female;;	Indian Ocean	1971	0dbb3353-09a7-4bf1-a27b-30face5aee6d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	36028800000.0	36028800000.0	36028800000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	['NO_DEPTH', 'ON_LAND']	-411	-2399	15.18	35.11											
	HumanObservation		PNB234	NaGISA		-29.717669	17.058225		2007-08-29	A.Mead		University of Cape Town		Brasil			A.Mead	Tanystylum brevipes		urn:lsid:marinespecies.org:taxname:240186		Atlantic		143a3603-84e0-40b4-8224-495c51c319c0	0c59dc30-4b06-4572-addc-155042f81fd0	['8385435b-bcf5-4bec-b827-8b480163d479']	1188345600000.0	1188345600000.0	1188345600000.0	2007.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	['NO_DEPTH']	2	85	14.37	35.06	South Africa	Port Nollath	2007	PNBLT2	2009-03-17	NaGISA-54844	brevipes	Cold Temperate			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	107499.80088	Invertebrate Zoology: Crustacea		-35.9329986572	18.466999054	observedindividualcount=1;	1899-07-31T12:00:00Z	Cole, L. J.	1.0	USNM		Cape Town	7	Slide	L. Cole	Tanystylum brevipes	(Hoek)	urn:lsid:marinespecies.org:taxname:240186		South Atlantic Ocean	1899	285031d3-0772-4265-9cd4-305b5a2f92de	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2222294400000.0	-2222294400000.0	-2222294400000.0	1899.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	['NO_DEPTH']	3055	162630	18.86	35.47	South Africa							Western Cape			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	107497.80086	Invertebrate Zoology: Crustacea		-35.9329986572	18.466999054	observedindividualcount=1;	1899-07-31T12:00:00Z	Cole, L. J.	1.0	USNM		Cape Town	7	Slide	L. Cole	Tanystylum brevipes	(Hoek)	urn:lsid:marinespecies.org:taxname:240186	male	South Atlantic Ocean	1899	33188bab-66d8-4160-87b6-653552320b7e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2222294400000.0	-2222294400000.0	-2222294400000.0	1899.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	['NO_DEPTH']	3055	162630	18.86	35.47	South Africa							Western Cape			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	107502.80092	Invertebrate Zoology: Crustacea		-35.9329986572	18.466999054	observedindividualcount=1;	1899-07-31T12:00:00Z	Cole, L. J.	1.0	USNM	juvenile	Cape Town	7	Slide	L. Cole	Tanystylum brevipes	(Hoek)	urn:lsid:marinespecies.org:taxname:240186		South Atlantic Ocean	1899	a0928bf7-36c9-4866-9a05-181113b4cf0d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2222294400000.0	-2222294400000.0	-2222294400000.0	1899.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	['NO_DEPTH']	3055	162630	18.86	35.47	South Africa							Western Cape			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	107501.80091	Invertebrate Zoology: Crustacea		-35.9329986572	18.466999054	observedindividualcount=1;	1899-07-31T12:00:00Z	Cole, L. J.	1.0	USNM		Cape Town	7	Slide	L. Cole	Tanystylum brevipes	(Hoek)	urn:lsid:marinespecies.org:taxname:240186	female	South Atlantic Ocean	1899	ad39d6ea-3ce0-46fb-a77c-81240aa76237	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2222294400000.0	-2222294400000.0	-2222294400000.0	1899.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	['NO_DEPTH']	3055	162630	18.86	35.47	South Africa							Western Cape			
	HumanObservation		34255	SOMBASE Pycnogonids		-37.8330001831	77.5667037964					BAS						Tanystylum brevipes		urn:lsid:marinespecies.org:taxname:240186				bced1e8d-c8d6-49b8-9bc0-87a9e8eaa7c7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-411	-2390	15.18	35.11									100.0	0.0	50.0
	HumanObservation		34256	SOMBASE Pycnogonids		-38.7000007629	75.1829986572					BAS						Tanystylum brevipes		urn:lsid:marinespecies.org:taxname:240186				bd1d824a-bdbd-45c7-9be7-4b0674fdb025	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	[]	3880	201436	14.86	35.1									100.0	0.0	50.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	107498.80087	Invertebrate Zoology: Crustacea		-35.9329986572	18.466999054	observedindividualcount=1;	1899-07-31T12:00:00Z	Cole, L. J.	1.0	USNM		Cape Town	7	Slide	L. Cole	Tanystylum brevipes	(Hoek)	urn:lsid:marinespecies.org:taxname:240186		South Atlantic Ocean	1899	d2cd8c4b-c60b-42a0-b0b3-20f8587287c0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2222294400000.0	-2222294400000.0	-2222294400000.0	1899.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	['NO_DEPTH']	3055	162630	18.86	35.47	South Africa							Western Cape			
	HumanObservation		37250	SOMBASE Pycnogonids		-35.4500007629	23.4899997711					BAS						Tanystylum brevipes		urn:lsid:marinespecies.org:taxname:240186				dd73d790-d5d6-4439-9555-5d0794ae04d2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum brevipes	2	1065	1274	1302	1358	379601	379608	1562	134577	240186	240186	Tanystylum brevipes	['NO_DEPTH']	1798	149036	21.47	35.43											
