associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	day	dynamicProperties	eventDate	individualCount	month	preparations	sex	stateProvince	year	date_start	date_mid	date_end	date_year
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-003_C2	B89PII	195770.0	24.7805652618	-82.3406906128	Child, C. A.	HRI	ESE  Gulf of Mexico	15.0	0.0	Database description and disclaimer at: http://gulfbase.org/	Ammothella marcusi	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239516	0-15	Gulf of Mexico	39cbc668-ae78-4120-a960-2a3faaf20219	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	7.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella marcusi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	239516	239516	Ammothella marcusi	[]	26	28843	26.37	36.14														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	172000.128858	Invertebrate Zoology: Crustacea		15.7670001984	-96.0999984741	Child, C. Allan	USNM	Tangola, Tangola Bay				Ammothella marcusi	Hedgpeth	urn:lsid:marinespecies.org:taxname:239516		North Pacific Ocean	4d497f17-2e8b-4675-a6d5-c4e933b9b402	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella marcusi		2	1065	1274	1302	1358	379601	379608	1562	134570	239516	239516	Ammothella marcusi	['NO_DEPTH', 'ON_LAND']	-3	-35			Mexico	1	observedindividualcount=1;	1934-03-01T12:00:00Z	1.0	3	Alcohol (Ethanol); Slide	male	Oaxaca	1934	-1130976000000.0	-1130976000000.0	-1130976000000.0	1934.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	172001.128859	Invertebrate Zoology: Crustacea		15.7670001984	-96.0999984741	Child, C. Allan	USNM	Tangola, Tangola Bay				Ammothella marcusi	Hedgpeth	urn:lsid:marinespecies.org:taxname:239516		North Pacific Ocean	c7d784fd-22d5-4bf2-908d-bffca75662b6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella marcusi		2	1065	1274	1302	1358	379601	379608	1562	134570	239516	239516	Ammothella marcusi	['NO_DEPTH', 'ON_LAND']	-3	-35			Mexico	1	observedindividualcount=1;	1934-03-01T12:00:00Z	1.0	3	Alcohol (Ethanol)	male	Oaxaca	1934	-1130976000000.0	-1130976000000.0	-1130976000000.0	1934.0
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-003_C1	B89PII	249350.0	23.0251464844	-82.887260437	Child, C. A.	HRI	ESE  Gulf of Mexico	15.0	0.0	Database description and disclaimer at: http://gulfbase.org/	Ammothella marcusi	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239516	0-15	Gulf of Mexico	ea11706c-4318-4f64-aee9-0234f6d05d7e	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	7.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella marcusi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	239516	239516	Ammothella marcusi	[]	126	466	27.69	35.98														
