basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	collectionID	continent	country	countryCode	datasetID	datasetName	eventDate	eventID	eventRemarks	identifiedBy	institutionID	island	locality	locationID	occurrenceID	occurrenceStatus	organismID	parentNameUsageID	recordNumber	recordedBy	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonID	taxonRank	taxonomicStatus	waterBody	date_start	date_mid	date_end	date_year	bibliographicCitation	modified	occurrenceRemarks
HumanObservation	24044	SOMBASE Pycnogonids	-60.4266014099	-46.4216003418	BAS	128.0	97	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	0628e7ad-0aaf-4d72-bd04-d3835cb62590	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	112.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	[]	130	15320	-0.9	33.81																																			
HumanObservation	39757	SOMBASE Pycnogonids	-63.9754981995	-60.8768005371	BAS	233.0	233	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	077c8433-1856-41b5-bb82-f0a72fd0ba76	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	233.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	[]	282	3652	-0.71	33.89																																			
HumanObservation	39066	SOMBASE Pycnogonids	-66.5419998169	92.5597000122	BAS	30.0	30	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	08a3033a-d126-4c52-a85a-1b4b95ce1e99	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	30.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	[]	415	488	-1.56	33.71																																			
PreservedSpecimen	S09078	OGL	-53.3819999694824	-42.689998626709	OGL		284	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	0f119202-18ef-4737-9c8d-b538228df23b	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	284.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	[]	279	47310	2.25	33.78	BOLD ID: 02-605-1	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Antarctica	Antarctica	AQ	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	2002-04-10	CE01981	Contact Person: Linse, Katrin	Katrin Linse	8c116cac-9394-4c4e-be14-06184bdc62bd	South Georgia	PS61-169-1	CL01563	OGL_MSC_NortheasternUniversity_S09078	present	S09078	134588	02-605-1	Katrin Linse	ND	(Hodgson, 1907)	australis	T02304	Species	accepted	Scotia Sea	1018396800000.0	1018396800000.0	1018396800000.0	2002.0			
HumanObservation	38751	SOMBASE Pycnogonids	-66.5333023071	92.0167007446	BAS	30.0	10	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	0fff159e-736b-4a89-92d2-e169e5d99884	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	20.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483																																					
HumanObservation	39489	SOMBASE Pycnogonids	-71.4499969482	-13.733300209	BAS	212.0	212	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	111dff06-50f1-4fb3-a146-7c7225a4f1f9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	212.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	[]	217	47798	-1.75	33.85																																			
HumanObservation	333	CAML - Foraminifera	-64.3331	-62.8831	BAS		0	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	131fdefe-39a1-4974-8578-b44e210d0bfc	4945cc97-c830-42bd-aec0-036f74937b93	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	0.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	[]	75	707	-0.42	33.6				Antarctica		IMIS:dasid:1776								Dallman's Bay, Palmer Station, Antarctic peninsula		urn:catalog:BAS:CAML - Foraminifera:333								australis									Arango,C.P. and Wheeler,W.C. Cladistics 23 (3), 255-293 (2007)	2010-02-04T00:00	GenBankID: DQ390156
HumanObservation	39491	SOMBASE Pycnogonids	-73.5832977295	-22.5832996368	BAS	898.0	850	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	141b20d5-7347-4043-b5cc-d09ea781e7b6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	874.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	[]	969	43943	-1.67	33.91																																			
HumanObservation	21614	SOMBASE Pycnogonids	-73.3016967773	-21.1683006287	BAS	459.0	459	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	164de37f-02b6-4069-9061-e22ea1f6a0fe	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	459.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	[]	459	21527	-1.69	33.85																																			
HumanObservation	38287	SOMBASE Pycnogonids	-66.5551986694	92.9570007324	BAS	35.0	20	Endeis australis	urn:lsid:marinespecies.org:taxname:173273	1707e7b3-2a8a-4afb-84ce-cb98b0dcadb2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	27.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis australis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	173273	173273	Endeis australis	[]	321	476	-1.56	33.71																																			
