basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	eventDate	month	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year
Occurrence	Crosnier A (2003).	48283	NewCaledonia	Taiwan	https://marineinfo.org/id/dataset/3128	24.4400005340576	122.300003051758	IRD-MNHN	Taiwan 2000, CP55	638.0	638	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48283:0xD36C170001000100	present	Heterofragilia amica	urn:lsid:marinespecies.org:taxname:239939	21eda129-aa66-46ab-8cb3-1b816796bdae	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	638	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Heterofragilia	Heterofragilia amica	1	2	1065	1274	1302	1358	379601	379608	379788	236270	239939	239939	Heterofragilia amica	[]	719	44149	26.74	34.07												
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Heterofragilia amica</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239939	sm_id_994	WoRMS type localities		https://marineinfo.org/id/dataset/5184	32.25	128.2	WoRMS Editorial Board	East China Sea		165	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_994	present	Heterofragilia amica	urn:lsid:marinespecies.org:taxname:239939	c06e3dad-5774-4145-a8e4-62df403c4cc3	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	165	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Heterofragilia	Heterofragilia amica	1	2	1065	1274	1302	1358	379601	379608	379788	236270	239939	239939	Heterofragilia amica	[]	149	8647	22.12	34.05	15	1914-05-15	5	http://www.marinespecies.org/aphia.php?p=specdetails&id=994	Stock, 1954	amica	holotype	1914	-1755648000000.0	-1755648000000.0	-1755648000000.0	1914.0
