basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	typeStatus	waterBody	eventDate	eventID	identificationRemarks	identificationVerificationStatus	occurrenceRemarks	verbatimIdentification	date_start	date_mid	date_end	date_year
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21582	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-22.8799991607666	167.279998779297	IRD-MNHN	Biocal, DW46	610.0	570.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21582:0x2033900001000500	present	Cilunculus compactus	urn:lsid:marinespecies.org:taxname:240025	3b83dab8-9a28-424e-9eb5-1af3e5afd7da	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	590.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus compactus	1.0	2	1065	1274	1302	1358	379601	379608	1562	134572	240025	240025	Cilunculus compactus	[]	545	21825	24.35	35.27																								
Occurrence			NewCaledonia		https://marineinfo.org/id/dataset/3128	-23.6800003051758	168.009994506836	IRD-MNHN	Norfolk, Mt. Jumeau Ouest (Smib 4, DW51)	260.0	260.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0xD3FB8F0001000500	present	Cilunculus compactus	urn:lsid:marinespecies.org:taxname:240025	5298e174-ff2a-40c8-b96f-16b26af02266	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	260.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus compactus	1.0	2	1065	1274	1302	1358	379601	379608	1562	134572	240025	240025	Cilunculus compactus	[]	360	111492	24.4	35.32																								
PreservedSpecimen		2007-4599	IU			-22.887884	167.290253	MNHN	S Ile des Pins			2015-06-19T21:23Z	440007389		Cilunculus compactus	urn:lsid:marinespecies.org:taxname:240025	82a51d71-345a-4e67-9319-986282981bbb	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus compactus		2	1065	1274	1302	1358	379601	379608	1562	134572	240025	240025	Cilunculus compactus Stock, J.H., 1991	['NO_DEPTH']	555	22223	24.35	35.27	NC	BIOCAL/DW46	POINT  (167.290253 -22.887884)	WGS84	Stock	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4599	Stock, 1991	compactus	SPECIES	HOLOTYPE	Pacific Ocean										
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	149	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-23.6800003051758	168.009994506836	IRD-MNHN	Smib 4, DW51	260.0	260.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:149:0xD082170001000000	present	Cilunculus compactus	urn:lsid:marinespecies.org:taxname:240025	8f042488-6fef-4386-a877-67510465eca0	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	260.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus compactus	1.0	2	1065	1274	1302	1358	379601	379608	1562	134572	240025	240025	Cilunculus compactus	[]	360	111492	24.4	35.32																								
PreservedSpecimen		17444	SeamountsOnline			-23.68	168.01	SCSD	Jumeau West Seamount	260.0	245.0		SeamountsOnline_urn:lsid:marinespecies.org:taxname:240025_17444	present	Cilunculus compactus	urn:lsid:marinespecies.org:taxname:240025	9e4e898e-9a96-4c3c-baa5-1f0a14433b60	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	252.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus compactus	1.0	2	1065	1274	1302	1358	379601	379608	1562	134572	240025	240025	Cilunculus compactus	[]	360	111492	24.4	35.32		Station DW 51			NA				Richer de Forges, B. 2001 Electronic Database of ORSTOM Sampling on the Norfolk Ridge NA	Stock, 1991					1989-03-09	SCSD_SeamountsOnline_Jumeau_West Seamount_534411	WoRMS Match Type: exact	Validated	NA | NA	Cilunculus compactus	605404800000.0	605404800000.0	605404800000.0	1989.0
Occurrence	Stock JH (1991). Musorstom 8(151): 213-228.	38229	NewCaledonia	Philippines	https://marineinfo.org/id/dataset/3128	12.5200004577637	120.650001525879	IRD-MNHN	Musorstom 3, DR117	97.0	92.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:38229:0x8C33900001000500	present	Cilunculus compactus	urn:lsid:marinespecies.org:taxname:240025	fc2bd471-9dba-4baa-b0aa-8a02526f8628	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	94.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus compactus	1.0	2	1065	1274	1302	1358	379601	379608	1562	134572	240025	240025	Cilunculus compactus	[]	174	26723	28.91	32.26																								
