basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	subfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	P.43390	Pycnogonida	co113	0.0009	100	Australia	-11.44933	144.06766	1993-01-14	Endeidae	POINT (144.06766 -11.44933)	Endeis	AM	Animalia	GBRMPA Reef 11-131	2017-03-02T16:13:55	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43390	present	Arthropoda	Endeis meridionalis	urn:lsid:marinespecies.org:taxname:239685	Male	meridionalis	species	a3ba3b15-3e74-43f8-bb31-c87e9fb78344	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	726969600000.0	726969600000.0	726969600000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis meridionalis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239685	239685	Endeis meridionalis	['NO_DEPTH']	30.82	81896	27.1	34.79
PreservedSpecimen	P.43389	Pycnogonida	co113	0.0009	100		-10.43783	144.42966	1993-01-19	Endeidae	POINT (144.42966 -10.43783)	Endeis	AM	Animalia	Ashmore Reef, outer reef slope	2017-03-02T16:13:55	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43389	present	Arthropoda	Endeis meridionalis	urn:lsid:marinespecies.org:taxname:239685	Male	meridionalis	species	abe25609-bca1-42c2-9c8a-3d85dbd91a5f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	727401600000.0	727401600000.0	727401600000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis meridionalis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239685	239685	Endeis meridionalis	['NO_DEPTH']	10.82	68948	27.19	34.72
PreservedSpecimen	P.43388	Pycnogonida	co113	0.0009	100	Australia	-11.44933	144.06766	1993-01-14	Endeidae	POINT (144.06766 -11.44933)	Endeis	AM	Animalia	GBRMPA Reef 11-131	2017-03-02T16:13:55	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43388	present	Arthropoda	Endeis meridionalis	urn:lsid:marinespecies.org:taxname:239685	Male	meridionalis	species	bc50a624-9497-4979-8d84-24ff40f79fae	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	726969600000.0	726969600000.0	726969600000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis meridionalis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239685	239685	Endeis meridionalis	['NO_DEPTH']	30.82	81896	27.1	34.79
PreservedSpecimen	P.27932	Pycnogonida	co113		10000	Australia	-14.7	145.466		Endeidae	POINT (145.46600 -14.70000)	Endeis	AM	Animalia	Lizard Island, lagoon drop off between Bird Islet and South Island	2017-03-02T11:27:36	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27932	present	Arthropoda	Endeis meridionalis	urn:lsid:marinespecies.org:taxname:239685	Female	meridionalis	species	ec7d80c6-4325-435f-98aa-009272891d99	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis meridionalis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239685	239685	Endeis meridionalis	['NO_DEPTH']	29.58	819	26.45	34.93
