basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	footprintWKT	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	day	dynamicProperties	identifiedBy	individualCount	month	preparations	sex	waterBody	coordinateUncertaintyInMeters	datasetName	eventID	eventTime	fieldNumber	footprintSRS	language	recordedBy	samplingProtocol	specificEpithet
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_8990	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	58.55	-34.88	1982/1982	LINESTRING (-34.90083 58.56683, -34.86733 58.5515)	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Akademik Mstislav Keldysh”, St. 390-3	2951.0	2930	2016-03-24 10:26:12	Deepsea_Pycnogonida_8990	present	Callipallene acus	Meinert, 1898	urn:lsid:marinespecies.org:taxname:134642	1982	08879583-b7f3-47d3-ad07-423f36d684a7	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2940.5	378691200000	394416000000	410140800000	1982	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene acus	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134642	134642	Callipallene acus	[]	2893.0	493437	7.73	34.87																				
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233613.185517	Invertebrate Zoology: Crustacea		55.7999992371	-56.0	1960-08-30T12:00:00Z		USNM	Labrador Basin	2452.0	2452				Callipallene acus	(Meinert)	urn:lsid:marinespecies.org:taxname:134642	1960	7c31500c-5860-4d87-9e39-e69c2c7375e8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2452.0	-294710400000	-294710400000	-294710400000	1960	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene acus		2	1065	1274	1302	1358	379601	379609	1564	134581	134642	134642	Callipallene acus	[]	2500.0	145606	3.84	33.9	National Museum of Natural History, Smithsonian Institution	Canada	30	observedindividualcount=1;	Child, C. Allan	1.0	8	Alcohol (Ethanol)	male	North Atlantic Ocean										
HumanObservation		30341	bio_dba	https://marineinfo.org/id/dataset/490	48.0	-9.0	1973-10-01T00:00:00+00:00			Golfe de Gascogne	1080.0	1080	2022-01-18 09:29:51	Ifremer_bio_dba_30341	present	Callipallene acus		urn:lsid:marinespecies.org:taxname:134642	1973	c751a9ab-d3a9-4ec5-a3cb-0c298c183be5	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1080.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene acus	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134642	134642	Callipallene acus	[]	2662.4	279564	14.24	35.61			1		STOCK Jan		10				50.0	Bigood	Boillot sledge small_1973101_DR-BOILp-430_NA	00:00:00+00:00	DR-BOILp-430	EPSG:4326	en	CABIOCH Louis	Boillot sledge small	acus
HumanObservation		30380	bio_dba	https://marineinfo.org/id/dataset/490	48.0	-9.0	1973-10-01T00:00:00+00:00			Golfe de Gascogne	1300.0	1300	2022-01-18 09:29:51	Ifremer_bio_dba_30380	present	Callipallene acus		urn:lsid:marinespecies.org:taxname:134642	1973	c75fdabb-9b49-4c07-b2ea-cb11488c630c	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1300.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene acus	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134642	134642	Callipallene acus	[]	2662.4	279564	14.24	35.61			1		STOCK Jan		10				50.0	Bigood	Boillot sledge small_1973101_DR-BOILp-429_NA	00:00:00+00:00	DR-BOILp-429	EPSG:4326	en	CABIOCH Louis	Boillot sledge small	acus
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_8988	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	62.0	-33.0	1964/1964		P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Cirrus”, St. 4		3800	2016-03-24 10:26:12	Deepsea_Pycnogonida_8988	present	Callipallene acus	Meinert, 1898	urn:lsid:marinespecies.org:taxname:134642	1964	d720b732-19d8-4227-b522-b2933f9ba233	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3800.0	-189388800000	-173664000000	-157852800000	1964	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene acus	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134642	134642	Callipallene acus	['DEPTH_EXCEEDS_BATH']	3069.0	423919	7.6	34.96																				
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_8989	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	55.8	-56.0	1960/1960		P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Vema”, St. 55		2425	2016-03-24 10:26:12	Deepsea_Pycnogonida_8989	present	Callipallene acus	Meinert, 1898	urn:lsid:marinespecies.org:taxname:134642	1960	ed00c499-dfe2-4f7f-8616-581cf436ed4b	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2425.0	-315619200000	-299894400000	-284083200000	1960	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene acus	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134642	134642	Callipallene acus	[]	2500.0	145606	3.84	33.9																				
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	36920.254507	Invertebrate Zoology: Crustacea		41.1916694641	-66.2055587769	1883-09-07T12:00:00Z		USNM	North Atlantic Basin, SE Of Cape Cod	913.0	913				Callipallene acus	(Meinert)	urn:lsid:marinespecies.org:taxname:134642	1883	f3165484-b6d1-4404-b613-659dae4fbbd8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	913.0	-2723932800000	-2723932800000	-2723932800000	1883	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene acus		2	1065	1274	1302	1358	379601	379609	1564	134581	134642	134642	Callipallene acus	[]	796.0	244725	12.72	32.68	National Museum of Natural History, Smithsonian Institution	United States	7	observedindividualcount=1;	Hedgpeth, J. W.	1.0	9	Alcohol (Ethanol)		North Atlantic Ocean										
