basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid
PreservedSpecimen	2007-4622	Pycnogonida	IU	NC	-22.887884	167.290253	Callipallenidae	BIOCAL/DW46	POINT  (167.290253 -22.887884)	Seguapallene	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	440016256	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4622	Seguapallene tricuspidata	Stock, 1991	urn:lsid:marinespecies.org:taxname:240196	tricuspidata	SPECIES	HOLOTYPE	Pacific Ocean	221b088f-7d58-46bb-ac8d-b7c9c1618133	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Seguapallene tricuspidata	2	1065	1274	1302	1358	379601	379609	1564	236296	240196	240196	Seguapallene tricuspidata Stock, J.H., 1991	['NO_DEPTH']	555	22223	24.35	35.27									
Occurrence	21653	Pycnogonida	NewCaledonia		-22.8799991607666	167.279998779297	Callipallenidae			Seguapallene				IRD-MNHN	Animalia		Biocal, DW46	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21653:0x0B0A900001000100	Pantopoda	Arthropoda			Seguapallene tricuspidata		urn:lsid:marinespecies.org:taxname:240196					aa632a2e-d637-4277-b772-3cab7d74d6f0	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Seguapallene tricuspidata	2	1065	1274	1302	1358	379601	379609	1564	236296	240196	240196	Seguapallene tricuspidata	[]	545	21825	24.35	35.27	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	610.0	570.0	present	590.0	Biota	1.0
