basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	individualCount	institutionCode	kingdom	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	footprintWKT	geodeticDatum	georeferenceSources	language	locationID	maximumDepthInMeters	preparations	recordedBy	samplingProtocol	dateIdentified	identifiedBy
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Hedgpethia eleommata</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=379115	sm_id_90226	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	23	-45.9650001526	171.7616729736	1995-02-23	Colossendeidae	Hedgpethia	1.0	WoRMS Editorial Board	Animalia	1235	2020-11-16 11:12:20	2	WoRMS Editorial Board:WoRMS type localities:sm_id_90226	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=90226	Hedgpethia eleommata	Child, 1998	urn:lsid:marinespecies.org:taxname:379115	eleommata	holotype	1995	16e75fff-fe46-4e29-8d9d-ab8fd8fb17b0	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1235.0	793497600000.0	793497600000.0	793497600000.0	1995.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia eleommata	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	379115	379115	Hedgpethia eleommata	[]	1423	78970	9.99	34.29															
PreservedSpecimen		6699	Pycnogonida	NIWA		14	-44.6	178.9266667	14/09/1993	Colossendeidae	Hedgpethia		NIWA Invertebrate Collection	Animalia	1442	8/04/2022	9	5f7f88e2-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Hedgpethia eleommata	Child, 1998	urn:lsid:marinespecies.org:taxname:379115	eleommata		1993	6cdc91a0-5dc0-41c8-99cb-91cf9e509146	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1455.0					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia eleommata		2	1065	1274	1302	1358	379601	379607	22617	379614	134587	379115	379115	Hedgpethia eleommata	[]	1430	339803	11.25	34.33	Oceania	100	New Zealand	NIWA Invertebrate Collection	LINESTRING (178.9266667 -44.6, 178.9666667 -44.6333333)	WGS84	GPS	en	W248	1468.0	Specimen(s), Unknown = 1	NIWA	Trawl, Agassiz medium		
HumanObservation		34124	Pycnogonida	SOMBASE Pycnogonids			-45.9650001526	171.76159668		Colossendeidae	Hedgpethia		BAS	Animalia	1400					Pantopoda	Arthropoda		Hedgpethia eleommata		urn:lsid:marinespecies.org:taxname:379115				768438b7-b060-4120-9c80-59ab7a78f54a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1407.5					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia eleommata		2	1065	1274	1302	1358	379601	379607	22617	379614	134587	379115	379115	Hedgpethia eleommata	[]	1423	78965	9.99	34.29										1415.0					
PreservedSpecimen		7596	Pycnogonida	NIWA		23	-45.965	171.7616667	23/02/1995	Colossendeidae	Hedgpethia		NIWA Invertebrate Collection	Animalia	1235	8/04/2022	2	5e8c29d6-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Hedgpethia eleommata	Child, 1998	urn:lsid:marinespecies.org:taxname:379115	eleommata	HOLOTYPE	1995	9c0315c0-bbe4-4dd2-9ae9-38bd55490ea1	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1251.5					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia eleommata		2	1065	1274	1302	1358	379601	379607	22617	379614	134587	379115	379115	Hedgpethia eleommata	[]	1423	78970	9.99	34.29	Oceania	100	New Zealand	NIWA Invertebrate Collection	POINT (171.7616667 -45.965)	WGS84	GPS	en	W460	1268.0	Specimen(s), Alcohol unknown = 1,  BB NIC Type Room	NZOI	Trawl, type undefined	1998	Child, C, A
HumanObservation		34125	Pycnogonida	SOMBASE Pycnogonids			-44.5999984741	178.926605225		Colossendeidae	Hedgpethia		BAS	Animalia	1442					Pantopoda	Arthropoda		Hedgpethia eleommata		urn:lsid:marinespecies.org:taxname:379115				9cc57fb3-9b8e-435a-940f-570dc173af54	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1455.0					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia eleommata		2	1065	1274	1302	1358	379601	379607	22617	379614	134587	379115	379115	Hedgpethia eleommata	[]	1416	339808	11.25	34.33										1468.0					
PreservedSpecimen		4763	Pycnogonida	NIWA		23	-45.965	171.7616667	23/02/1995	Colossendeidae	Hedgpethia		NIWA Invertebrate Collection	Animalia	1235	8/04/2022	2	5faf0e1e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Hedgpethia eleommata	Child, 1998	urn:lsid:marinespecies.org:taxname:379115	eleommata	PARATYPE	1995	dc208a50-45a7-4555-85f1-5e3734a4a507	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1251.5					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia eleommata		2	1065	1274	1302	1358	379601	379607	22617	379614	134587	379115	379115	Hedgpethia eleommata	[]	1423	78970	9.99	34.29	Oceania	100	New Zealand	NIWA Invertebrate Collection	POINT (171.7616667 -45.965)	WGS84	GPS	en	W460	1268.0	Specimen(s), Ethanol - previously unknown = 6,  BB NIC Type Room	NZOI	Trawl, type undefined	1998	Child, C, A
