basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	county	datasetName	day	decimalLatitude	decimalLongitude	endDayOfYear	eventDate	family	genus	institutionCode	kingdom	license	locality	modified	month	occurrenceID	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	stateProvince	taxonRank	vernacularName	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	language	recordedBy	footprintWKT	individualCount	lifeStage	organismQuantity	organismQuantityType	sex	coordinatePrecision
HumanObservation	Association for the Research of Littoral Organisms in Osaka Bay (2007) Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys carried out in the years 2001-2005. Shizenshi-Kenkyu, Occasional Papers from the Osaka Museum of Natural History, 3(6), 93-106. https://omnh.repo.nii.ac.jp/records/465	011751	Pycnogonida	rocky_macrobiota	200	Japan	Wakayama	Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys	6	34.265	135.061	126	2001-05-06	Ammotheidae	Ammothella	OKKJP	Animalia	https://creativecommons.org/licenses/by/4.0/legalcode	Kada, Tagurazaki	2024-07-18T15:50:57.872964171+09:00	5	OKKJP:rocky_macrobiota:011751	Present	Pantopoda	Arthropoda	Ammothella biunguiculata	(Dohrn, 1881)	urn:lsid:marinespecies.org:taxname:134610	biunguiculata	126	Wakayama	species	フタツメイソウミグモ	2001	0f5ad46e-3bb4-4233-851b-1a9cd36b06aa	b1a2d0ab-9b94-4a59-9371-432738a3cc36	['0d07a0ea-9c75-48e8-b3fd-c28d653f4270']	989107200000.0	989107200000.0	989107200000.0	2001.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata	['NO_DEPTH']	-7	21	19.81	33.08									
PreservedSpecimen		2794	Pycnogonida	Ar		Japan	Sennan-gun, Misakicho	Marine Invertebrata specimen database of Osaka Museum of Natutal History	25	34.318901	135.149		1982-04-25	Ammotheidae	Ammothella	OMNH	Animalia	ccbync		2008-01-18	4	urn:catalog:OMNH:Ar:2794	Present	Pantopoda	Arthropoda	Ammothella biunguiculata	(Dohrn, 1881)	urn:lsid:marinespecies.org:taxname:134610	biunguiculata		Osaka	species		1982	0f77dc62-36eb-4cef-8e95-4ed2c5d29061	1518e369-0e28-4734-b85e-bc1c1ed4f00d	['0d07a0ea-9c75-48e8-b3fd-c28d653f4270']	388540800000.0	388540800000.0	388540800000.0	1982.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata	['NO_DEPTH', 'ON_LAND']	-2	-440	19.81	33.09	en	Association for the Research of Littoral Organisms in Osaka Bay							
HumanObservation	Association for the Research of Littoral Organisms in Osaka Bay (2023) Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys carried out in the years 2016-2020. Shizenshi-Kenkyu, Occasional Papers from the Osaka Museum of Natural History, 4(6), 157-180. https://doi.org/10.20643/00001668	041901	Pycnogonida	rocky_macrobiota	100	Japan	Wakayama	Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys	15	34.3075	135.0775	105	2018-04-15	Ammotheidae	Ammothella	OKKJP	Animalia	https://creativecommons.org/licenses/by/4.0/legalcode	Okawa, Ebisuzaki	2024-07-18T15:51:29.406314637+09:00	4	OKKJP:rocky_macrobiota:041901	Present	Pantopoda	Arthropoda	Ammothella biunguiculata	(Dohrn, 1881)	urn:lsid:marinespecies.org:taxname:134610	biunguiculata	105	Wakayama	species	フタツメイソウミグモ	2018	1da1ef11-4757-4af4-ad0a-020420cd20d1	b1a2d0ab-9b94-4a59-9371-432738a3cc36	['0d07a0ea-9c75-48e8-b3fd-c28d653f4270']	1523750400000.0	1523750400000.0	1523750400000.0	2018.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata	['NO_DEPTH']	-51	35	19.81	33.08									
PreservedSpecimen		2572	Pycnogonida	Ar		Japan	Wakayama-shi	Marine Invertebrata specimen database of Osaka Museum of Natutal History	7	34.274799	135.07401		1981-06-07	Ammotheidae	Ammothella	OMNH	Animalia	ccbync		2008-01-18	6	urn:catalog:OMNH:Ar:2572	Present	Pantopoda	Arthropoda	Ammothella biunguiculata	(Dohrn, 1881)	urn:lsid:marinespecies.org:taxname:134610	biunguiculata		Wakayama	species		1981	1e7aed2b-2fba-4710-af2e-e2acb2bba917	1518e369-0e28-4734-b85e-bc1c1ed4f00d	['0d07a0ea-9c75-48e8-b3fd-c28d653f4270']	360720000000.0	360720000000.0	360720000000.0	1981.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata	['NO_DEPTH', 'ON_LAND']	-50	-151	19.81	33.08	en	Michio OTANI							
PreservedSpecimen		J53911	Pycnogonida	co119	1000	Australia				-37.88	144.9		2006-04-01	Ammotheidae	Ammothella	NMV	Animalia		Williamstown	2017-02-09T13:30:32		J53911	present	Pantopoda	Arthropoda	Ammothella biunguiculata		urn:lsid:marinespecies.org:taxname:134610	biunguiculata			species	Pycnogonid		269a97c9-5a22-4f51-a045-f21816b3ec5c	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	1143849600000.0	1143849600000.0	1143849600000.0	2006.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata		2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata	['NO_DEPTH']	1	851	15.78	35.69			POINT (144.90000 -37.88000)	3	Juvenile	3	individuals	Male;Female;Unknown	
PreservedSpecimen		P.8617	Pycnogonida	co113	1000	Australia				-33.84833	151.26999			Ammotheidae	Ammothella	AM	Animalia		Port Jackson,  Bottle and Glass Rocks	2017-03-02T10:17:09		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.8617	present	Pantopoda	Arthropoda	Ammothella biunguiculata		urn:lsid:marinespecies.org:taxname:134610	biunguiculata			Species			2d800520-3166-496e-85ba-b956a561bb00	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata		2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata australiensis	['NO_DEPTH', 'ON_LAND']	4	-1472	20.41	35.54			POINT (151.26999 -33.84833)					Female	0.009
PreservedSpecimen		P.44739	Pycnogonida	co113	10000	Australia				-34.566	137.883		1973-12-23	Ammotheidae	Ammothella	AM	Animalia		Pine Point, 17km north of Port Vincent	2017-03-02T15:49:53		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44739	present	Pantopoda	Arthropoda	Ammothella biunguiculata		urn:lsid:marinespecies.org:taxname:134610	biunguiculata			species	Pycnogonid		2f6049b4-08f3-41bd-a45e-2e79ffcb4bf5	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	125452800000.0	125452800000.0	125452800000.0	1973.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata		2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata	['NO_DEPTH', 'ON_LAND']	-27	-71	17.46	36.34			POINT (137.88300 -34.56600)					Female	
PreservedSpecimen		P.47258	Pycnogonida	co113	10000	Australia				-33.75	151.316		1996-02-22	Ammotheidae	Ammothella	AM	Animalia		Long Reef	2017-03-02T16:06:08		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.47258	present	Pantopoda	Arthropoda	Ammothella biunguiculata		urn:lsid:marinespecies.org:taxname:134610	biunguiculata			Species			3beef7c0-826d-415a-98bc-12e73b92456b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	824947200000.0	824947200000.0	824947200000.0	1996.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata		2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata australiensis	['NO_DEPTH']	1	836	20.37	35.53			POINT (151.31600 -33.75000)					Female	0.0896
PreservedSpecimen		P.3253	Pycnogonida	co113	1000	Australia				-33.86	151.25666			Ammotheidae	Ammothella	AM	Animalia		Port Jackson, Shark Island	2017-03-02T17:16:59		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.3253	present	Pantopoda	Arthropoda	Ammothella biunguiculata		urn:lsid:marinespecies.org:taxname:134610	biunguiculata			Species			51b91147-4ab7-428b-9a59-a60c56a332da	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata		2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata australiensis	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54			POINT (151.25666 -33.86000)					Male	0.009
HumanObservation	Association for the Research of Littoral Organisms in Osaka Bay (2018) Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys carried out in the years 2011-2015. Shizenshi-Kenkyu, Occasional Papers from the Osaka Museum of Natural History, 4(2), 17-40. https://doi.org/10.20643/00001327	005721	Pycnogonida	rocky_macrobiota	200	Japan	Wakayama	Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys	27	34.265	135.061	117	2013-04-27	Ammotheidae	Ammothella	OKKJP	Animalia	https://creativecommons.org/licenses/by/4.0/legalcode	Kada, Tagurazaki	2024-07-18T15:50:51.372699777+09:00	4	OKKJP:rocky_macrobiota:005721	Present	Pantopoda	Arthropoda	Ammothella biunguiculata	(Dohrn, 1881)	urn:lsid:marinespecies.org:taxname:134610	biunguiculata	117	Wakayama	species	フタツメイソウミグモ	2013	5af6c8a1-bcd5-44bb-aa86-3dceda997995	b1a2d0ab-9b94-4a59-9371-432738a3cc36	['0d07a0ea-9c75-48e8-b3fd-c28d653f4270']	1367020800000.0	1367020800000.0	1367020800000.0	2013.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella biunguiculata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	134610	134610	Ammothella biunguiculata	['NO_DEPTH']	-7	21	19.81	33.08									
