basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	individualCount	organismQuantity	organismQuantityType
PreservedSpecimen	P.42947	Pycnogonida	co113	0.0896	10000	-33.57499	151.683	1986-02-10	Callipallenidae	POINT (151.68300 -33.57499)	Bamberene	AM	Animalia	east of Broken Bay	2017-03-02T15:58:09	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42947	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824	Female	dorsospina	species	027733e3-b872-4cdf-81a8-15e41fc2bca4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	508377600000.0	508377600000.0	508377600000.0	1986.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	132	23997	20.71	35.54				
PreservedSpecimen	P.43406	Pycnogonida	co113	0.009	1000	-36.933	150.20333	1994-09-04	Callipallenidae	POINT (150.20333 -36.93300)	Bamberene	AM	Animalia	east of Merimbula	2017-03-02T16:13:57	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43406	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824	Male	dorsospina	species	08964e8d-d478-4c0b-bbb3-a88a59cd792d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778636800000.0	778636800000.0	778636800000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	117	22935	18.52	35.58				
PreservedSpecimen	P.42941	Pycnogonida	co113	0.0896	10000	-33.72499	151.766	1985-12-20	Callipallenidae	POINT (151.76600 -33.72499)	Bamberene	AM	Animalia	east of Long Reef	2017-03-02T15:58:07	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42941	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824	Female	dorsospina	species	09ed261a-565f-4548-914e-178f4f994e33	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	503884800000.0	503884800000.0	503884800000.0	1985.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	166	39313	20.98	35.57				
PreservedSpecimen	P.42792	Pycnogonida	co113	0.0896	10000	-33.57499	151.683	1986-02-10	Callipallenidae	POINT (151.68300 -33.57499)	Bamberene	AM	Animalia	east of Broken Bay	2017-03-02T15:57:40	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42792	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824	Male	dorsospina	species	0e5c93a5-50e5-428f-91d9-54018f2717a5	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	508377600000.0	508377600000.0	508377600000.0	1986.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	132	23997	20.71	35.54				
PreservedSpecimen	J62425	Pycnogonida	co119		1000	-39.08	146.45	1981-03-28	Callipallenidae	POINT (146.45000 -39.08000)	Bamberene	NMV	Animalia	Waterloo Bay, Wilsons Promontory	2017-02-09T10:29:03	J62425	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824	Female	dorsospina	species	2a0ed1d3-8de1-4956-a42f-ac7d3bceb500	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	354585600000.0	354585600000.0	354585600000.0	1981.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	31	1207	15.57	35.74	Australia	1	1	individuals
PreservedSpecimen	P.71965	Pycnogonida	co113	0.009	1000	-36.94499	150.30333	1994-09-04	Callipallenidae	POINT (150.30333 -36.94499)	Bamberene	AM	Animalia	east of Merimbula	2017-03-02T12:36:52	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71965	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824		dorsospina	species	35913363-9b75-4a53-8bf4-d4b83082b1cb	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778636800000.0	778636800000.0	778636800000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	146	31752	18.78	35.58				
PreservedSpecimen	P.43312	Pycnogonida	co113	0.0896	10000	-33.766	151.716	1977-12-05	Callipallenidae	POINT (151.71600 -33.76600)	Bamberene	AM	Animalia	east of Long Reef Point	2017-03-02T16:13:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43312	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824	Male	dorsospina	species	467fb51a-b325-4aab-82d5-a5f38fed1e21	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	250128000000.0	250128000000.0	250128000000.0	1977.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	157	36605	20.87	35.56				
PreservedSpecimen	P.42938	Pycnogonida	co113	0.0896	10000	-33.766	151.716	1977-12-05	Callipallenidae	POINT (151.71600 -33.76600)	Bamberene	AM	Animalia	east of Long Reef Point	2017-03-02T15:58:07	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42938	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824	Male	dorsospina	species	556a0c9c-7525-45dd-aa23-0ccd83af3314	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	250128000000.0	250128000000.0	250128000000.0	1977.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	157	36605	20.87	35.56				
PreservedSpecimen	P.42940	Pycnogonida	co113	0.0896	10000	-33.833	151.55	1985-12-18	Callipallenidae	POINT (151.55000 -33.83300)	Bamberene	AM	Animalia	east of Port Jackson	2017-03-02T15:58:07	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42940	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824		dorsospina	species	621672ed-896d-49d5-85bb-2265ba35d75a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	503712000000.0	503712000000.0	503712000000.0	1985.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	137	22568	20.7	35.54				
PreservedSpecimen	P.13637	Pycnogonida	co113	0.0896	10000	-37.083	150.083		Callipallenidae	POINT (150.08300 -37.08300)	Bamberene	AM	Animalia	11 km off Twofold Bay	2017-03-02T11:16:10	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13637	present	Arthropoda	Bamberene dorsospina	urn:lsid:marinespecies.org:taxname:842824	Female	dorsospina	species	66234f5d-1d84-428b-94b4-0f28eac011d5	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bamberene dorsospina	2	1065	1274	1302	1358	379601	379609	1564	842823	842824	842824	Bamberene dorsospina	['NO_DEPTH']	79	9406	18.15	35.56				
