basisOfRecord	catalogNumber	class	collectionCode	continent	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintWKT	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	individualCount	institutionID	language	license	rightsHolder	specificEpithet	taxonID	taxonRank	type	verbatimIdentification	verbatimLocality	occurrenceRemarks	recordedBy
Occurrence	126110478001011	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	29	63.032167	4.682	2013-09-29T20:34:00+00:00/2013-09-29T20:39:00+00:00	Cruise: 58GS-2013112 Sample: 478	20:34:00+00:00/20:39:00+00:00	Callipallenidae	catchId: 11	LINESTRING(4.682 63.032167,4.679333 63.0305)	Pseudopallene	IMR	Animalia	MAREANO Reference Station: 1261	766.03	765.27	2024-05-23 10:35:05	9	126110478001011	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Pseudopallene brevicollis	(Sars, 1891)	urn:lsid:marinespecies.org:taxname:134654	2013	0f8185c1-fd4a-4549-b3fd-cd73a484847e	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	765.65	1380412800000	1380412800000	1380412800000	2013	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Pseudopallene brevicollis	[]	764.4	76142	9.71	34.48													
PreservedSpecimen	6586	Pycnogonida	MuseumCollection		dfo_que_mli_museum	DFO Quebec Region MLI museum collection	4	63.67	-68.43833333	1967-09-04			Callipallenidae	SAB 67-5 OT-7		Pseudopallene	IML	Animalia	Mair Island	50.0	50.0		9	DFO_MLI_MuseumCollection_6586		Pantopoda	Arthropoda		Pseudopallene brevicollis	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134654	1967	2334c1b8-13d6-497a-ae01-b318962b69d7	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	50.0	-73440000000	-73440000000	-73440000000	1967	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Pseudopallene brevicollis	[]	32.0	689	-0.44	31.62	4	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	brevicollis	083_01802	phylum	PhysicalObject	Pseudopallene cf brevicolis	Entre Mair Island & Cairn Island		
Occurrence	034610346009029	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	27	69.465672	15.27034	2008-10-27T20:16:00+00:00/2008-10-27T20:21:00+00:00	Cruise: 58GS-2008114 Sample: 346	20:16:00+00:00/20:21:00+00:00	Callipallenidae	catchId: 29	LINESTRING(15.27034 69.465672,15.267 69.463833)	Pseudopallene	IMR	Animalia	MAREANO Reference Station: 346	811.44	790.04	2024-05-23 10:35:05	10	034610346009029	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Pseudopallene brevicollis	(Sars, 1891)	urn:lsid:marinespecies.org:taxname:134654	2008	2b002c06-18bb-48f3-acd5-6e963f005e74	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	800.74	1225065600000	1225065600000	1225065600000	2008	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Pseudopallene brevicollis	[]	815.4	31565	8.09	34.73													
Occurrence	127110479001009	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	2	63.312667	5.0935	2013-10-02T21:35:00+00:00/2013-10-02T21:40:00+00:00	Cruise: 58GS-2013112 Sample: 479	21:35:00+00:00/21:40:00+00:00	Callipallenidae	catchId: 9	LINESTRING(5.0935 63.312667,5.092167 63.310667)	Pseudopallene	IMR	Animalia	MAREANO Reference Station: 1271	1057.43	1057.17	2024-05-23 10:35:05	10	127110479001009	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Pseudopallene brevicollis	(Sars, 1891)	urn:lsid:marinespecies.org:taxname:134654	2013	3f385a85-d1c6-4b67-b1b9-9438c1d55f3c	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1057.3000000000002	1380672000000	1380672000000	1380672000000	2013	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Pseudopallene brevicollis	[]	1074.6	80418	9.76	34.52													
HumanObservation		Pycnogonida	2006B3				3	76.6330032349	81.8000030518	1930-9-3			Callipallenidae			Pseudopallene	ArcOD	Animalia			570.0		9	7649	present	Pantopoda	Arthropoda		Pseudopallene brevicollis	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:849780	1930	43e0c62d-1a74-420d-befd-215208bd30ee	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	570.0	-1241136000000	-1241136000000	-1241136000000	1930	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis		2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Cordylochele brevicolis	['DEPTH_EXCEEDS_BATH']	56.0	71163	-0.5	32.53												;;134654;Sedov	Gorbunov
HumanObservation		Pycnogonida	2006B3				19	78.9169998169	79.25	1930-8-19			Callipallenidae			Pseudopallene	ArcOD	Animalia			1480.0		8	7473	present	Pantopoda	Arthropoda		Pseudopallene brevicollis	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:849780	1930	485f090c-9bdf-45dc-ac2a-c353aac8c289	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1480.0	-1242432000000	-1242432000000	-1242432000000	1930	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis		2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Cordylochele brevicolis	['DEPTH_EXCEEDS_BATH']	106.0	72205	-1.0	33.88												;;134654;Sedov	Gorbunov
Occurrence	061890431004000	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4539	grab_2006-2022	20	70.697333	21.044333	2010-09-20T12:30:00+00:00	Cruise: 58GS-2010112 Sample: 431	12:30:00+00:00	Callipallenidae	catchId: 0		Pseudopallene	IMR	Animalia	MAREANO Reference Station: 618	259.33	259.33	2024-05-23 10:35:05	9	061890431004000	present	Pantopoda	Arthropoda	VVgrab020,Subsample method: Sieve content - Mesh size (mm): 1.0	Pseudopallene brevicollis	(Sars, 1891)	urn:lsid:marinespecies.org:taxname:134654	2010	4c2f783f-1137-43db-abab-08b2382fcf99	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	259.33	1284940800000	1284940800000	1284940800000	2010	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Pseudopallene brevicollis	[]	258.8	32895	7.23	34.55													
HumanObservation		Pycnogonida	2006B3				19	73.5999984741	59.7000007629	1931-9-19			Callipallenidae			Pseudopallene	ArcOD	Animalia			3450.0		9	8417	present	Pantopoda	Arthropoda		Pseudopallene brevicollis	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:849780	1931	4cccae68-d89e-4b29-b5e6-34f2ea4ca8f8	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	3450.0	-1208217600000	-1208217600000	-1208217600000	1931	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis		2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Cordylochele brevicolis	['DEPTH_EXCEEDS_BATH']	350.0	59697	0.38	32.8												;;134654;Rusanov	Gorbunov
Occurrence	188710059001005	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	28	80.17916	22.130568	2018-08-28T20:18:00+00:00/2018-08-28T20:23:00+00:00	Cruise: 58GS-2018109 Sample: 59	20:18:00+00:00/20:23:00+00:00	Callipallenidae	catchId: 5	LINESTRING(22.130568 80.17916,22.12961 80.181235)	Pseudopallene	IMR	Animalia	MAREANO Reference Station: 1887	204.88	194.74	2024-05-23 10:35:05	8	188710059001005	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Pseudopallene brevicollis	(Sars, 1891)	urn:lsid:marinespecies.org:taxname:134654	2018	52219391-74c8-49ed-997a-ca4e70b0c556	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	199.81	1535414400000	1535414400000	1535414400000	2018	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Pseudopallene brevicollis	[]	149.0	2223	-0.79	33.69													
Occurrence	041610361001007	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	23	71.938	15.529833	2009-04-23T03:39:00+00:00/2009-04-23T03:44:00+00:00	Cruise: 58GS-2009105 Sample: 361	03:39:00+00:00/03:44:00+00:00	Callipallenidae	catchId: 7	LINESTRING(15.529833 71.938,15.531167 71.940167)	Pseudopallene	IMR	Animalia	MAREANO Reference Station: 416	773.46	772.56	2024-05-23 10:35:05	4	041610361001007	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Pseudopallene brevicollis	(Sars, 1891)	urn:lsid:marinespecies.org:taxname:134654	2009	56415726-e61e-4d0f-a700-3045ccda8a89	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	773.01	1240444800000	1240444800000	1240444800000	2009	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene brevicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134654	134654	Pseudopallene brevicollis	[]	778.0	224666	7.5	34.94													
