basisOfRecord	catalogNumber	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	2844	Weddell Sea macrozoobenthos EASIZ I	IMIS:dasid:2432	5	-71.05166667	-11.425	AWI	Kapp Norvegia area	462	462	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2844	Nymphon rybakovi	urn:lsid:marinespecies.org:taxname:173506	1996	087966a6-0e2c-4bb3-af8a-3efd6042966f	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon rybakovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173506	173506	Nymphon rybakovi	[]	464	5904	-1.72	33.76
HumanObservation	21516	SOMBASE Pycnogonids			-71.0516967773	-11.4250001907	BAS		462	462				Nymphon rybakovi	urn:lsid:marinespecies.org:taxname:173506		1159f297-8081-4cde-bd76-2273de386bfc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon rybakovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173506	173506	Nymphon rybakovi	[]	455	5901	-1.72	33.76
HumanObservation	39403	SOMBASE Pycnogonids			-71.0333023071	-11.3165998459	BAS		481	426				Nymphon rybakovi	urn:lsid:marinespecies.org:taxname:173506		754ad819-fd5d-4ab4-9367-2a1e65d3d382	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	453.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon rybakovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173506	173506	Nymphon rybakovi	[]	476	4319	-1.72	33.75
