associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228135.180354	Invertebrate Zoology: Crustacea	South Africa	22	-27.9916706085	32.6800003052	observedindividualcount=1;	1976-05-22T12:00:00Z	Child, C. Allan	1.0	USNM	Zululand Area	550.0	550.0	5	Alcohol (Ethanol)	Nymphon distensum	Mobius	urn:lsid:marinespecies.org:taxname:239864	male	Indian Ocean	1976	425f3778-65cb-495f-a64b-1421f24aa5c1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	550.0	201571200000.0	201571200000.0	201571200000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon distensum	2	1065	1274	1302	1358	379601	379609	1566	134591	239864	239864	Nymphon distensum	[]	502	9276	24.66	35.22
	HumanObservation		37215	SOMBASE Pycnogonids			-35.4500007629	23.4899997711					BAS						Nymphon distensum		urn:lsid:marinespecies.org:taxname:239864				ed0eae79-c376-4d76-9d59-d2ad5cc55b86	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon distensum	2	1065	1274	1302	1358	379601	379609	1566	134591	239864	239864	Nymphon distensum	['NO_DEPTH']	1798	149036	21.47	35.43
