basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	minimumDepthInMeters	month	occurrenceStatus	year	depth	date_start	date_mid	date_end	date_year	superdomain	superdomainid	country	maximumDepthInMeters
PreservedSpecimen	2007-4611	Pycnogonida	IU	NC	-22.260983	167.258301	Austrodecidae	BIOCAL/DW77	POINT  (167.258301 -22.260983)	Austrodecus	WGS84	Stock	4	MNHN	Animalia	CC_BY_4_0	Entre Grande Terre et Ile des Pins	2015-10-17T16:12Z	440010159	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4611	Austrodecus (Tubidecus) excelsum	Stock, 1991	urn:lsid:marinespecies.org:taxname:266340	excelsum	SPECIES	PARATYPE	Pacific Ocean	1890ea2f-21fd-444f-8002-1394d5293137	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) excelsum	2	1065	1274	1302	1358	379600	22616	134579	236472	236474	236474	Austrodecus excelsum Stock, J.H., 1991	['NO_DEPTH']	447	22579	24.98	35.14																	
PreservedSpecimen	sm_id_1748	Pycnogonida	WoRMS type localities		-22.26	167.26	Austrodecidae			Austrodecus				WoRMS Editorial Board	Animalia		Pacific Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1748	Pantopoda	Arthropoda		http://www.marinespecies.org/aphia.php?p=specdetails&id=1748	Austrodecus (Tubidecus) excelsum	Stock, 1991	urn:lsid:marinespecies.org:taxname:236474	excelsum		holotype		4cd8b412-85ab-4ef5-852b-cd05c6f0c7a3	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) excelsum	2	1065	1274	1302	1358	379600	22616	134579	236472	236474	236474	Austrodecus (Tubidecus) excelsum	[]	475	22764	24.98	35.14	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus (Tubidecus) excelsum</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=236474	https://marineinfo.org/id/dataset/5184	5	1985-09-05	440.0	9	present	1985	440.0	494726400000.0	494726400000.0	494726400000.0	1985.0	Biota	1.0		
Occurrence	21604	Pycnogonida	NewCaledonia		-22.25	167.25	Austrodecidae			Austrodecus				IRD-MNHN	Animalia		Biocal, DW77	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21604:0x9416900001000100	Pantopoda	Arthropoda			Austrodecus (Tubidecus) excelsum		urn:lsid:marinespecies.org:taxname:266340					62d605f3-bd05-4ade-9930-0091ab6419bc	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) excelsum	2	1065	1274	1302	1358	379600	22616	134579	236472	236474	236474	Austrodecus excelsum	[]	444	21783	24.98	35.14	Stock JH (1991). Musorstom 8(151): 125-212.	https://marineinfo.org/id/dataset/3128			440.0		present		440.0					Biota	1.0	Nouvelle Caledonie	440.0
PreservedSpecimen	2008-20678	Pycnogonida	IU	NC	-22.260983	167.258301	Austrodecidae	BIOCAL/DW77	POINT  (167.258301 -22.260983)	Austrodecus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Entre Grande Terre et Ile des Pins	2015-07-30T20:25Z	453780884	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20678	Austrodecus (Tubidecus) excelsum	Stock, 1991	urn:lsid:marinespecies.org:taxname:266340	excelsum	SPECIES	PARATYPE	Pacific Ocean	83782ca8-6d8a-45c3-b58e-fd7fdcdbad9c	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) excelsum	2	1065	1274	1302	1358	379600	22616	134579	236472	236474	236474	Austrodecus excelsum Stock, J.H., 1991	['NO_DEPTH']	447	22579	24.98	35.14																	
PreservedSpecimen	2007-4610	Pycnogonida	IU	NC	-22.260983	167.258301	Austrodecidae	BIOCAL/DW77	POINT  (167.258301 -22.260983)	Austrodecus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Entre Grande Terre et Ile des Pins	2015-06-19T21:23Z	440016255	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4610	Austrodecus (Tubidecus) excelsum	Stock, 1991	urn:lsid:marinespecies.org:taxname:266340	excelsum	SPECIES	HOLOTYPE	Pacific Ocean	ecd3f2ee-e39d-49a9-9f51-5d31de492c11	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) excelsum	2	1065	1274	1302	1358	379600	22616	134579	236472	236474	236474	Austrodecus excelsum Stock, J.H., 1991	['NO_DEPTH']	447	22579	24.98	35.14																	
PreservedSpecimen	2008-20679	Pycnogonida	IU	NC	-22.260983	167.258301	Austrodecidae	BIOCAL/DW77	POINT  (167.258301 -22.260983)	Austrodecus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Entre Grande Terre et Ile des Pins	2015-10-17T17:03Z	453786161	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20679	Austrodecus (Tubidecus) excelsum	Stock, 1991	urn:lsid:marinespecies.org:taxname:266340	excelsum	SPECIES	PARATYPE	Pacific Ocean	ff1809a3-33b3-4c33-975b-35d65e4b2dce	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) excelsum	2	1065	1274	1302	1358	379600	22616	134579	236472	236474	236474	Austrodecus excelsum Stock, J.H., 1991	['NO_DEPTH']	447	22579	24.98	35.14																	
