basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	2008-20610	Pycnogonida	IU	NC	-23.090534	167.75592	Ascorhynchidae	BIOCAL/DW51	POINT  (167.75592 -23.090534)	Bathyzetes	WGS84	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	462402566	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20610	Bathyzetes setigera	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:239714	setigera	SPECIES	Pacific Ocean	6bc9b393-55e7-4269-9c5b-c58a896543c6	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Bathyzetes setigera	2	1065	1274	1302	1358	379601	379608	379788	236259	239714	239714	Bathyzetes setigera (Loman, 1908)	['NO_DEPTH']	688	41139	24.56	35.27
PreservedSpecimen	2008-20609	Pycnogonida	IU	NC	-23.090534	167.75592	Ascorhynchidae	BIOCAL/DW51	POINT  (167.75592 -23.090534)	Bathyzetes	WGS84	2	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	462401301	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20609	Bathyzetes setigera	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:239714	setigera	SPECIES	Pacific Ocean	d44bbfde-8f67-4eed-b492-298323fc4788	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Bathyzetes setigera	2	1065	1274	1302	1358	379601	379608	379788	236259	239714	239714	Bathyzetes setigera (Loman, 1908)	['NO_DEPTH']	688	41139	24.56	35.27
