basisOfRecord	catalogNumber	collectionCode	coordinatePrecision	day	decimalLatitude	decimalLongitude	eventDate	fieldNumber	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceRemarks	recordedBy	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	bibliographicCitation	datasetID	modified	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	superdomain	superdomainid
HumanObservation	SAMC-MBR-013510	MBR	100.0	21	-64.5832977295	37.9333000183	1985-04-21T12:00:00Z	MAD15 xx.2	Arnaud	SAMC	Marion & Prince Edward Islands; 46 35' S 37 56' E	50.0	48.0	4	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus tristanense	urn:lsid:marinespecies.org:taxname:240209	1985	176e7bec-65ca-434c-9c5c-cabb4292e70c	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	49.0	482889600000.0	482889600000.0	482889600000.0	1985.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus tristanense	2	1065	1274	1302	1358	379600	22616	134579	240209	240209	Austrodecus tristanense	[]	4898	444106	-1.08	33.96												
HumanObservation	33988	SOMBASE Pycnogonids			-46.7165985107	37.9500007629				BAS		775.0	0.0				Austrodecus tristanense	urn:lsid:marinespecies.org:taxname:240209		1dcb926d-1e35-4889-a3a4-015b5e459177	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	387.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus tristanense	2	1065	1274	1302	1358	379600	22616	134579	240209	240209	Austrodecus tristanense	['DEPTH_EXCEEDS_BATH']	176	5017	5.71	33.82												
HumanObservation	SAMC-MBR-013512	MBR	100.0		-46.9333000183	37.8833007812	1988-07-02T00:00:00Z	BB 11.9	Arnaud	SAMC	Bullards Bay, Marion& Prince Edward Islands	15.0	15.0		Gear:Diving;Preparation:alch	Bullards Bay Diving Survey	Austrodecus tristanense	urn:lsid:marinespecies.org:taxname:240209	1988	3c443a14-0fc2-462c-937f-4e0b11580fd3	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	15.0	583804800000.0	583804800000.0	583804800000.0	1988.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus tristanense	2	1065	1274	1302	1358	379600	22616	134579	240209	240209	Austrodecus tristanense	[]	-24	264	5.6	33.81	South Africa											
PreservedSpecimen	sm_id_1775	WoRMS type localities		8	-37.4	-12.5	1938-02-08			WoRMS Editorial Board	Atlantic Ocean	55.0	35.0	2			Austrodecus tristanense	urn:lsid:marinespecies.org:taxname:240209	1938	42138496-043f-4f8f-bb57-6332c025ae98	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	45.0	-1006560000000.0	-1006560000000.0	-1006560000000.0	1938.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus tristanense	2	1065	1274	1302	1358	379600	22616	134579	240209	240209	Austrodecus tristanense	['DEPTH_EXCEEDS_BATH']	3	678	15.69	34.92		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus tristanense</i> Stock, 1955. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240209	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1775	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1775	Stock, 1955	tristanense	holotype	Biota	1.0
HumanObservation	SAMC-MBR-013509	MBR	100.0	18	-46.8633003235	37.876701355	1985-04-18T12:00:00Z	MAD14 V V2	Branch	SAMC	Marion & Prince Edward Islands; 46 51.8' S 37 52.6' E	90.0	80.0	4	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus tristanense	urn:lsid:marinespecies.org:taxname:240209	1985	8b5338c4-2de0-4985-a4fb-14e613990ae0	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	85.0	482630400000.0	482630400000.0	482630400000.0	1985.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus tristanense	2	1065	1274	1302	1358	379600	22616	134579	240209	240209	Austrodecus tristanense	[]	724	1269	5.64	33.81												
HumanObservation	34320	SOMBASE Pycnogonids			-37.2999992371	-12.6999998093				BAS							Austrodecus tristanense	urn:lsid:marinespecies.org:taxname:240209		c6db7703-9195-4187-b607-6e036fdb5462	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus tristanense	2	1065	1274	1302	1358	379600	22616	134579	240209	240209	Austrodecus tristanense	['NO_DEPTH', 'ON_LAND']	-205	-458	15.81	34.94												
HumanObservation	SAMC-MBR-013511	MBR	100.0	23	-46.9152984619	37.5833015442	1989-04-23T12:00:00Z	MAD54 W.2	Arnaud	SAMC	Marion & Prince Edward Islands; 46 54.92' S 37 35' E	125.0	70.0	4	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus tristanense	urn:lsid:marinespecies.org:taxname:240209	1989	f95ca7a2-3392-4e28-b547-f6ff76332a4e	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	97.5	609292800000.0	609292800000.0	609292800000.0	1989.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus tristanense	2	1065	1274	1302	1358	379600	22616	134579	240209	240209	Austrodecus tristanense	[]	227	861	5.63	33.81												
